team,rival,team_1_select_1,team_2_select_1,team_1_select_2,team_2_select_2,team_1_select_3,team_2_select_3,decider,order,bo,date,source_url,event
RRQ,100T,Split,Lotus,Ascent,Breeze,Fracture,Sunset,Haven,A,3,2026-07-02 07:00:00,https://www.vlr.gg/706754/rex-regum-qeon-vs-100-thieves-esports-world-cup-2026-opening-a,Esports World Cup 2026
BBL,EDG,Fracture,Haven,Lotus,Ascent,Split,Breeze,Sunset,A,3,2026-07-02 07:00:00,https://www.vlr.gg/706755/bbl-esports-vs-edward-gaming-esports-world-cup-2026-opening-a,Esports World Cup 2026
KC,VIT,Split,Fracture,Haven,Lotus,Breeze,Sunset,Ascent,A,3,2026-07-02 11:00:00,https://www.vlr.gg/706759/team-vitality-vs-karmine-corp-esports-world-cup-2026-opening-b,Esports World Cup 2026
PRX,NRG,Haven,Split,Fracture,Lotus,Sunset,Ascent,Breeze,A,3,2026-07-02 11:50:00,https://www.vlr.gg/706760/nrg-vs-paper-rex-esports-world-cup-2026-opening-b,Esports World Cup 2026
MIBR,GE,Sunset,Fracture,Lotus,Haven,Breeze,Split,Ascent,A,3,2026-07-03 07:00:00,https://www.vlr.gg/706769/mibr-vs-global-esports-esports-world-cup-2026-opening-d,Esports World Cup 2026
AG,TH,Breeze,Split,Haven,Ascent,Sunset,Fracture,Lotus,A,3,2026-07-03 07:00:00,https://www.vlr.gg/706770/all-gamers-vs-team-heretics-esports-world-cup-2026-opening-d,Esports World Cup 2026
XLG,M8,Sunset,Fracture,Breeze,Lotus,Ascent,Split,Haven,A,3,2026-07-03 09:00:00,https://www.vlr.gg/706764/gentle-mates-vs-xi-lai-gaming-esports-world-cup-2026-opening-c,Esports World Cup 2026
G2,NS,Fracture,Ascent,Breeze,Sunset,Lotus,Haven,Split,A,3,2026-07-03 10:30:00,https://www.vlr.gg/706765/nongshim-redforce-vs-g2-esports-esports-world-cup-2026-opening-c,Esports World Cup 2026
BBL,100T,Fracture,Sunset,Lotus,Split,Breeze,Ascent,Haven,A,3,2026-07-04 07:00:00,https://www.vlr.gg/706756/100-thieves-vs-bbl-esports-esports-world-cup-2026-winners-a,Esports World Cup 2026
RRQ,EDG,Split,Haven,Ascent,Breeze,Fracture,Sunset,Lotus,A,3,2026-07-04 07:00:00,https://www.vlr.gg/706757/rex-regum-qeon-vs-edward-gaming-esports-world-cup-2026-elim-a,Esports World Cup 2026
