player,team,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE,map,date,source_url,event
crazyguy,RRQ,5,0,1,0,1,0,0,0,0,44,3,1,all,2026-07-02 07:00:00,https://www.vlr.gg/706754/rex-regum-qeon-vs-100-thieves-esports-world-cup-2026-opening-a,Esports World Cup 2026
Kushy,RRQ,3,2,0,0,1,0,0,0,0,48,8,1,all,2026-07-02 07:00:00,https://www.vlr.gg/706754/rex-regum-qeon-vs-100-thieves-esports-world-cup-2026-opening-a,Esports World Cup 2026
xffero,RRQ,4,3,0,0,0,0,0,0,0,53,0,1,all,2026-07-02 07:00:00,https://www.vlr.gg/706754/rex-regum-qeon-vs-100-thieves-esports-world-cup-2026-opening-a,Esports World Cup 2026
Xan,RRQ,6,2,0,0,0,0,0,0,0,51,2,0,all,2026-07-02 07:00:00,https://www.vlr.gg/706754/rex-regum-qeon-vs-100-thieves-esports-world-cup-2026-opening-a,Esports World Cup 2026
Jemkin,RRQ,3,3,0,0,0,0,0,0,0,51,0,0,all,2026-07-02 07:00:00,https://www.vlr.gg/706754/rex-regum-qeon-vs-100-thieves-esports-world-cup-2026-opening-a,Esports World Cup 2026
Asuna,100T,4,3,0,1,0,0,1,0,0,75,3,4,all,2026-07-02 07:00:00,https://www.vlr.gg/706754/rex-regum-qeon-vs-100-thieves-esports-world-cup-2026-opening-a,Esports World Cup 2026
bang,100T,6,0,0,0,0,0,0,0,0,43,4,0,all,2026-07-02 07:00:00,https://www.vlr.gg/706754/rex-regum-qeon-vs-100-thieves-esports-world-cup-2026-opening-a,Esports World Cup 2026
Cryocells,100T,4,1,0,0,2,0,0,0,0,51,0,0,all,2026-07-02 07:00:00,https://www.vlr.gg/706754/rex-regum-qeon-vs-100-thieves-esports-world-cup-2026-opening-a,Esports World Cup 2026
vora,100T,6,2,0,0,2,0,0,0,0,63,5,1,all,2026-07-02 07:00:00,https://www.vlr.gg/706754/rex-regum-qeon-vs-100-thieves-esports-world-cup-2026-opening-a,Esports World Cup 2026
Timotino,100T,7,5,0,0,0,0,0,0,0,93,0,0,all,2026-07-02 07:00:00,https://www.vlr.gg/706754/rex-regum-qeon-vs-100-thieves-esports-world-cup-2026-opening-a,Esports World Cup 2026
crazyguy,RRQ,3,0,1,0,1,0,0,0,0,43,2,1,Ascent,2026-07-02 07:00:00,https://www.vlr.gg/706754/rex-regum-qeon-vs-100-thieves-esports-world-cup-2026-opening-a,Esports World Cup 2026
Kushy,RRQ,2,0,0,0,1,0,0,0,0,42,3,0,Ascent,2026-07-02 07:00:00,https://www.vlr.gg/706754/rex-regum-qeon-vs-100-thieves-esports-world-cup-2026-opening-a,Esports World Cup 2026
xffero,RRQ,3,2,0,0,0,0,0,0,0,60,0,1,Ascent,2026-07-02 07:00:00,https://www.vlr.gg/706754/rex-regum-qeon-vs-100-thieves-esports-world-cup-2026-opening-a,Esports World Cup 2026
Xan,RRQ,4,1,0,0,0,0,0,0,0,47,1,0,Ascent,2026-07-02 07:00:00,https://www.vlr.gg/706754/rex-regum-qeon-vs-100-thieves-esports-world-cup-2026-opening-a,Esports World Cup 2026
Jemkin,RRQ,2,2,0,0,0,0,0,0,0,53,0,0,Ascent,2026-07-02 07:00:00,https://www.vlr.gg/706754/rex-regum-qeon-vs-100-thieves-esports-world-cup-2026-opening-a,Esports World Cup 2026
Asuna,100T,1,2,0,0,0,0,1,0,0,67,1,2,Ascent,2026-07-02 07:00:00,https://www.vlr.gg/706754/rex-regum-qeon-vs-100-thieves-esports-world-cup-2026-opening-a,Esports World Cup 2026
bang,100T,4,0,0,0,0,0,0,0,0,47,3,0,Ascent,2026-07-02 07:00:00,https://www.vlr.gg/706754/rex-regum-qeon-vs-100-thieves-esports-world-cup-2026-opening-a,Esports World Cup 2026
