team_a,team_b,team_a_economy,team_b_economy,round,team_a_bank,team_b_bank,map,date,source_url,event
RRQ,100T,4000,4150,1,0.2k,0.0k,Breeze,2026-07-02 07:00:00,https://www.vlr.gg/706754/rex-regum-qeon-vs-100-thieves-esports-world-cup-2026-opening-a,Esports World Cup 2026
RRQ,100T,3200,17350,2,8.7k,0.5k,Breeze,2026-07-02 07:00:00,https://www.vlr.gg/706754/rex-regum-qeon-vs-100-thieves-esports-world-cup-2026-opening-a,Esports World Cup 2026
RRQ,100T,23400,14250,3,0.9k,12.8k,Breeze,2026-07-02 07:00:00,https://www.vlr.gg/706754/rex-regum-qeon-vs-100-thieves-esports-world-cup-2026-opening-a,Esports World Cup 2026
RRQ,100T,23700,22500,4,6.5k,0.9k,Breeze,2026-07-02 07:00:00,https://www.vlr.gg/706754/rex-regum-qeon-vs-100-thieves-esports-world-cup-2026-opening-a,Esports World Cup 2026
RRQ,100T,24300,5250,5,12.2k,9.4k,Breeze,2026-07-02 07:00:00,https://www.vlr.gg/706754/rex-regum-qeon-vs-100-thieves-esports-world-cup-2026-opening-a,Esports World Cup 2026
RRQ,100T,23850,22600,6,20.7k,1.3k,Breeze,2026-07-02 07:00:00,https://www.vlr.gg/706754/rex-regum-qeon-vs-100-thieves-esports-world-cup-2026-opening-a,Esports World Cup 2026
RRQ,100T,22800,24200,7,8.3k,5.3k,Breeze,2026-07-02 07:00:00,https://www.vlr.gg/706754/rex-regum-qeon-vs-100-thieves-esports-world-cup-2026-opening-a,Esports World Cup 2026
RRQ,100T,20950,21700,8,4.5k,3.8k,Breeze,2026-07-02 07:00:00,https://www.vlr.gg/706754/rex-regum-qeon-vs-100-thieves-esports-world-cup-2026-opening-a,Esports World Cup 2026
RRQ,100T,18250,24450,9,3.8k,5.9k,Breeze,2026-07-02 07:00:00,https://www.vlr.gg/706754/rex-regum-qeon-vs-100-thieves-esports-world-cup-2026-opening-a,Esports World Cup 2026
RRQ,100T,9900,25250,10,10.2k,13.6k,Breeze,2026-07-02 07:00:00,https://www.vlr.gg/706754/rex-regum-qeon-vs-100-thieves-esports-world-cup-2026-opening-a,Esports World Cup 2026
RRQ,100T,24050,25350,11,2.3k,22.7k,Breeze,2026-07-02 07:00:00,https://www.vlr.gg/706754/rex-regum-qeon-vs-100-thieves-esports-world-cup-2026-opening-a,Esports World Cup 2026
RRQ,100T,25500,25050,12,7.4k,8.6k,Breeze,2026-07-02 07:00:00,https://www.vlr.gg/706754/rex-regum-qeon-vs-100-thieves-esports-world-cup-2026-opening-a,Esports World Cup 2026
RRQ,100T,3750,4050,13,0.3k,0.0k,Breeze,2026-07-02 07:00:00,https://www.vlr.gg/706754/rex-regum-qeon-vs-100-thieves-esports-world-cup-2026-opening-a,Esports World Cup 2026
RRQ,100T,2700,16350,14,8.8k,2.1k,Breeze,2026-07-02 07:00:00,https://www.vlr.gg/706754/rex-regum-qeon-vs-100-thieves-esports-world-cup-2026-opening-a,Esports World Cup 2026
RRQ,100T,22600,16900,15,1.2k,12.1k,Breeze,2026-07-02 07:00:00,https://www.vlr.gg/706754/rex-regum-qeon-vs-100-thieves-esports-world-cup-2026-opening-a,Esports World Cup 2026
RRQ,100T,19550,22250,16,8.0k,1.3k,Breeze,2026-07-02 07:00:00,https://www.vlr.gg/706754/rex-regum-qeon-vs-100-thieves-esports-world-cup-2026-opening-a,Esports World Cup 2026
RRQ,100T,18150,22550,17,0.6k,7.2k,Breeze,2026-07-02 07:00:00,https://www.vlr.gg/706754/rex-regum-qeon-vs-100-thieves-esports-world-cup-2026-opening-a,Esports World Cup 2026
RRQ,100T,16650,25250,18,0.7k,18.8k,Breeze,2026-07-02 07:00:00,https://www.vlr.gg/706754/rex-regum-qeon-vs-100-thieves-esports-world-cup-2026-opening-a,Esports World Cup 2026
RRQ,100T,3650,4100,1,0.3k,0.0k,Ascent,2026-07-02 07:00:00,https://www.vlr.gg/706754/rex-regum-qeon-vs-100-thieves-esports-world-cup-2026-opening-a,Esports World Cup 2026
RRQ,100T,14300,2400,2,4.2k,8.4k,Ascent,2026-07-02 07:00:00,https://www.vlr.gg/706754/rex-regum-qeon-vs-100-thieves-esports-world-cup-2026-opening-a,Esports World Cup 2026
RRQ,100T,20300,22000,3,12.9k,0.3k,Ascent,2026-07-02 07:00:00,https://www.vlr.gg/706754/rex-regum-qeon-vs-100-thieves-esports-world-cup-2026-opening-a,Esports World Cup 2026
RRQ,100T,22100,8150,4,2.9k,12.0k,Ascent,2026-07-02 07:00:00,https://www.vlr.gg/706754/rex-regum-qeon-vs-100-thieves-esports-world-cup-2026-opening-a,Esports World Cup 2026
RRQ,100T,22750,22100,5,6.1k,0.5k,Ascent,2026-07-02 07:00:00,https://www.vlr.gg/706754/rex-regum-qeon-vs-100-thieves-esports-world-cup-2026-opening-a,Esports World Cup 2026
RRQ,100T,8250,19650,6,10.0k,2.9k,Ascent,2026-07-02 07:00:00,https://www.vlr.gg/706754/rex-regum-qeon-vs-100-thieves-esports-world-cup-2026-opening-a,Esports World Cup 2026
RRQ,100T,23000,22650,7,1.5k,4.5k,Ascent,2026-07-02 07:00:00,https://www.vlr.gg/706754/rex-regum-qeon-vs-100-thieves-esports-world-cup-2026-opening-a,Esports World Cup 2026
RRQ,100T,10600,24750,8,9.8k,9.3k,Ascent,2026-07-02 07:00:00,https://www.vlr.gg/706754/rex-regum-qeon-vs-100-thieves-esports-world-cup-2026-opening-a,Esports World Cup 2026
RRQ,100T,22700,25050,9,2.5k,14.1k,Ascent,2026-07-02 07:00:00,https://www.vlr.gg/706754/rex-regum-qeon-vs-100-thieves-esports-world-cup-2026-opening-a,Esports World Cup 2026
RRQ,100T,18000,25350,10,1.1k,20.0k,Ascent,2026-07-02 07:00:00,https://www.vlr.gg/706754/rex-regum-qeon-vs-100-thieves-esports-world-cup-2026-opening-a,Esports World Cup 2026
RRQ,100T,8000,25650,11,8.3k,26.8k,Ascent,2026-07-02 07:00:00,https://www.vlr.gg/706754/rex-regum-qeon-vs-100-thieves-esports-world-cup-2026-opening-a,Esports World Cup 2026
