team,player,agent,ratingBoth,ratingT,rating-ct,acsBoth,acsT,acsCT,killsBoth,killsT,killsCT,deadBoth,deadT,deadCT,assistsBoth,assistsT,assistsCT,k-dBoth,k-dT,k-dCT,kastBoth,kastT,kastCT,adrBoth,adrT,adrCT,hsBoth,hsT,hsCT,fkBoth,fkT,fkCT,fdBoth,fdT,fdCT,fk-fdBoth,fk-fdT,fk-fdCT,map,map_id_vlr,map_duration,date,source_url,event
TL,trexx,Sova,0.89,0.55,1.04,241.0,193.0,262.0,12.0,3.0,9.0,15.0,5.0,10.0,5.0,0.0,5.0,-3.0,-2.0,-1.0,0.53,0.4,0.58,160.0,126.0,175.0,0.24,0.5,0.18,1.0,1.0,0.0,2.0,0.0,2.0,-1.0,1.0,-2.0,Ascent,283184,38:12,2026-09-24 05:00:00,https://www.vlr.gg/753455/team-liquid-vs-paper-rex-valorant-champions-2026-opening-c,Valorant Champions 2026
TL,nAts,Cypher,0.87,0.37,1.07,188.0,137.0,210.0,11.0,2.0,9.0,14.0,5.0,9.0,2.0,0.0,2.0,-3.0,-3.0,0.0,0.53,0.4,0.58,153.0,133.0,161.0,0.18,0.29,0.16,0.0,0.0,0.0,3.0,2.0,1.0,-3.0,-2.0,-1.0,Ascent,283184,38:12,2026-09-24 05:00:00,https://www.vlr.gg/753455/team-liquid-vs-paper-rex-valorant-champions-2026-opening-c,Valorant Champions 2026
TL,Kicks,Omen,0.81,0.03,1.17,166.0,44.0,218.0,9.0,0.0,9.0,14.0,5.0,9.0,6.0,1.0,5.0,-5.0,-5.0,0.0,0.53,0.2,0.67,114.0,44.0,143.0,0.24,0.33,0.23,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,Ascent,283184,38:12,2026-09-24 05:00:00,https://www.vlr.gg/753455/team-liquid-vs-paper-rex-valorant-champions-2026-opening-c,Valorant Champions 2026
TL,GSR,Jett,0.68,0.45,0.77,162.0,124.0,179.0,9.0,2.0,7.0,15.0,5.0,10.0,1.0,1.0,0.0,-6.0,-3.0,-3.0,0.65,0.6,0.67,124.0,112.0,129.0,0.18,0.11,0.21,1.0,0.0,1.0,2.0,1.0,1.0,-1.0,-1.0,0.0,Ascent,283184,38:12,2026-09-24 05:00:00,https://www.vlr.gg/753455/team-liquid-vs-paper-rex-valorant-champions-2026-opening-c,Valorant Champions 2026
TL,kamo,Phoenix,0.56,1.01,0.37,195.0,308.0,149.0,9.0,5.0,4.0,16.0,5.0,11.0,4.0,1.0,3.0,-7.0,0.0,-7.0,0.71,1.0,0.58,128.0,194.0,100.0,0.36,0.42,0.31,0.0,0.0,0.0,6.0,1.0,5.0,-6.0,-1.0,-5.0,Ascent,283184,38:12,2026-09-24 05:00:00,https://www.vlr.gg/753455/team-liquid-vs-paper-rex-valorant-champions-2026-opening-c,Valorant Champions 2026
PRX,something,Yoru,1.6,1.13,2.74,313.0,245.0,478.0,20.0,11.0,9.0,10.0,8.0,2.0,4.0,3.0,1.0,10.0,3.0,7.0,0.76,0.67,1.0,200.0,164.0,285.0,0.33,0.31,0.34,3.0,2.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,Ascent,283184,38:12,2026-09-24 05:00:00,https://www.vlr.gg/753455/team-liquid-vs-paper-rex-valorant-champions-2026-opening-c,Valorant Champions 2026
PRX,d4v41,Chamber,1.24,1.41,0.82,179.0,169.0,205.0,12.0,9.0,3.0,8.0,4.0,4.0,3.0,0.0,3.0,4.0,5.0,-1.0,0.94,0.92,1.0,116.0,106.0,140.0,0.18,0.18,0.17,6.0,3.0,3.0,1.0,0.0,1.0,5.0,3.0,2.0,Ascent,283184,38:12,2026-09-24 05:00:00,https://www.vlr.gg/753455/team-liquid-vs-paper-rex-valorant-champions-2026-opening-c,Valorant Champions 2026
PRX,Jinggg,Sage,1.2,0.78,2.21,228.0,153.0,410.0,14.0,6.0,8.0,11.0,9.0,2.0,8.0,3.0,5.0,3.0,-3.0,6.0,0.82,0.75,1.0,148.0,109.0,241.0,0.28,0.12,0.62,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Ascent,283184,38:12,2026-09-24 05:00:00,https://www.vlr.gg/753455/team-liquid-vs-paper-rex-valorant-champions-2026-opening-c,Valorant Champions 2026
PRX,f0rsakeN,Omen,1.16,1.15,1.19,251.0,279.0,186.0,16.0,12.0,4.0,13.0,10.0,3.0,4.0,3.0,1.0,3.0,2.0,1.0,0.71,0.67,0.8,172.0,181.0,150.0,0.32,0.39,0.19,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,Ascent,283184,38:12,2026-09-24 05:00:00,https://www.vlr.gg/753455/team-liquid-vs-paper-rex-valorant-champions-2026-opening-c,Valorant Champions 2026
PRX,invy,Sova,1.08,1.18,0.84,179.0,243.0,28.0,12.0,11.0,1.0,8.0,7.0,1.0,1.0,1.0,0.0,4.0,4.0,0.0,0.71,0.67,0.8,126.0,174.0,10.0,0.36,0.38,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,Ascent,283184,38:12,2026-09-24 05:00:00,https://www.vlr.gg/753455/team-liquid-vs-paper-rex-valorant-champions-2026-opening-c,Valorant Champions 2026
TL,GSR,Jett,1.06,0.8,1.25,215.0,193.0,232.0,44.0,17.0,27.0,44.0,21.0,23.0,10.0,4.0,6.0,0.0,-4.0,4.0,0.72,0.68,0.74,146.0,127.0,159.0,0.3,0.33,0.28,6.0,1.0,5.0,5.0,3.0,2.0,1.0,-2.0,3.0,all,all,all,2026-09-24 05:00:00,https://www.vlr.gg/753455/team-liquid-vs-paper-rex-valorant-champions-2026-opening-c,Valorant Champions 2026
TL,kamo,Phoenix,0.96,1.25,0.75,247.0,309.0,204.0,49.0,26.0,23.0,50.0,21.0,29.0,10.0,4.0,6.0,-1.0,5.0,-6.0,0.7,0.76,0.66,162.0,207.0,129.0,0.23,0.29,0.17,8.0,3.0,5.0,14.0,6.0,8.0,-6.0,-3.0,-3.0,all,all,all,2026-09-24 05:00:00,https://www.vlr.gg/753455/team-liquid-vs-paper-rex-valorant-champions-2026-opening-c,Valorant Champions 2026
