team,rival,team_1_select_1,team_2_select_1,team_1_select_2,team_2_select_2,team_1_select_3,team_2_select_3,decider,order,bo,date,source_url,event
NRG,XLG,Split,Breeze,Pearl,Lotus,Ascent,Haven,Fracture,A,3,2026-06-06 10:00:00,https://www.vlr.gg/684613/xi-lai-gaming-vs-nrg-valorant-masters-london-2026-r1,Valorant Masters London 2026
DRG,VIT,Pearl,Ascent,Lotus,Breeze,Split,Fracture,Haven,A,3,2026-06-06 12:30:00,https://www.vlr.gg/684610/team-vitality-vs-dragon-ranger-gaming-valorant-masters-london-2026-r1,Valorant Masters London 2026
FS,FUT,Ascent,Breeze,Fracture,Haven,Split,Pearl,Lotus,A,3,2026-06-07 10:00:00,https://www.vlr.gg/684611/full-sense-vs-fut-esports-valorant-masters-london-2026-r1,Valorant Masters London 2026
GE,LEV,Ascent,Breeze,Pearl,Fracture,Haven,Lotus,Split,A,3,2026-06-07 12:00:00,https://www.vlr.gg/684612/leviat-n-vs-global-esports-valorant-masters-london-2026-r1,Valorant Masters London 2026
VIT,FUT,Ascent,Breeze,Pearl,Haven,Split,Lotus,Fracture,A,3,2026-06-08 10:00:00,https://www.vlr.gg/684614/team-vitality-vs-fut-esports-valorant-masters-london-2026-r2-1-0,Valorant Masters London 2026
LEV,NRG,Breeze,Split,Ascent,Lotus,Fracture,Haven,Pearl,A,3,2026-06-08 13:15:00,https://www.vlr.gg/684615/nrg-vs-leviat-n-valorant-masters-london-2026-r2-1-0,Valorant Masters London 2026
DRG,XLG,Lotus,Ascent,Haven,Fracture,Breeze,Pearl,Split,A,3,2026-06-09 10:00:00,https://www.vlr.gg/684616/dragon-ranger-gaming-vs-xi-lai-gaming-valorant-masters-london-2026-r2-0-1,Valorant Masters London 2026
GE,FS,Lotus,Ascent,Split,Breeze,Fracture,Haven,Pearl,A,3,2026-06-09 13:20:00,https://www.vlr.gg/684617/global-esports-vs-full-sense-valorant-masters-london-2026-r2-0-1,Valorant Masters London 2026
NRG,FUT,Split,Breeze,Lotus,Haven,Ascent,Pearl,Fracture,A,3,2026-06-10 10:00:00,https://www.vlr.gg/684619/fut-esports-vs-nrg-valorant-masters-london-2026-r3-1-1,Valorant Masters London 2026
GE,XLG,Fracture,Pearl,Haven,Lotus,Split,Ascent,Breeze,A,3,2026-06-10 13:40:00,https://www.vlr.gg/684618/global-esports-vs-xi-lai-gaming-valorant-masters-london-2026-r3-1-1,Valorant Masters London 2026
LEV,PRX,Breeze,Pearl,Ascent,Lotus,Fracture,Haven,Split,A,3,2026-06-12 10:00:00,https://www.vlr.gg/670466/paper-rex-vs-leviat-n-valorant-masters-london-2026-ubqf,Valorant Masters London 2026
VIT,TH,Haven,Pearl,Breeze,Lotus,Ascent,Split,Fracture,A,3,2026-06-12 12:00:00,https://www.vlr.gg/670467/team-heretics-vs-team-vitality-valorant-masters-london-2026-ubqf,Valorant Masters London 2026
FUT,EDG,Breeze,Ascent,Haven,Pearl,Lotus,Split,Fracture,A,3,2026-06-13 10:00:00,https://www.vlr.gg/670465/edward-gaming-vs-fut-esports-valorant-masters-london-2026-ubqf,Valorant Masters London 2026
XLG,G2,Haven,Fracture,Lotus,Ascent,Pearl,Breeze,Split,A,3,2026-06-13 13:00:00,https://www.vlr.gg/670464/g2-esports-vs-xi-lai-gaming-valorant-masters-london-2026-ubqf,Valorant Masters London 2026
LEV,TH,Breeze,Pearl,Split,Lotus,Fracture,Haven,Ascent,A,3,2026-06-14 10:00:00,https://www.vlr.gg/670473/leviat-n-vs-team-heretics-valorant-masters-london-2026-lr1,Valorant Masters London 2026
FUT,G2,Breeze,Haven,Ascent,Lotus,Pearl,Fracture,Split,A,3,2026-06-14 13:00:00,https://www.vlr.gg/670472/g2-esports-vs-fut-esports-valorant-masters-london-2026-lr1,Valorant Masters London 2026
XLG,EDG,Pearl,Ascent,Lotus,Breeze,Fracture,Haven,Split,A,3,2026-06-15 10:00:00,https://www.vlr.gg/670468/xi-lai-gaming-vs-edward-gaming-valorant-masters-london-2026-ubsf,Valorant Masters London 2026
VIT,PRX,Ascent,Pearl,Breeze,Split,Haven,Lotus,Fracture,A,3,2026-06-15 13:15:00,https://www.vlr.gg/670469/paper-rex-vs-team-vitality-valorant-masters-london-2026-ubsf,Valorant Masters London 2026
LEV,XLG,Breeze,Pearl,Haven,Lotus,Fracture,Ascent,Split,A,3,2026-06-16 10:00:00,https://www.vlr.gg/670475/xi-lai-gaming-vs-leviat-n-valorant-masters-london-2026-lr2,Valorant Masters London 2026
VIT,FUT,Haven,Breeze,Lotus,Ascent,Fracture,Pearl,Split,A,3,2026-06-16 12:05:00,https://www.vlr.gg/670474/team-vitality-vs-fut-esports-valorant-masters-london-2026-lr2,Valorant Masters London 2026
PRX,EDG,Pearl,Ascent,Breeze,Fracture,Lotus,Haven,Split,A,3,2026-06-19 09:00:00,https://www.vlr.gg/670470/edward-gaming-vs-paper-rex-valorant-masters-london-2026-ubf,Valorant Masters London 2026
VIT,LEV,Haven,Breeze,Lotus,Split,Ascent,Pearl,Fracture,A,3,2026-06-19 12:35:00,https://www.vlr.gg/670476/team-vitality-vs-leviat-n-valorant-masters-london-2026-lr3,Valorant Masters London 2026
LEV,EDG,Breeze,Ascent,Haven,Pearl,Split,Fracture,Lotus,A,5,2026-06-20 09:00:00,https://www.vlr.gg/670477/edward-gaming-vs-leviat-n-valorant-masters-london-2026-lbf,Valorant Masters London 2026
PRX,LEV,Pearl,Haven,Fracture,Split,Breeze,Ascent,Lotus,A,5,2026-06-21 10:20:00,https://www.vlr.gg/670471/paper-rex-vs-leviat-n-valorant-masters-london-2026-gf,Valorant Masters London 2026
