player,team,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE,map,date,source_url,event
NoMan,XLG,5,2,0,0,1,0,0,0,0,52,0,1,all,2026-06-06 10:00:00,https://www.vlr.gg/684613/xi-lai-gaming-vs-nrg-valorant-masters-london-2026-r1,Valorant Masters London 2026
Rarga,XLG,4,2,0,0,1,1,0,0,0,41,0,1,all,2026-06-06 10:00:00,https://www.vlr.gg/684613/xi-lai-gaming-vs-nrg-valorant-masters-london-2026-r1,Valorant Masters London 2026
WsLeo,XLG,5,1,0,0,0,0,0,0,0,48,11,0,all,2026-06-06 10:00:00,https://www.vlr.gg/684613/xi-lai-gaming-vs-nrg-valorant-masters-london-2026-r1,Valorant Masters London 2026
Lysoar,XLG,4,0,1,0,0,1,0,0,0,44,2,1,all,2026-06-06 10:00:00,https://www.vlr.gg/684613/xi-lai-gaming-vs-nrg-valorant-masters-london-2026-r1,Valorant Masters London 2026
happywei,XLG,7,1,0,0,0,0,0,0,0,49,1,1,all,2026-06-06 10:00:00,https://www.vlr.gg/684613/xi-lai-gaming-vs-nrg-valorant-masters-london-2026-r1,Valorant Masters London 2026
brawk,NRG,1,2,0,0,2,0,0,0,0,60,1,5,all,2026-06-06 10:00:00,https://www.vlr.gg/684613/xi-lai-gaming-vs-nrg-valorant-masters-london-2026-r1,Valorant Masters London 2026
mada,NRG,4,3,0,0,0,0,0,0,0,45,1,1,all,2026-06-06 10:00:00,https://www.vlr.gg/684613/xi-lai-gaming-vs-nrg-valorant-masters-london-2026-r1,Valorant Masters London 2026
skuba,NRG,3,2,0,0,1,1,0,0,0,46,5,0,all,2026-06-06 10:00:00,https://www.vlr.gg/684613/xi-lai-gaming-vs-nrg-valorant-masters-london-2026-r1,Valorant Masters London 2026
Ethan,NRG,5,1,0,0,1,0,0,0,0,45,6,1,all,2026-06-06 10:00:00,https://www.vlr.gg/684613/xi-lai-gaming-vs-nrg-valorant-masters-london-2026-r1,Valorant Masters London 2026
keiko,NRG,8,10,1,0,1,0,0,0,0,85,1,1,all,2026-06-06 10:00:00,https://www.vlr.gg/684613/xi-lai-gaming-vs-nrg-valorant-masters-london-2026-r1,Valorant Masters London 2026
