team,rival,team_1_select_1,team_2_select_1,team_1_select_2,team_2_select_2,team_1_select_3,team_2_select_3,decider,order,bo,date,source_url,event
EDG,M8,Split,Breeze,Haven,Pearl,Bind,Corrode,Abyss,A,3,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
NRG,XLG,Bind,Corrode,Haven,Abyss,Split,Breeze,Pearl,A,3,2026-02-28 14:30:00,https://www.vlr.gg/625791/xi-lai-gaming-vs-nrg-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
PRX,G2,Abyss,Haven,Split,Corrode,Pearl,Bind,Breeze,A,3,2026-03-01 12:00:00,https://www.vlr.gg/625790/g2-esports-vs-paper-rex-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
TL,T1,Pearl,Bind,Breeze,Split,Abyss,Corrode,Haven,A,3,2026-03-01 14:05:00,https://www.vlr.gg/625789/t1-vs-team-liquid-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
PRX,NRG,Abyss,Bind,Split,Pearl,Corrode,Breeze,Haven,A,3,2026-03-02 13:00:00,https://www.vlr.gg/626529/paper-rex-vs-nrg-valorant-masters-santiago-2026-r2-1-0,Valorant Masters Santiago 2026
M8,TL,Breeze,Abyss,Pearl,Bind,Corrode,Haven,Split,A,3,2026-03-02 16:30:00,https://www.vlr.gg/626530/gentle-mates-vs-team-liquid-valorant-masters-santiago-2026-r2-1-0,Valorant Masters Santiago 2026
T1,EDG,Corrode,Breeze,Bind,Haven,Abyss,Pearl,Split,A,3,2026-03-03 13:00:00,https://www.vlr.gg/626532/edward-gaming-vs-t1-valorant-masters-santiago-2026-r2-0-1,Valorant Masters Santiago 2026
XLG,G2,Corrode,Pearl,Abyss,Haven,Split,Bind,Breeze,A,3,2026-03-03 15:10:00,https://www.vlr.gg/626533/xi-lai-gaming-vs-g2-esports-valorant-masters-santiago-2026-r2-0-1,Valorant Masters Santiago 2026
TL,NRG,Haven,Bind,Breeze,Abyss,Corrode,Split,Pearl,A,3,2026-03-04 13:00:00,https://www.vlr.gg/626535/nrg-vs-team-liquid-valorant-masters-santiago-2026-r3,Valorant Masters Santiago 2026
T1,G2,Corrode,Bind,Breeze,Haven,Abyss,Pearl,Split,A,3,2026-03-04 15:20:00,https://www.vlr.gg/626534/g2-esports-vs-t1-valorant-masters-santiago-2026-r3,Valorant Masters Santiago 2026
PRX,FUR,Abyss,Bind,Haven,Breeze,Corrode,Pearl,Split,A,3,2026-03-06 13:00:00,https://www.vlr.gg/626539/furia-vs-paper-rex-valorant-masters-santiago-2026-ubqf,Valorant Masters Santiago 2026
M8,NS,Breeze,Pearl,Haven,Corrode,Split,Abyss,Bind,A,3,2026-03-06 16:00:00,https://www.vlr.gg/626537/nongshim-redforce-vs-gentle-mates-valorant-masters-santiago-2026-ubqf,Valorant Masters Santiago 2026
BBL,NRG,Bind,Haven,Pearl,Abyss,Corrode,Breeze,Split,A,3,2026-03-07 12:00:00,https://www.vlr.gg/626540/bbl-esports-vs-nrg-valorant-masters-santiago-2026-ubqf,Valorant Masters Santiago 2026
AG,G2,Haven,Pearl,Split,Abyss,Breeze,Corrode,Bind,A,3,2026-03-07 15:30:00,https://www.vlr.gg/626538/all-gamers-vs-g2-esports-valorant-masters-santiago-2026-ubqf,Valorant Masters Santiago 2026
FUR,BBL,Pearl,Bind,Haven,Breeze,Corrode,Split,Abyss,A,3,2026-03-08 13:00:00,https://www.vlr.gg/626546/furia-vs-bbl-esports-valorant-masters-santiago-2026-lr1,Valorant Masters Santiago 2026
M8,AG,Breeze,Haven,Pearl,Split,Corrode,Abyss,Bind,A,3,2026-03-08 16:30:00,https://www.vlr.gg/626545/gentle-mates-vs-all-gamers-valorant-masters-santiago-2026-lr1,Valorant Masters Santiago 2026
