player,team,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE,map,date,source_url,event
starxo,M8,6,1,0,0,0,0,0,0,0,44,7,0,all,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
GLYPH,M8,6,1,0,0,0,0,0,0,0,52,1,0,all,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
marteen,M8,5,4,0,0,3,0,0,0,0,60,4,2,all,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
bipo,M8,3,1,0,0,0,0,0,0,0,41,1,1,all,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
Minny,M8,5,2,0,0,0,0,0,0,0,54,5,0,all,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
nobody,EDG,4,0,1,0,0,0,0,0,0,40,6,1,all,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
ZmjjKK,EDG,5,2,1,0,0,0,0,0,0,57,0,1,all,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
Smoggy,EDG,4,0,0,0,0,0,0,0,0,47,2,0,all,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
CHICHOO,EDG,7,0,0,0,0,0,0,0,0,48,1,1,all,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
cb,EDG,8,1,0,0,0,0,0,0,0,53,1,1,all,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
starxo,M8,5,1,0,0,0,0,0,0,0,46,2,0,Haven,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
GLYPH,M8,2,0,0,0,0,0,0,0,0,27,0,0,Haven,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
marteen,M8,2,1,0,0,1,0,0,0,0,39,4,1,Haven,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
bipo,M8,2,1,0,0,0,0,0,0,0,43,1,0,Haven,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
Minny,M8,3,1,0,0,0,0,0,0,0,58,4,0,Haven,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
nobody,EDG,2,0,1,0,0,0,0,0,0,47,5,1,Haven,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
ZmjjKK,EDG,3,1,1,0,0,0,0,0,0,76,0,1,Haven,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
Smoggy,EDG,2,0,0,0,0,0,0,0,0,48,0,0,Haven,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
CHICHOO,EDG,3,0,0,0,0,0,0,0,0,47,1,1,Haven,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
cb,EDG,4,1,0,0,0,0,0,0,0,55,1,0,Haven,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
starxo,M8,1,0,0,0,0,0,0,0,0,42,5,0,Pearl,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
GLYPH,M8,4,1,0,0,0,0,0,0,0,77,1,0,Pearl,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
marteen,M8,3,3,0,0,2,0,0,0,0,81,0,1,Pearl,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
bipo,M8,1,0,0,0,0,0,0,0,0,39,0,1,Pearl,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
Minny,M8,2,1,0,0,0,0,0,0,0,50,1,0,Pearl,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
nobody,EDG,2,0,0,0,0,0,0,0,0,32,1,0,Pearl,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
ZmjjKK,EDG,2,1,0,0,0,0,0,0,0,38,0,0,Pearl,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
Smoggy,EDG,2,0,0,0,0,0,0,0,0,45,2,0,Pearl,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
CHICHOO,EDG,4,0,0,0,0,0,0,0,0,48,0,0,Pearl,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
cb,EDG,4,0,0,0,0,0,0,0,0,50,0,1,Pearl,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
NoMan,XLG,4,0,0,0,0,0,0,0,0,32,1,0,all,2026-02-28 14:30:00,https://www.vlr.gg/625791/xi-lai-gaming-vs-nrg-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
Rarga,XLG,3,3,0,0,0,0,0,0,0,51,0,0,all,2026-02-28 14:30:00,https://www.vlr.gg/625791/xi-lai-gaming-vs-nrg-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
WsLeo,XLG,2,1,0,0,0,0,0,0,0,37,6,1,all,2026-02-28 14:30:00,https://www.vlr.gg/625791/xi-lai-gaming-vs-nrg-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
