team,player,agent,ratingBoth,ratingT,rating-ct,acsBoth,acsT,acsCT,killsBoth,killsT,killsCT,deadBoth,deadT,deadCT,assistsBoth,assistsT,assistsCT,k-dBoth,k-dT,k-dCT,kastBoth,kastT,kastCT,adrBoth,adrT,adrCT,hsBoth,hsT,hsCT,fkBoth,fkT,fkCT,fdBoth,fdT,fdCT,fk-fdBoth,fk-fdT,fk-fdCT,map,map_id_vlr,map_duration,date,source_url,event
M8,Minny,Cypher,1.33,1.66,0.99,241.0,304.0,179.0,21.0,14.0,7.0,16.0,7.0,9.0,5.0,2.0,3.0,5.0,7.0,-2.0,0.71,0.83,0.58,163.0,180.0,146.0,0.42,0.52,0.32,1.0,0.0,1.0,1.0,1.0,0.0,0.0,-1.0,1.0,Haven,254143,54:30,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
M8,starxo,Sova,1.07,1.2,0.94,207.0,244.0,171.0,17.0,10.0,7.0,15.0,7.0,8.0,4.0,3.0,1.0,2.0,3.0,-1.0,0.58,0.58,0.58,125.0,153.0,97.0,0.26,0.38,0.14,4.0,2.0,2.0,5.0,3.0,2.0,-1.0,-1.0,0.0,Haven,254143,54:30,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
M8,marteen,Yoru,0.94,0.92,0.95,164.0,164.0,165.0,12.0,6.0,6.0,15.0,7.0,8.0,7.0,5.0,2.0,-3.0,-1.0,-2.0,0.63,0.67,0.58,107.0,99.0,114.0,0.26,0.19,0.38,2.0,1.0,1.0,4.0,2.0,2.0,-2.0,-1.0,-1.0,Haven,254143,54:30,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
M8,bipo,Neon,0.93,0.98,0.88,162.0,175.0,149.0,14.0,8.0,6.0,13.0,6.0,7.0,6.0,4.0,2.0,1.0,2.0,-1.0,0.63,0.67,0.58,104.0,112.0,95.0,0.21,0.27,0.15,2.0,0.0,2.0,4.0,3.0,1.0,-2.0,-3.0,1.0,Haven,254143,54:30,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
M8,GLYPH,Astra,0.85,0.83,0.87,114.0,89.0,140.0,10.0,4.0,6.0,15.0,6.0,9.0,8.0,2.0,6.0,-5.0,-2.0,-3.0,0.54,0.58,0.5,73.0,62.0,84.0,0.25,0.09,0.5,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,Haven,254143,54:30,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
EDG,ZmjjKK,Chamber,1.21,1.14,1.28,240.0,213.0,268.0,21.0,10.0,11.0,14.0,6.0,8.0,1.0,0.0,1.0,7.0,4.0,3.0,0.67,0.67,0.67,153.0,136.0,171.0,0.28,0.15,0.38,6.0,1.0,5.0,2.0,2.0,0.0,4.0,-1.0,5.0,Haven,254143,54:30,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
EDG,cb,Neon,0.93,1.34,0.52,204.0,319.0,90.0,19.0,15.0,4.0,15.0,7.0,8.0,0.0,0.0,0.0,4.0,8.0,-4.0,0.71,0.83,0.58,128.0,203.0,53.0,0.33,0.39,0.17,3.0,2.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,Haven,254143,54:30,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
EDG,nobody,Sova,0.92,1.02,0.82,147.0,130.0,165.0,13.0,6.0,7.0,14.0,6.0,8.0,3.0,1.0,2.0,-1.0,0.0,-1.0,0.5,0.67,0.33,101.0,89.0,113.0,0.18,0.16,0.19,0.0,0.0,0.0,2.0,1.0,1.0,-2.0,-1.0,-1.0,Haven,254143,54:30,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
EDG,Smoggy,Omen,0.81,0.76,0.87,148.0,127.0,170.0,10.0,4.0,6.0,16.0,7.0,9.0,9.0,5.0,4.0,-6.0,-3.0,-3.0,0.71,0.67,0.75,104.0,90.0,119.0,0.23,0.13,0.37,3.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,Haven,254143,54:30,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
EDG,CHICHOO,Viper,0.8,0.88,0.72,146.0,143.0,149.0,11.0,6.0,5.0,15.0,6.0,9.0,5.0,2.0,3.0,-4.0,0.0,-4.0,0.58,0.67,0.5,106.0,115.0,97.0,0.21,0.17,0.27,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,Haven,254143,54:30,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
