teamA,map,side,teamB,rndA,rndB,round,winCon,date,map_order,event,source_url
M8,Haven,atk,EDG,0,1,1,elim,2026-02-28 12:00:00,0,Valorant Masters Santiago 2026,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1
M8,Haven,atk,EDG,1,0,2,elim,2026-02-28 12:00:00,0,Valorant Masters Santiago 2026,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1
M8,Haven,atk,EDG,1,0,3,elim,2026-02-28 12:00:00,0,Valorant Masters Santiago 2026,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1
M8,Haven,atk,EDG,0,1,4,defus,2026-02-28 12:00:00,0,Valorant Masters Santiago 2026,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1
M8,Haven,atk,EDG,1,0,5,elim,2026-02-28 12:00:00,0,Valorant Masters Santiago 2026,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1
M8,Haven,atk,EDG,1,0,6,elim,2026-02-28 12:00:00,0,Valorant Masters Santiago 2026,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1
M8,Haven,atk,EDG,1,0,7,elim,2026-02-28 12:00:00,0,Valorant Masters Santiago 2026,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1
M8,Haven,atk,EDG,1,0,8,boom,2026-02-28 12:00:00,0,Valorant Masters Santiago 2026,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1
M8,Haven,atk,EDG,1,0,9,boom,2026-02-28 12:00:00,0,Valorant Masters Santiago 2026,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1
M8,Haven,atk,EDG,0,1,10,defus,2026-02-28 12:00:00,0,Valorant Masters Santiago 2026,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1
M8,Haven,atk,EDG,0,1,11,defus,2026-02-28 12:00:00,0,Valorant Masters Santiago 2026,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1
M8,Haven,atk,EDG,1,0,12,elim,2026-02-28 12:00:00,0,Valorant Masters Santiago 2026,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1
M8,Haven,def,EDG,1,0,13,elim,2026-02-28 12:00:00,0,Valorant Masters Santiago 2026,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1
M8,Haven,def,EDG,1,0,14,elim,2026-02-28 12:00:00,0,Valorant Masters Santiago 2026,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1
M8,Haven,def,EDG,0,1,15,elim,2026-02-28 12:00:00,0,Valorant Masters Santiago 2026,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1
M8,Haven,def,EDG,0,1,16,elim,2026-02-28 12:00:00,0,Valorant Masters Santiago 2026,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1
M8,Haven,def,EDG,0,1,17,elim,2026-02-28 12:00:00,0,Valorant Masters Santiago 2026,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1
M8,Haven,def,EDG,0,1,18,elim,2026-02-28 12:00:00,0,Valorant Masters Santiago 2026,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1
M8,Haven,def,EDG,0,1,19,elim,2026-02-28 12:00:00,0,Valorant Masters Santiago 2026,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1
M8,Haven,def,EDG,0,1,20,boom,2026-02-28 12:00:00,0,Valorant Masters Santiago 2026,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1
M8,Haven,def,EDG,1,0,21,elim,2026-02-28 12:00:00,0,Valorant Masters Santiago 2026,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1
M8,Haven,def,EDG,1,0,22,defus,2026-02-28 12:00:00,0,Valorant Masters Santiago 2026,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1
M8,Haven,def,EDG,0,1,23,boom,2026-02-28 12:00:00,0,Valorant Masters Santiago 2026,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1
M8,Haven,def,EDG,1,0,24,elim,2026-02-28 12:00:00,0,Valorant Masters Santiago 2026,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1
M8,Pearl,atk,EDG,0,1,1,elim,2026-02-28 12:00:00,1,Valorant Masters Santiago 2026,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1
M8,Pearl,atk,EDG,0,1,2,elim,2026-02-28 12:00:00,1,Valorant Masters Santiago 2026,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1
M8,Pearl,atk,EDG,1,0,3,elim,2026-02-28 12:00:00,1,Valorant Masters Santiago 2026,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1
