team_a,team_b,team_a_economy,team_b_economy,round,team_a_bank,team_b_bank,map,date,source_url,event
M8,EDG,3800,3550,1,0.3k,0.2k,Haven,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
M8,EDG,4350,12850,2,6.2k,4.1k,Haven,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
M8,EDG,20650,6450,3,9.1k,8.5k,Haven,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
M8,EDG,22200,20800,4,17.1k,1.2k,Haven,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
M8,EDG,22800,21300,5,5.8k,10.8k,Haven,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
M8,EDG,23400,16400,6,6.1k,4.7k,Haven,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
M8,EDG,22750,7700,7,10.7k,10.5k,Haven,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
M8,EDG,23250,23350,8,17.5k,3.5k,Haven,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
M8,EDG,25850,21200,9,20.6k,2.6k,Haven,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
M8,EDG,23300,15150,10,23.7k,6.0k,Haven,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
M8,EDG,23400,25850,11,11.1k,12.9k,Haven,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
M8,EDG,22650,25650,12,2.9k,23.0k,Haven,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
M8,EDG,3400,3850,13,0.2k,0.3k,Haven,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
M8,EDG,17000,3200,14,1.7k,7.5k,Haven,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
M8,EDG,12750,20900,15,13.0k,0.5k,Haven,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
M8,EDG,20800,22100,16,2.4k,12.9k,Haven,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
M8,EDG,5200,22550,17,10.4k,24.0k,Haven,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
M8,EDG,23450,26250,18,3.1k,31.7k,Haven,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
M8,EDG,7300,25950,19,11.4k,26.8k,Haven,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
M8,EDG,21400,26250,20,5.0k,36.8k,Haven,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
M8,EDG,22250,26550,21,4.8k,38.6k,Haven,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
M8,EDG,22750,23950,22,10.3k,20.7k,Haven,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
M8,EDG,22300,26050,23,4.6k,10.5k,Haven,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
M8,EDG,17900,26050,24,0.9k,11.2k,Haven,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
M8,EDG,3650,3000,1,0.3k,0.4k,Pearl,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
M8,EDG,2850,16100,2,7.9k,1.8k,Pearl,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
M8,EDG,20400,14950,3,0.9k,12.8k,Pearl,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
M8,EDG,23200,21550,4,8.9k,0.7k,Pearl,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
M8,EDG,23450,5800,5,10.4k,7.9k,Pearl,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
M8,EDG,12050,23950,6,9.2k,10.0k,Pearl,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
M8,EDG,24750,9000,7,15.4k,11.3k,Pearl,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
M8,EDG,23350,25350,8,5.4k,8.9k,Pearl,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
M8,EDG,18100,24400,9,1.0k,15.5k,Pearl,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
M8,EDG,21700,24400,10,10.2k,6.8k,Pearl,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
M8,EDG,19350,24900,11,1.9k,7.1k,Pearl,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
M8,EDG,22800,20750,12,5.5k,0.9k,Pearl,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
M8,EDG,3600,3600,13,0.2k,0.4k,Pearl,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
M8,EDG,1150,14850,14,9.0k,4.5k,Pearl,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
M8,EDG,22000,9700,15,2.8k,8.2k,Pearl,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
M8,EDG,22000,20500,16,14.9k,2.5k,Pearl,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
M8,EDG,23200,11900,17,15.7k,6.3k,Pearl,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
M8,EDG,24850,21850,18,11.1k,0.7k,Pearl,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
M8,EDG,25150,17500,19,22.1k,3.0k,Pearl,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
M8,EDG,24900,18650,20,25.0k,0.4k,Pearl,2026-02-28 12:00:00,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
XLG,NRG,3450,4050,1,0.3k,0.1k,Haven,2026-02-28 14:30:00,https://www.vlr.gg/625791/xi-lai-gaming-vs-nrg-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
XLG,NRG,1800,13450,2,9.1k,4.9k,Haven,2026-02-28 14:30:00,https://www.vlr.gg/625791/xi-lai-gaming-vs-nrg-valorant-masters-santiago-2026-r1,Valorant Masters Santiago 2026
