team,rival,team_1_select_1,team_2_select_1,team_1_select_2,team_2_select_2,team_1_select_3,team_2_select_3,decider,order,bo,date,source_url,event
ENVY,EG,Haven,Breeze,Abyss,Corrode,Pearl,Split,Bind,A,3,2026-01-15 17:00:00,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1,VCT 2026: Americas Kickoff
C9,LOUD,Breeze,Split,Haven,Abyss,Corrode,Pearl,Bind,A,3,2026-01-15 20:10:00,https://www.vlr.gg/596398/loud-vs-cloud9-vct-2026-americas-kickoff-ur1,VCT 2026: Americas Kickoff
KRÜ,FUR,Haven,Split,Pearl,Breeze,Bind,Corrode,Abyss,A,3,2026-01-16 17:00:00,https://www.vlr.gg/596400/kr-esports-vs-furia-vct-2026-americas-kickoff-ur1,VCT 2026: Americas Kickoff
LEV,100T,Abyss,Corrode,Bind,Pearl,Breeze,Haven,Split,A,3,2026-01-16 20:05:00,https://www.vlr.gg/596401/100-thieves-vs-leviat-n-vct-2026-americas-kickoff-ur1,VCT 2026: Americas Kickoff
C9,NRG,Corrode,Haven,Pearl,Breeze,Abyss,Split,Bind,A,3,2026-01-17 17:00:00,https://www.vlr.gg/596402/nrg-vs-cloud9-vct-2026-americas-kickoff-ur2,VCT 2026: Americas Kickoff
ENVY,MIBR,Haven,Split,Abyss,Corrode,Breeze,Pearl,Bind,A,3,2026-01-17 19:00:00,https://www.vlr.gg/596403/mibr-vs-envy-vct-2026-americas-kickoff-ur2,VCT 2026: Americas Kickoff
SEN,FUR,Haven,Pearl,Split,Breeze,Bind,Corrode,Abyss,A,3,2026-01-18 17:00:00,https://www.vlr.gg/596404/sentinels-vs-furia-vct-2026-americas-kickoff-ur2,VCT 2026: Americas Kickoff
100T,G2,Abyss,Breeze,Bind,Corrode,Haven,Pearl,Split,A,3,2026-01-18 19:20:00,https://www.vlr.gg/596405/g2-esports-vs-100-thieves-vct-2026-americas-kickoff-ur2,VCT 2026: Americas Kickoff
LOUD,100T,Split,Abyss,Breeze,Pearl,Corrode,Haven,Bind,A,3,2026-01-23 17:00:00,https://www.vlr.gg/596409/loud-vs-100-thieves-vct-2026-americas-kickoff-mr1,VCT 2026: Americas Kickoff
EG,SEN,Breeze,Haven,Abyss,Pearl,Split,Bind,Corrode,A,3,2026-01-23 20:10:00,https://www.vlr.gg/596410/evil-geniuses-vs-sentinels-vct-2026-americas-kickoff-mr1,VCT 2026: Americas Kickoff
ENVY,KRÜ,Haven,Corrode,Abyss,Pearl,Split,Bind,Breeze,A,3,2026-01-24 17:00:00,https://www.vlr.gg/596411/kr-esports-vs-envy-vct-2026-americas-kickoff-mr1,VCT 2026: Americas Kickoff
LEV,C9,Abyss,Corrode,Pearl,Split,Breeze,Bind,Haven,A,3,2026-01-24 20:05:00,https://www.vlr.gg/596412/leviat-n-vs-cloud9-vct-2026-americas-kickoff-mr1,VCT 2026: Americas Kickoff
100T,SEN,Abyss,Haven,Corrode,Split,Breeze,Bind,Pearl,A,3,2026-01-25 17:00:00,https://www.vlr.gg/596413/100-thieves-vs-sentinels-vct-2026-americas-kickoff-mr2,VCT 2026: Americas Kickoff
