player,team,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE,map,date,source_url,event
Inspire,ENVY,11,3,1,0,2,0,0,0,0,56,3,2,all,2026-01-15 17:00:00,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1,VCT 2026: Americas Kickoff
Rossy,ENVY,9,5,0,0,1,0,0,0,0,53,2,1,all,2026-01-15 17:00:00,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1,VCT 2026: Americas Kickoff
keznit,ENVY,8,0,0,0,1,0,0,0,0,45,0,0,all,2026-01-15 17:00:00,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1,VCT 2026: Americas Kickoff
P0PPIN,ENVY,4,0,0,0,0,0,0,0,0,35,17,0,all,2026-01-15 17:00:00,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1,VCT 2026: Americas Kickoff
Eggsterr,ENVY,10,6,1,0,0,0,0,0,0,54,2,3,all,2026-01-15 17:00:00,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1,VCT 2026: Americas Kickoff
C0M,EG,4,2,0,0,0,1,0,0,0,47,10,2,all,2026-01-15 17:00:00,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1,VCT 2026: Americas Kickoff
supamen,EG,7,2,0,0,0,0,0,0,0,52,0,1,all,2026-01-15 17:00:00,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1,VCT 2026: Americas Kickoff
Okeanos,EG,10,4,1,0,0,0,0,0,0,51,1,1,all,2026-01-15 17:00:00,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1,VCT 2026: Americas Kickoff
dgzin,EG,13,1,0,0,0,0,0,0,0,48,1,6,all,2026-01-15 17:00:00,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1,VCT 2026: Americas Kickoff
bao,EG,10,1,1,0,0,0,0,0,0,49,7,1,all,2026-01-15 17:00:00,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1,VCT 2026: Americas Kickoff
Inspire,ENVY,4,0,1,0,0,0,0,0,0,57,1,0,Abyss,2026-01-15 17:00:00,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1,VCT 2026: Americas Kickoff
Rossy,ENVY,3,2,0,0,0,0,0,0,0,55,0,0,Abyss,2026-01-15 17:00:00,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1,VCT 2026: Americas Kickoff
keznit,ENVY,2,0,0,0,0,0,0,0,0,40,0,0,Abyss,2026-01-15 17:00:00,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1,VCT 2026: Americas Kickoff
P0PPIN,ENVY,0,0,0,0,0,0,0,0,0,22,6,0,Abyss,2026-01-15 17:00:00,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1,VCT 2026: Americas Kickoff
Eggsterr,ENVY,1,2,0,0,0,0,0,0,0,46,0,3,Abyss,2026-01-15 17:00:00,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1,VCT 2026: Americas Kickoff
C0M,EG,2,0,0,0,0,0,0,0,0,58,3,1,Abyss,2026-01-15 17:00:00,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1,VCT 2026: Americas Kickoff
supamen,EG,1,0,0,0,0,0,0,0,0,32,0,0,Abyss,2026-01-15 17:00:00,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1,VCT 2026: Americas Kickoff
Okeanos,EG,4,1,0,0,0,0,0,0,0,47,1,0,Abyss,2026-01-15 17:00:00,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1,VCT 2026: Americas Kickoff
dgzin,EG,6,1,0,0,0,0,0,0,0,57,1,3,Abyss,2026-01-15 17:00:00,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1,VCT 2026: Americas Kickoff
bao,EG,4,1,1,0,0,0,0,0,0,67,1,1,Abyss,2026-01-15 17:00:00,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1,VCT 2026: Americas Kickoff
Inspire,ENVY,5,0,0,0,1,0,0,0,0,56,0,1,Corrode,2026-01-15 17:00:00,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1,VCT 2026: Americas Kickoff
Rossy,ENVY,4,2,0,0,1,0,0,0,0,53,1,1,Corrode,2026-01-15 17:00:00,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1,VCT 2026: Americas Kickoff
keznit,ENVY,2,0,0,0,1,0,0,0,0,42,0,0,Corrode,2026-01-15 17:00:00,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1,VCT 2026: Americas Kickoff
P0PPIN,ENVY,3,0,0,0,0,0,0,0,0,53,6,0,Corrode,2026-01-15 17:00:00,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1,VCT 2026: Americas Kickoff
Eggsterr,ENVY,5,1,0,0,0,0,0,0,0,48,2,0,Corrode,2026-01-15 17:00:00,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1,VCT 2026: Americas Kickoff
C0M,EG,0,2,0,0,0,0,0,0,0,44,5,1,Corrode,2026-01-15 17:00:00,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1,VCT 2026: Americas Kickoff
supamen,EG,3,1,0,0,0,0,0,0,0,52,0,0,Corrode,2026-01-15 17:00:00,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1,VCT 2026: Americas Kickoff
Okeanos,EG,3,2,1,0,0,0,0,0,0,65,0,1,Corrode,2026-01-15 17:00:00,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1,VCT 2026: Americas Kickoff
dgzin,EG,5,0,0,0,0,0,0,0,0,52,0,1,Corrode,2026-01-15 17:00:00,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1,VCT 2026: Americas Kickoff
bao,EG,2,0,0,0,0,0,0,0,0,23,2,0,Corrode,2026-01-15 17:00:00,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1,VCT 2026: Americas Kickoff
Inspire,ENVY,2,3,0,0,1,0,0,0,0,55,2,1,Bind,2026-01-15 17:00:00,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1,VCT 2026: Americas Kickoff
Rossy,ENVY,2,1,0,0,0,0,0,0,0,50,1,0,Bind,2026-01-15 17:00:00,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1,VCT 2026: Americas Kickoff
keznit,ENVY,4,0,0,0,0,0,0,0,0,54,0,0,Bind,2026-01-15 17:00:00,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1,VCT 2026: Americas Kickoff
P0PPIN,ENVY,1,0,0,0,0,0,0,0,0,31,5,0,Bind,2026-01-15 17:00:00,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1,VCT 2026: Americas Kickoff
Eggsterr,ENVY,4,3,1,0,0,0,0,0,0,67,0,0,Bind,2026-01-15 17:00:00,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1,VCT 2026: Americas Kickoff
C0M,EG,2,0,0,0,0,1,0,0,0,38,2,0,Bind,2026-01-15 17:00:00,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1,VCT 2026: Americas Kickoff
supamen,EG,3,1,0,0,0,0,0,0,0,72,0,1,Bind,2026-01-15 17:00:00,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1,VCT 2026: Americas Kickoff
Okeanos,EG,3,1,0,0,0,0,0,0,0,40,0,0,Bind,2026-01-15 17:00:00,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1,VCT 2026: Americas Kickoff
dgzin,EG,2,0,0,0,0,0,0,0,0,35,0,2,Bind,2026-01-15 17:00:00,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1,VCT 2026: Americas Kickoff
bao,EG,4,0,0,0,0,0,0,0,0,56,4,0,Bind,2026-01-15 17:00:00,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1,VCT 2026: Americas Kickoff
