team,player,agent,ratingBoth,ratingT,rating-ct,acsBoth,acsT,acsCT,killsBoth,killsT,killsCT,deadBoth,deadT,deadCT,assistsBoth,assistsT,assistsCT,k-dBoth,k-dT,k-dCT,kastBoth,kastT,kastCT,adrBoth,adrT,adrCT,hsBoth,hsT,hsCT,fkBoth,fkT,fkCT,fdBoth,fdT,fdCT,fk-fdBoth,fk-fdT,fk-fdCT,map,map_id_vlr,map_duration,date,source_url,event
ENVY,Rossy,Omen,1.04,0.38,1.84,204.0,74.0,362.0,17.0,2.0,15.0,14.0,10.0,4.0,5.0,4.0,1.0,3.0,-8.0,11.0,0.73,0.58,0.9,124.0,48.0,216.0,0.27,0.08,0.32,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,Abyss,244778,54:34,2026-01-15 17:00:00,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1,VCT 2026: Americas Kickoff
ENVY,Inspire,Viper,1.03,0.4,1.79,232.0,130.0,356.0,17.0,5.0,12.0,17.0,12.0,5.0,1.0,0.0,1.0,0.0,-7.0,7.0,0.64,0.42,0.9,148.0,82.0,227.0,0.25,0.31,0.23,3.0,1.0,2.0,2.0,2.0,0.0,1.0,-1.0,2.0,Abyss,244778,54:34,2026-01-15 17:00:00,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1,VCT 2026: Americas Kickoff
ENVY,keznit,Iso,0.94,0.99,0.87,173.0,184.0,161.0,12.0,7.0,5.0,15.0,9.0,6.0,4.0,1.0,3.0,-3.0,-2.0,-1.0,0.77,0.75,0.8,111.0,123.0,96.0,0.37,0.59,0.17,3.0,2.0,1.0,3.0,3.0,0.0,0.0,-1.0,1.0,Abyss,244778,54:34,2026-01-15 17:00:00,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1,VCT 2026: Americas Kickoff
ENVY,Eggsterr,Yoru,0.82,0.72,0.93,185.0,214.0,151.0,15.0,9.0,6.0,16.0,12.0,4.0,1.0,0.0,1.0,-1.0,-3.0,2.0,0.64,0.5,0.8,112.0,124.0,97.0,0.27,0.41,0.17,2.0,0.0,2.0,3.0,2.0,1.0,-1.0,-2.0,1.0,Abyss,244778,54:34,2026-01-15 17:00:00,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1,VCT 2026: Americas Kickoff
ENVY,P0PPIN,Sova,0.3,0.2,0.42,72.0,81.0,63.0,5.0,3.0,2.0,17.0,11.0,6.0,3.0,1.0,2.0,-12.0,-8.0,-4.0,0.59,0.42,0.8,59.0,54.0,66.0,0.18,0.14,0.2,1.0,1.0,0.0,3.0,1.0,2.0,-2.0,0.0,-2.0,Abyss,244778,54:34,2026-01-15 17:00:00,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1,VCT 2026: Americas Kickoff
EG,dgzin,Yoru,1.54,0.91,2.06,261.0,219.0,297.0,22.0,7.0,15.0,11.0,9.0,2.0,1.0,0.0,1.0,11.0,-2.0,13.0,0.73,0.5,0.92,163.0,129.0,192.0,0.2,0.5,0.1,4.0,3.0,1.0,3.0,3.0,0.0,1.0,0.0,1.0,Abyss,244778,54:34,2026-01-15 17:00:00,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1,VCT 2026: Americas Kickoff
EG,bao,Veto,1.42,0.86,1.89,267.0,158.0,359.0,20.0,5.0,15.0,13.0,7.0,6.0,7.0,2.0,5.0,7.0,-2.0,9.0,0.68,0.5,0.83,176.0,123.0,220.0,0.37,0.31,0.39,4.0,0.0,4.0,4.0,1.0,3.0,0.0,-1.0,1.0,Abyss,244778,54:34,2026-01-15 17:00:00,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1,VCT 2026: Americas Kickoff
EG,Okeanos,Breach,1.03,0.5,1.47,178.0,102.0,242.0,15.0,4.0,11.0,15.0,9.0,6.0,12.0,4.0,8.0,0.0,-5.0,5.0,0.77,0.7,0.83,114.0,54.0,164.0,0.39,0.6,0.36,0.0,0.0,0.0,1.0,1.0,0.0,-1.0,-1.0,0.0,Abyss,244778,54:34,2026-01-15 17:00:00,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1,VCT 2026: Americas Kickoff
EG,C0M,Sova,0.99,0.77,1.17,177.0,142.0,207.0,14.0,5.0,9.0,14.0,8.0,6.0,7.0,3.0,4.0,0.0,-3.0,3.0,0.77,0.6,0.92,133.0,105.0,155.0,0.24,0.27,0.22,2.0,0.0,2.0,3.0,2.0,1.0,-1.0,-2.0,1.0,Abyss,244778,54:34,2026-01-15 17:00:00,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1,VCT 2026: Americas Kickoff
EG,supamen,Astra,0.7,0.85,0.59,116.0,137.0,98.0,8.0,4.0,4.0,14.0,7.0,7.0,8.0,4.0,4.0,-6.0,-3.0,-3.0,0.73,0.6,0.83,76.0,89.0,65.0,0.38,0.45,0.31,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,Abyss,244778,54:34,2026-01-15 17:00:00,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1,VCT 2026: Americas Kickoff
ENVY,Eggsterr,Yoru,1.2,1.32,1.08,240.0,281.0,199.0,63.0,36.0,27.0,43.0,24.0,19.0,9.0,4.0,5.0,20.0,12.0,8.0,0.73,0.73,0.74,144.0,163.0,125.0,0.29,0.49,0.16,8.0,4.0,4.0,5.0,2.0,3.0,3.0,2.0,1.0,all,all,all,2026-01-15 17:00:00,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1,VCT 2026: Americas Kickoff
ENVY,Inspire,Viper,1.1,0.7,1.49,224.0,171.0,275.0,53.0,19.0,34.0,45.0,27.0,18.0,11.0,5.0,6.0,8.0,-8.0,16.0,0.69,0.55,0.82,142.0,118.0,165.0,0.33,0.34,0.32,8.0,2.0,6.0,9.0,6.0,3.0,-1.0,-4.0,3.0,all,all,all,2026-01-15 17:00:00,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1,VCT 2026: Americas Kickoff
ENVY,Rossy,Omen,1.09,0.79,1.38,206.0,144.0,268.0,49.0,15.0,34.0,44.0,24.0,20.0,23.0,12.0,11.0,5.0,-9.0,14.0,0.76,0.7,0.82,133.0,93.0,173.0,0.28,0.13,0.4,5.0,0.0,5.0,1.0,0.0,1.0,4.0,0.0,4.0,all,all,all,2026-01-15 17:00:00,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1,VCT 2026: Americas Kickoff
ENVY,keznit,Iso,0.96,0.93,0.98,185.0,178.0,193.0,43.0,20.0,23.0,45.0,23.0,22.0,14.0,6.0,8.0,-2.0,-3.0,1.0,0.78,0.7,0.85,124.0,115.0,133.0,0.35,0.39,0.32,8.0,5.0,3.0,11.0,9.0,2.0,-3.0,-4.0,1.0,all,all,all,2026-01-15 17:00:00,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1,VCT 2026: Americas Kickoff
ENVY,P0PPIN,Sova,0.62,0.61,0.63,121.0,146.0,100.0,27.0,15.0,12.0,46.0,26.0,20.0,18.0,12.0,6.0,-19.0,-11.0,-8.0,0.7,0.73,0.68,80.0,91.0,69.0,0.21,0.22,0.2,5.0,2.0,3.0,7.0,3.0,4.0,-2.0,-1.0,-1.0,all,all,all,2026-01-15 17:00:00,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1,VCT 2026: Americas Kickoff
EG,dgzin,Yoru,1.04,0.81,1.28,206.0,210.0,203.0,50.0,23.0,27.0,47.0,31.0,16.0,11.0,8.0,3.0,3.0,-8.0,11.0,0.64,0.56,0.73,136.0,132.0,139.0,0.31,0.35,0.27,10.0,7.0,3.0,8.0,7.0,1.0,2.0,0.0,2.0,all,all,all,2026-01-15 17:00:00,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1,VCT 2026: Americas Kickoff
EG,Okeanos,Breach,1.01,0.9,1.13,216.0,217.0,217.0,54.0,27.0,27.0,50.0,28.0,22.0,17.0,7.0,10.0,4.0,-1.0,5.0,0.67,0.68,0.67,146.0,141.0,152.0,0.32,0.38,0.27,7.0,4.0,3.0,9.0,6.0,3.0,-2.0,-2.0,0.0,all,all,all,2026-01-15 17:00:00,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1,VCT 2026: Americas Kickoff
