teamA,map,side,teamB,rndA,rndB,round,winCon,date,map_order,event,source_url
ENVY,Abyss,atk,EG,0,1,1,defus,2026-01-15 17:00:00,0,VCT 2026: Americas Kickoff,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1
ENVY,Abyss,atk,EG,0,1,2,elim,2026-01-15 17:00:00,0,VCT 2026: Americas Kickoff,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1
ENVY,Abyss,atk,EG,0,1,3,elim,2026-01-15 17:00:00,0,VCT 2026: Americas Kickoff,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1
ENVY,Abyss,atk,EG,0,1,4,elim,2026-01-15 17:00:00,0,VCT 2026: Americas Kickoff,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1
ENVY,Abyss,atk,EG,1,0,5,elim,2026-01-15 17:00:00,0,VCT 2026: Americas Kickoff,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1
ENVY,Abyss,atk,EG,0,1,6,defus,2026-01-15 17:00:00,0,VCT 2026: Americas Kickoff,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1
ENVY,Abyss,atk,EG,0,1,7,defus,2026-01-15 17:00:00,0,VCT 2026: Americas Kickoff,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1
ENVY,Abyss,atk,EG,0,1,8,defus,2026-01-15 17:00:00,0,VCT 2026: Americas Kickoff,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1
ENVY,Abyss,atk,EG,1,0,9,elim,2026-01-15 17:00:00,0,VCT 2026: Americas Kickoff,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1
ENVY,Abyss,atk,EG,0,1,10,defus,2026-01-15 17:00:00,0,VCT 2026: Americas Kickoff,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1
ENVY,Abyss,atk,EG,0,1,11,elim,2026-01-15 17:00:00,0,VCT 2026: Americas Kickoff,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1
ENVY,Abyss,atk,EG,0,1,12,elim,2026-01-15 17:00:00,0,VCT 2026: Americas Kickoff,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1
ENVY,Abyss,def,EG,1,0,13,elim,2026-01-15 17:00:00,0,VCT 2026: Americas Kickoff,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1
ENVY,Abyss,def,EG,1,0,14,elim,2026-01-15 17:00:00,0,VCT 2026: Americas Kickoff,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1
ENVY,Abyss,def,EG,0,1,15,elim,2026-01-15 17:00:00,0,VCT 2026: Americas Kickoff,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1
ENVY,Abyss,def,EG,1,0,16,defus,2026-01-15 17:00:00,0,VCT 2026: Americas Kickoff,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1
ENVY,Abyss,def,EG,1,0,17,defus,2026-01-15 17:00:00,0,VCT 2026: Americas Kickoff,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1
ENVY,Abyss,def,EG,1,0,18,elim,2026-01-15 17:00:00,0,VCT 2026: Americas Kickoff,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1
ENVY,Abyss,def,EG,1,0,19,elim,2026-01-15 17:00:00,0,VCT 2026: Americas Kickoff,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1
ENVY,Abyss,def,EG,0,1,20,elim,2026-01-15 17:00:00,0,VCT 2026: Americas Kickoff,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1
ENVY,Abyss,def,EG,1,0,21,defus,2026-01-15 17:00:00,0,VCT 2026: Americas Kickoff,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1
ENVY,Abyss,def,EG,0,1,22,elim,2026-01-15 17:00:00,0,VCT 2026: Americas Kickoff,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1
ENVY,Corrode,atk,EG,0,1,13,defus,2026-01-15 17:00:00,1,VCT 2026: Americas Kickoff,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1
ENVY,Corrode,atk,EG,0,1,14,elim,2026-01-15 17:00:00,1,VCT 2026: Americas Kickoff,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1
ENVY,Corrode,atk,EG,1,0,15,boom,2026-01-15 17:00:00,1,VCT 2026: Americas Kickoff,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1
ENVY,Corrode,atk,EG,1,0,16,elim,2026-01-15 17:00:00,1,VCT 2026: Americas Kickoff,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1
ENVY,Corrode,atk,EG,1,0,17,elim,2026-01-15 17:00:00,1,VCT 2026: Americas Kickoff,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1
ENVY,Corrode,atk,EG,1,0,18,boom,2026-01-15 17:00:00,1,VCT 2026: Americas Kickoff,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1
ENVY,Corrode,atk,EG,0,1,19,defus,2026-01-15 17:00:00,1,VCT 2026: Americas Kickoff,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1
ENVY,Corrode,atk,EG,0,1,20,defus,2026-01-15 17:00:00,1,VCT 2026: Americas Kickoff,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1
ENVY,Corrode,atk,EG,1,0,21,elim,2026-01-15 17:00:00,1,VCT 2026: Americas Kickoff,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1
ENVY,Corrode,atk,EG,0,1,22,elim,2026-01-15 17:00:00,1,VCT 2026: Americas Kickoff,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1
ENVY,Corrode,atk,EG,1,0,23,elim,2026-01-15 17:00:00,1,VCT 2026: Americas Kickoff,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1
ENVY,Corrode,def,EG,1,0,1,elim,2026-01-15 17:00:00,1,VCT 2026: Americas Kickoff,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1
ENVY,Corrode,def,EG,1,0,2,elim,2026-01-15 17:00:00,1,VCT 2026: Americas Kickoff,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1
ENVY,Corrode,def,EG,0,1,3,elim,2026-01-15 17:00:00,1,VCT 2026: Americas Kickoff,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1
ENVY,Corrode,def,EG,0,1,4,elim,2026-01-15 17:00:00,1,VCT 2026: Americas Kickoff,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1
ENVY,Corrode,def,EG,0,1,5,elim,2026-01-15 17:00:00,1,VCT 2026: Americas Kickoff,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1
ENVY,Corrode,def,EG,0,1,6,elim,2026-01-15 17:00:00,1,VCT 2026: Americas Kickoff,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1
ENVY,Corrode,def,EG,1,0,7,defus,2026-01-15 17:00:00,1,VCT 2026: Americas Kickoff,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1
ENVY,Corrode,def,EG,1,0,8,defus,2026-01-15 17:00:00,1,VCT 2026: Americas Kickoff,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1
ENVY,Corrode,def,EG,0,1,9,boom,2026-01-15 17:00:00,1,VCT 2026: Americas Kickoff,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1
ENVY,Corrode,def,EG,1,0,10,elim,2026-01-15 17:00:00,1,VCT 2026: Americas Kickoff,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1
ENVY,Corrode,def,EG,1,0,11,elim,2026-01-15 17:00:00,1,VCT 2026: Americas Kickoff,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1
ENVY,Corrode,def,EG,1,0,12,elim,2026-01-15 17:00:00,1,VCT 2026: Americas Kickoff,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1
ENVY,Bind,atk,EG,0,1,13,defus,2026-01-15 17:00:00,2,VCT 2026: Americas Kickoff,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1
ENVY,Bind,atk,EG,1,0,14,boom,2026-01-15 17:00:00,2,VCT 2026: Americas Kickoff,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1
ENVY,Bind,atk,EG,1,0,15,elim,2026-01-15 17:00:00,2,VCT 2026: Americas Kickoff,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1
ENVY,Bind,atk,EG,1,0,16,elim,2026-01-15 17:00:00,2,VCT 2026: Americas Kickoff,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1
ENVY,Bind,atk,EG,0,1,17,defus,2026-01-15 17:00:00,2,VCT 2026: Americas Kickoff,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1
ENVY,Bind,atk,EG,1,0,18,elim,2026-01-15 17:00:00,2,VCT 2026: Americas Kickoff,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1
ENVY,Bind,atk,EG,1,0,19,elim,2026-01-15 17:00:00,2,VCT 2026: Americas Kickoff,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1
