team_a,team_b,team_a_economy,team_b_economy,round,team_a_bank,team_b_bank,map,date,source_url,event
ENVY,EG,3950,3300,1,0.2k,0.2k,Abyss,2026-01-15 17:00:00,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1,VCT 2026: Americas Kickoff
ENVY,EG,4400,15300,2,7.7k,1.9k,Abyss,2026-01-15 17:00:00,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1,VCT 2026: Americas Kickoff
ENVY,EG,20200,18050,3,0.6k,11.4k,Abyss,2026-01-15 17:00:00,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1,VCT 2026: Americas Kickoff
ENVY,EG,8000,23450,4,7.6k,17.4k,Abyss,2026-01-15 17:00:00,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1,VCT 2026: Americas Kickoff
ENVY,EG,22650,23900,5,1.3k,23.1k,Abyss,2026-01-15 17:00:00,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1,VCT 2026: Americas Kickoff
ENVY,EG,21500,24300,6,9.8k,8.8k,Abyss,2026-01-15 17:00:00,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1,VCT 2026: Americas Kickoff
ENVY,EG,24700,25500,7,2.2k,18.9k,Abyss,2026-01-15 17:00:00,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1,VCT 2026: Americas Kickoff
ENVY,EG,10800,25350,8,6.0k,19.1k,Abyss,2026-01-15 17:00:00,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1,VCT 2026: Americas Kickoff
ENVY,EG,21500,23600,9,2.0k,18.9k,Abyss,2026-01-15 17:00:00,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1,VCT 2026: Americas Kickoff
ENVY,EG,23300,24900,10,4.6k,4.0k,Abyss,2026-01-15 17:00:00,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1,VCT 2026: Americas Kickoff
ENVY,EG,9900,25050,11,6.6k,12.7k,Abyss,2026-01-15 17:00:00,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1,VCT 2026: Americas Kickoff
ENVY,EG,19400,25500,12,0.2k,11.2k,Abyss,2026-01-15 17:00:00,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1,VCT 2026: Americas Kickoff
ENVY,EG,4050,3650,13,0.1k,0.4k,Abyss,2026-01-15 17:00:00,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1,VCT 2026: Americas Kickoff
ENVY,EG,18100,2250,14,0.9k,8.1k,Abyss,2026-01-15 17:00:00,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1,VCT 2026: Americas Kickoff
