player,team,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE,map,date,source_url,event
Victor,SEN,7,0,0,0,0,0,0,0,0,47,1,1,all,2026-04-10 17:00:00,https://www.vlr.gg/645474/sentinels-vs-kr-esports-vct-2026-americas-stage-1-w1,VCT 2026: Americas Stage 1
johnqt,SEN,6,2,1,0,0,0,0,0,0,59,4,0,all,2026-04-10 17:00:00,https://www.vlr.gg/645474/sentinels-vs-kr-esports-vct-2026-americas-stage-1-w1,VCT 2026: Americas Stage 1
JonahP,SEN,3,0,0,0,0,0,0,0,0,38,4,0,all,2026-04-10 17:00:00,https://www.vlr.gg/645474/sentinels-vs-kr-esports-vct-2026-americas-stage-1-w1,VCT 2026: Americas Stage 1
cortezia,SEN,4,0,1,0,2,0,0,0,0,44,4,0,all,2026-04-10 17:00:00,https://www.vlr.gg/645474/sentinels-vs-kr-esports-vct-2026-americas-stage-1-w1,VCT 2026: Americas Stage 1
Reduxx,SEN,3,0,3,0,1,0,0,0,0,54,1,1,all,2026-04-10 17:00:00,https://www.vlr.gg/645474/sentinels-vs-kr-esports-vct-2026-americas-stage-1-w1,VCT 2026: Americas Stage 1
saadhak,KRÜ,5,4,0,0,0,0,0,0,0,62,2,2,all,2026-04-10 17:00:00,https://www.vlr.gg/645474/sentinels-vs-kr-esports-vct-2026-americas-stage-1-w1,VCT 2026: Americas Stage 1
mwzera,KRÜ,5,0,0,1,0,0,0,0,0,62,9,2,all,2026-04-10 17:00:00,https://www.vlr.gg/645474/sentinels-vs-kr-esports-vct-2026-americas-stage-1-w1,VCT 2026: Americas Stage 1
Less,KRÜ,5,4,1,0,1,0,0,0,0,67,0,0,all,2026-04-10 17:00:00,https://www.vlr.gg/645474/sentinels-vs-kr-esports-vct-2026-americas-stage-1-w1,VCT 2026: Americas Stage 1
silentzz,KRÜ,1,3,0,1,1,1,0,0,0,48,1,2,all,2026-04-10 17:00:00,https://www.vlr.gg/645474/sentinels-vs-kr-esports-vct-2026-americas-stage-1-w1,VCT 2026: Americas Stage 1
Dantedeu5,KRÜ,4,5,1,0,0,0,0,0,0,49,1,0,all,2026-04-10 17:00:00,https://www.vlr.gg/645474/sentinels-vs-kr-esports-vct-2026-americas-stage-1-w1,VCT 2026: Americas Stage 1
Victor,SEN,3,0,0,0,0,0,0,0,0,47,0,1,Lotus,2026-04-10 17:00:00,https://www.vlr.gg/645474/sentinels-vs-kr-esports-vct-2026-americas-stage-1-w1,VCT 2026: Americas Stage 1
johnqt,SEN,2,1,0,0,0,0,0,0,0,43,2,0,Lotus,2026-04-10 17:00:00,https://www.vlr.gg/645474/sentinels-vs-kr-esports-vct-2026-americas-stage-1-w1,VCT 2026: Americas Stage 1
JonahP,SEN,1,0,0,0,0,0,0,0,0,33,2,0,Lotus,2026-04-10 17:00:00,https://www.vlr.gg/645474/sentinels-vs-kr-esports-vct-2026-americas-stage-1-w1,VCT 2026: Americas Stage 1
cortezia,SEN,2,0,1,0,0,0,0,0,0,54,2,0,Lotus,2026-04-10 17:00:00,https://www.vlr.gg/645474/sentinels-vs-kr-esports-vct-2026-americas-stage-1-w1,VCT 2026: Americas Stage 1
Reduxx,SEN,1,0,1,0,0,0,0,0,0,64,0,0,Lotus,2026-04-10 17:00:00,https://www.vlr.gg/645474/sentinels-vs-kr-esports-vct-2026-americas-stage-1-w1,VCT 2026: Americas Stage 1
saadhak,KRÜ,0,2,0,0,0,0,0,0,0,57,2,1,Lotus,2026-04-10 17:00:00,https://www.vlr.gg/645474/sentinels-vs-kr-esports-vct-2026-americas-stage-1-w1,VCT 2026: Americas Stage 1
