teamA,map,side,teamB,rndA,rndB,round,winCon,date,map_order,event,source_url
SEN,Lotus,atk,KRÜ,1,0,1,elim,2026-04-10 17:00:00,0,VCT 2026: Americas Stage 1,https://www.vlr.gg/645474/sentinels-vs-kr-esports-vct-2026-americas-stage-1-w1
SEN,Lotus,atk,KRÜ,0,1,2,defus,2026-04-10 17:00:00,0,VCT 2026: Americas Stage 1,https://www.vlr.gg/645474/sentinels-vs-kr-esports-vct-2026-americas-stage-1-w1
SEN,Lotus,atk,KRÜ,0,1,3,elim,2026-04-10 17:00:00,0,VCT 2026: Americas Stage 1,https://www.vlr.gg/645474/sentinels-vs-kr-esports-vct-2026-americas-stage-1-w1
SEN,Lotus,atk,KRÜ,1,0,4,elim,2026-04-10 17:00:00,0,VCT 2026: Americas Stage 1,https://www.vlr.gg/645474/sentinels-vs-kr-esports-vct-2026-americas-stage-1-w1
SEN,Lotus,atk,KRÜ,0,1,5,tim,2026-04-10 17:00:00,0,VCT 2026: Americas Stage 1,https://www.vlr.gg/645474/sentinels-vs-kr-esports-vct-2026-americas-stage-1-w1
SEN,Lotus,atk,KRÜ,0,1,6,elim,2026-04-10 17:00:00,0,VCT 2026: Americas Stage 1,https://www.vlr.gg/645474/sentinels-vs-kr-esports-vct-2026-americas-stage-1-w1
SEN,Lotus,atk,KRÜ,0,1,7,elim,2026-04-10 17:00:00,0,VCT 2026: Americas Stage 1,https://www.vlr.gg/645474/sentinels-vs-kr-esports-vct-2026-americas-stage-1-w1
SEN,Lotus,atk,KRÜ,0,1,8,elim,2026-04-10 17:00:00,0,VCT 2026: Americas Stage 1,https://www.vlr.gg/645474/sentinels-vs-kr-esports-vct-2026-americas-stage-1-w1
SEN,Lotus,atk,KRÜ,1,0,9,elim,2026-04-10 17:00:00,0,VCT 2026: Americas Stage 1,https://www.vlr.gg/645474/sentinels-vs-kr-esports-vct-2026-americas-stage-1-w1
SEN,Lotus,atk,KRÜ,0,1,10,defus,2026-04-10 17:00:00,0,VCT 2026: Americas Stage 1,https://www.vlr.gg/645474/sentinels-vs-kr-esports-vct-2026-americas-stage-1-w1
SEN,Lotus,atk,KRÜ,0,1,11,elim,2026-04-10 17:00:00,0,VCT 2026: Americas Stage 1,https://www.vlr.gg/645474/sentinels-vs-kr-esports-vct-2026-americas-stage-1-w1
SEN,Lotus,atk,KRÜ,1,0,12,elim,2026-04-10 17:00:00,0,VCT 2026: Americas Stage 1,https://www.vlr.gg/645474/sentinels-vs-kr-esports-vct-2026-americas-stage-1-w1
SEN,Lotus,def,KRÜ,0,1,13,elim,2026-04-10 17:00:00,0,VCT 2026: Americas Stage 1,https://www.vlr.gg/645474/sentinels-vs-kr-esports-vct-2026-americas-stage-1-w1
SEN,Lotus,def,KRÜ,0,1,14,elim,2026-04-10 17:00:00,0,VCT 2026: Americas Stage 1,https://www.vlr.gg/645474/sentinels-vs-kr-esports-vct-2026-americas-stage-1-w1
SEN,Lotus,def,KRÜ,1,0,15,elim,2026-04-10 17:00:00,0,VCT 2026: Americas Stage 1,https://www.vlr.gg/645474/sentinels-vs-kr-esports-vct-2026-americas-stage-1-w1
SEN,Lotus,def,KRÜ,0,1,16,elim,2026-04-10 17:00:00,0,VCT 2026: Americas Stage 1,https://www.vlr.gg/645474/sentinels-vs-kr-esports-vct-2026-americas-stage-1-w1
SEN,Lotus,def,KRÜ,0,1,17,elim,2026-04-10 17:00:00,0,VCT 2026: Americas Stage 1,https://www.vlr.gg/645474/sentinels-vs-kr-esports-vct-2026-americas-stage-1-w1
