team,rival,team_1_select_1,team_2_select_1,team_1_select_2,team_2_select_2,team_1_select_3,team_2_select_3,decider,order,bo,date,source_url,event
LEV,FUR,Breeze,Lotus,Haven,Sunset,Summit,Ascent,Split,A,3,2026-07-16 17:00:00,https://www.vlr.gg/706349/leviat-n-vs-furia-vct-2026-americas-stage-2-w1,VCT 2026: Americas Stage 2
C9,SEN,Breeze,Split,Summit,Haven,Ascent,Sunset,Lotus,A,3,2026-07-16 20:20:00,https://www.vlr.gg/706350/sentinels-vs-cloud9-vct-2026-americas-stage-2-w1,VCT 2026: Americas Stage 2
ENVY,EG,Haven,Lotus,Ascent,Breeze,Sunset,Summit,Split,A,3,2026-07-17 17:00:00,https://www.vlr.gg/706351/envy-vs-evil-geniuses-vct-2026-americas-stage-2-w1,VCT 2026: Americas Stage 2
KRÜ,LOUD,Summit,Split,Lotus,Breeze,Haven,Ascent,Sunset,A,3,2026-07-17 19:15:00,https://www.vlr.gg/706352/kr-esports-vs-loud-vct-2026-americas-stage-2-w1,VCT 2026: Americas Stage 2
100T,G2,Lotus,Ascent,Breeze,Sunset,Summit,Split,Haven,A,3,2026-07-18 17:00:00,https://www.vlr.gg/706353/g2-esports-vs-100-thieves-vct-2026-americas-stage-2-w1,VCT 2026: Americas Stage 2
MIBR,NRG,Lotus,Split,Sunset,Breeze,Ascent,Haven,Summit,A,3,2026-07-18 20:30:00,https://www.vlr.gg/706354/nrg-vs-mibr-vct-2026-americas-stage-2-w1,VCT 2026: Americas Stage 2
LEV,EG,Breeze,Lotus,Split,Sunset,Summit,Ascent,Haven,A,3,2026-07-23 17:00:00,https://www.vlr.gg/706355/evil-geniuses-vs-leviat-n-vct-2026-americas-stage-2-w2,VCT 2026: Americas Stage 2
ENVY,MIBR,Breeze,Summit,Haven,Sunset,Split,Ascent,Lotus,A,3,2026-07-23 19:05:00,https://www.vlr.gg/706356/envy-vs-mibr-vct-2026-americas-stage-2-w2,VCT 2026: Americas Stage 2
NRG,FUR,Sunset,Lotus,Breeze,Summit,Ascent,Haven,Split,A,3,2026-07-24 17:00:00,https://www.vlr.gg/706357/furia-vs-nrg-vct-2026-americas-stage-2-w2,VCT 2026: Americas Stage 2
KRÜ,100T,Breeze,Lotus,Split,Ascent,Sunset,Summit,Haven,A,3,2026-07-24 19:35:00,https://www.vlr.gg/706358/100-thieves-vs-kr-esports-vct-2026-americas-stage-2-w2,VCT 2026: Americas Stage 2
C9,G2,Lotus,Summit,Breeze,Sunset,Ascent,Haven,Split,A,3,2026-07-25 17:00:00,https://www.vlr.gg/706359/g2-esports-vs-cloud9-vct-2026-americas-stage-2-w2,VCT 2026: Americas Stage 2
LOUD,SEN,Split,Sunset,Lotus,Breeze,Haven,Summit,Ascent,A,3,2026-07-25 18:55:00,https://www.vlr.gg/706360/sentinels-vs-loud-vct-2026-americas-stage-2-w2,VCT 2026: Americas Stage 2
LEV,ENVY,Breeze,Lotus,Split,Summit,Haven,Sunset,Ascent,A,3,2026-07-26 17:00:00,https://www.vlr.gg/706361/envy-vs-leviat-n-vct-2026-americas-stage-2-w2,VCT 2026: Americas Stage 2
MIBR,FUR,Summit,Lotus,Haven,Breeze,Ascent,Split,Sunset,A,3,2026-07-26 19:00:00,https://www.vlr.gg/706362/furia-vs-mibr-vct-2026-americas-stage-2-w2,VCT 2026: Americas Stage 2
KRÜ,G2,Sunset,Summit,Breeze,Lotus,Ascent,Haven,Split,A,3,2026-07-30 17:00:00,https://www.vlr.gg/706364/kr-esports-vs-g2-esports-vct-2026-americas-stage-2-w3,VCT 2026: Americas Stage 2
100T,SEN,Lotus,Haven,Sunset,Ascent,Summit,Split,Breeze,A,3,2026-07-30 19:20:00,https://www.vlr.gg/706365/100-thieves-vs-sentinels-vct-2026-americas-stage-2-w3,VCT 2026: Americas Stage 2
C9,LOUD,Breeze,Split,Haven,Sunset,Ascent,Lotus,Summit,A,3,2026-07-31 17:00:00,https://www.vlr.gg/706366/cloud9-vs-loud-vct-2026-americas-stage-2-w3,VCT 2026: Americas Stage 2
MIBR,EG,Summit,Split,Haven,Ascent,Sunset,Lotus,Breeze,A,3,2026-07-31 20:25:00,https://www.vlr.gg/706367/evil-geniuses-vs-mibr-vct-2026-americas-stage-2-w3,VCT 2026: Americas Stage 2
ENVY,FUR,Breeze,Lotus,Haven,Sunset,Split,Summit,Ascent,A,3,2026-08-01 17:00:00,https://www.vlr.gg/706368/envy-vs-furia-vct-2026-americas-stage-2-w3,VCT 2026: Americas Stage 2
NRG,LEV,Split,Breeze,Summit,Sunset,Ascent,Lotus,Haven,A,3,2026-08-01 21:00:00,https://www.vlr.gg/706369/leviat-n-vs-nrg-vct-2026-americas-stage-2-w3,VCT 2026: Americas Stage 2
KRÜ,C9,Sunset,Lotus,Breeze,Split,Ascent,Summit,Haven,A,3,2026-08-02 17:00:00,https://www.vlr.gg/706370/cloud9-vs-kr-esports-vct-2026-americas-stage-2-w3,VCT 2026: Americas Stage 2
SEN,G2,Sunset,Summit,Breeze,Lotus,Haven,Ascent,Split,A,3,2026-08-02 19:05:00,https://www.vlr.gg/706371/g2-esports-vs-sentinels-vct-2026-americas-stage-2-w3,VCT 2026: Americas Stage 2
FUR,EG,Lotus,Split,Summit,Breeze,Ascent,Sunset,Haven,A,3,2026-08-06 17:00:00,https://www.vlr.gg/706372/evil-geniuses-vs-furia-vct-2026-americas-stage-2-w4,VCT 2026: Americas Stage 2
NRG,ENVY,Ascent,Lotus,Breeze,Haven,Sunset,Summit,Split,A,3,2026-08-06 19:15:00,https://www.vlr.gg/706373/envy-vs-nrg-vct-2026-americas-stage-2-w4,VCT 2026: Americas Stage 2
C9,100T,Ascent,Lotus,Split,Breeze,Sunset,Summit,Haven,A,3,2026-08-07 17:00:00,https://www.vlr.gg/706374/100-thieves-vs-cloud9-vct-2026-americas-stage-2-w4,VCT 2026: Americas Stage 2
LOUD,G2,Split,Summit,Sunset,Lotus,Breeze,Ascent,Haven,A,3,2026-08-07 19:40:00,https://www.vlr.gg/706375/g2-esports-vs-loud-vct-2026-americas-stage-2-w4,VCT 2026: Americas Stage 2
KRÜ,SEN,Haven,Lotus,Summit,Sunset,Split,Ascent,Breeze,A,3,2026-08-08 17:00:00,https://www.vlr.gg/706376/kr-esports-vs-sentinels-vct-2026-americas-stage-2-w4,VCT 2026: Americas Stage 2
LEV,MIBR,Breeze,Summit,Split,Sunset,Haven,Ascent,Lotus,A,3,2026-08-08 20:20:00,https://www.vlr.gg/706377/leviat-n-vs-mibr-vct-2026-americas-stage-2-w4,VCT 2026: Americas Stage 2
NRG,EG,Ascent,Split,Lotus,Breeze,Sunset,Summit,Haven,A,3,2026-08-09 17:00:00,https://www.vlr.gg/706378/evil-geniuses-vs-nrg-vct-2026-americas-stage-2-w4,VCT 2026: Americas Stage 2
LOUD,100T,Split,Lotus,Summit,Haven,Breeze,Sunset,Ascent,A,3,2026-08-09 18:55:00,https://www.vlr.gg/706379/loud-vs-100-thieves-vct-2026-americas-stage-2-w4,VCT 2026: Americas Stage 2
