team,rival,team_1_select_1,team_2_select_1,team_1_select_2,team_2_select_2,team_1_select_3,team_2_select_3,decider,order,bo,date,source_url,event
TE,WOL,Breeze,Corrode,Abyss,Haven,Pearl,Split,Bind,A,3,2026-01-22 04:00:00,https://www.vlr.gg/598923/trace-esports-vs-wolves-esports-vct-2026-china-kickoff-ur1,VCT 2026: China Kickoff
TYL,FPX,Bind,Split,Pearl,Haven,Breeze,Corrode,Abyss,A,3,2026-01-22 07:25:00,https://www.vlr.gg/598924/funplus-phoenix-vs-tyloo-vct-2026-china-kickoff-ur1,VCT 2026: China Kickoff
AG,NOVA,Breeze,Bind,Split,Pearl,Haven,Abyss,Corrode,A,3,2026-01-23 04:00:00,https://www.vlr.gg/598921/all-gamers-vs-nova-esports-vct-2026-china-kickoff-ur1,VCT 2026: China Kickoff
TEC,JDG,Pearl,Split,Corrode,Haven,Breeze,Bind,Abyss,A,3,2026-01-23 06:55:00,https://www.vlr.gg/598922/jdg-esports-vs-titan-esports-club-vct-2026-china-kickoff-ur1,VCT 2026: China Kickoff
WOL,XLG,Corrode,Split,Breeze,Abyss,Pearl,Haven,Bind,A,3,2026-01-24 04:00:00,https://www.vlr.gg/598927/xi-lai-gaming-vs-wolves-esports-vct-2026-china-kickoff-ur2,VCT 2026: China Kickoff
TYL,EDG,Breeze,Split,Abyss,Bind,Corrode,Haven,Pearl,A,3,2026-01-24 06:35:00,https://www.vlr.gg/598928/edward-gaming-vs-tyloo-vct-2026-china-kickoff-ur2,VCT 2026: China Kickoff
AG,BLG,Breeze,Corrode,Split,Abyss,Haven,Pearl,Bind,A,3,2026-01-25 04:00:00,https://www.vlr.gg/598925/bilibili-gaming-vs-all-gamers-vct-2026-china-kickoff-ur2,VCT 2026: China Kickoff
DRG,JDG,Haven,Pearl,Abyss,Breeze,Split,Bind,Corrode,A,3,2026-01-25 06:30:00,https://www.vlr.gg/598926/dragon-ranger-gaming-vs-jdg-esports-vct-2026-china-kickoff-ur2,VCT 2026: China Kickoff
TYL,NOVA,Pearl,Bind,Split,Corrode,Abyss,Haven,Breeze,A,3,2026-01-28 04:00:00,https://www.vlr.gg/598932/nova-esports-vs-tyloo-vct-2026-china-kickoff-mr1,VCT 2026: China Kickoff
TEC,WOL,Pearl,Corrode,Breeze,Bind,Abyss,Split,Haven,A,3,2026-01-28 06:00:00,https://www.vlr.gg/598933/titan-esports-club-vs-wolves-esports-vct-2026-china-kickoff-mr1,VCT 2026: China Kickoff
TE,JDG,Breeze,Abyss,Split,Pearl,Bind,Haven,Corrode,A,3,2026-01-29 04:00:00,https://www.vlr.gg/598934/trace-esports-vs-jdg-esports-vct-2026-china-kickoff-mr1,VCT 2026: China Kickoff
BLG,FPX,Corrode,Split,Pearl,Bind,Haven,Abyss,Breeze,A,3,2026-01-29 07:10:00,https://www.vlr.gg/598935/funplus-phoenix-vs-bilibili-gaming-vct-2026-china-kickoff-mr1,VCT 2026: China Kickoff
TYL,TEC,Haven,Pearl,Corrode,Breeze,Bind,Abyss,Split,A,3,2026-01-30 04:00:00,https://www.vlr.gg/598936/tyloo-vs-titan-esports-club-vct-2026-china-kickoff-mr2,VCT 2026: China Kickoff
TE,BLG,Pearl,Corrode,Abyss,Breeze,Bind,Split,Haven,A,3,2026-01-30 07:25:00,https://www.vlr.gg/598937/trace-esports-vs-bilibili-gaming-vct-2026-china-kickoff-mr2,VCT 2026: China Kickoff
NOVA,WOL,Bind,Corrode,Abyss,Haven,Split,Breeze,Pearl,A,3,2026-01-31 04:00:00,https://www.vlr.gg/598942/nova-esports-vs-wolves-esports-vct-2026-china-kickoff-lr1,VCT 2026: China Kickoff
DRG,AG,Haven,Breeze,Corrode,Bind,Split,Pearl,Abyss,A,3,2026-01-31 07:10:00,https://www.vlr.gg/598929/all-gamers-vs-dragon-ranger-gaming-vct-2026-china-kickoff-ur3,VCT 2026: China Kickoff
JDG,FPX,Breeze,Split,Pearl,Bind,Corrode,Abyss,Haven,A,3,2026-02-01 04:00:00,https://www.vlr.gg/598943/jdg-esports-vs-funplus-phoenix-vct-2026-china-kickoff-lr1,VCT 2026: China Kickoff
EDG,XLG,Breeze,Corrode,Split,Pearl,Abyss,Haven,Bind,A,3,2026-02-01 07:00:00,https://www.vlr.gg/598930/xi-lai-gaming-vs-edward-gaming-vct-2026-china-kickoff-ur3,VCT 2026: China Kickoff
TE,WOL,Pearl,Corrode,Abyss,Bind,Haven,Breeze,Split,A,3,2026-02-03 04:00:00,https://www.vlr.gg/598944/trace-esports-vs-wolves-esports-vct-2026-china-kickoff-lr2,VCT 2026: China Kickoff
DRG,TYL,Haven,Abyss,Corrode,Split,Bind,Breeze,Pearl,A,3,2026-02-03 07:30:00,https://www.vlr.gg/598938/dragon-ranger-gaming-vs-tyloo-vct-2026-china-kickoff-mr3,VCT 2026: China Kickoff
JDG,TEC,Breeze,Pearl,Bind,Haven,Corrode,Abyss,Split,A,3,2026-02-04 04:00:00,https://www.vlr.gg/598945/titan-esports-club-vs-jdg-esports-vct-2026-china-kickoff-lr2,VCT 2026: China Kickoff
BLG,EDG,Corrode,Pearl,Abyss,Haven,Bind,Split,Breeze,A,3,2026-02-04 07:20:00,https://www.vlr.gg/598939/edward-gaming-vs-bilibili-gaming-vct-2026-china-kickoff-mr3,VCT 2026: China Kickoff
TYL,TE,Split,Pearl,Haven,Abyss,Corrode,Bind,Breeze,A,3,2026-02-05 04:00:00,https://www.vlr.gg/598946/tyloo-vs-trace-esports-vct-2026-china-kickoff-lr3,VCT 2026: China Kickoff
JDG,EDG,Breeze,Pearl,Abyss,Haven,Bind,Split,Corrode,A,3,2026-02-05 06:25:00,https://www.vlr.gg/598947/edward-gaming-vs-jdg-esports-vct-2026-china-kickoff-lr3,VCT 2026: China Kickoff
DRG,BLG,Haven,Corrode,Split,Abyss,Bind,Pearl,Breeze,A,3,2026-02-06 04:00:00,https://www.vlr.gg/598940/dragon-ranger-gaming-vs-bilibili-gaming-vct-2026-china-kickoff-mr4,VCT 2026: China Kickoff
EDG,TYL,Breeze,Abyss,Bind,Haven,Split,Pearl,Corrode,A,3,2026-02-06 06:00:00,https://www.vlr.gg/598948/tyloo-vs-edward-gaming-vct-2026-china-kickoff-lr4,VCT 2026: China Kickoff
EDG,DRG,Breeze,Abyss,Split,Pearl,Bind,Haven,Corrode,A,3,2026-02-07 02:00:00,https://www.vlr.gg/598949/dragon-ranger-gaming-vs-edward-gaming-vct-2026-china-kickoff-lr5,VCT 2026: China Kickoff
XLG,AG,Corrode,Breeze,Pearl,Split,Bind,Abyss,Haven,A,5,2026-02-07 05:10:00,https://www.vlr.gg/598931/all-gamers-vs-xi-lai-gaming-vct-2026-china-kickoff-ubf,VCT 2026: China Kickoff
BLG,XLG,Haven,Corrode,Abyss,Bind,Breeze,Pearl,Split,A,5,2026-02-08 04:00:00,https://www.vlr.gg/598941/xi-lai-gaming-vs-bilibili-gaming-vct-2026-china-kickoff-mbf,VCT 2026: China Kickoff
BLG,EDG,Corrode,Breeze,Pearl,Haven,Abyss,Split,Bind,A,5,2026-02-09 04:00:00,https://www.vlr.gg/598950/bilibili-gaming-vs-edward-gaming-vct-2026-china-kickoff-lbf,VCT 2026: China Kickoff
