event,url,error
VCT 2026: China Kickoff,https://www.vlr.gg/598923/trace-esports-vs-wolves-esports-vct-2026-china-kickoff-ur1,list index out of range
VCT 2026: China Kickoff,https://www.vlr.gg/598924/funplus-phoenix-vs-tyloo-vct-2026-china-kickoff-ur1,list index out of range
VCT 2026: China Kickoff,https://www.vlr.gg/598921/all-gamers-vs-nova-esports-vct-2026-china-kickoff-ur1,list index out of range
VCT 2026: China Kickoff,https://www.vlr.gg/598922/jdg-esports-vs-titan-esports-club-vct-2026-china-kickoff-ur1,list index out of range
VCT 2026: China Kickoff,https://www.vlr.gg/598927/xi-lai-gaming-vs-wolves-esports-vct-2026-china-kickoff-ur2,list index out of range
VCT 2026: China Kickoff,https://www.vlr.gg/598928/edward-gaming-vs-tyloo-vct-2026-china-kickoff-ur2,list index out of range
VCT 2026: China Kickoff,https://www.vlr.gg/598925/bilibili-gaming-vs-all-gamers-vct-2026-china-kickoff-ur2,list index out of range
VCT 2026: China Kickoff,https://www.vlr.gg/598926/dragon-ranger-gaming-vs-jdg-esports-vct-2026-china-kickoff-ur2,list index out of range
VCT 2026: China Kickoff,https://www.vlr.gg/598932/nova-esports-vs-tyloo-vct-2026-china-kickoff-mr1,list index out of range
VCT 2026: China Kickoff,https://www.vlr.gg/598933/titan-esports-club-vs-wolves-esports-vct-2026-china-kickoff-mr1,list index out of range
VCT 2026: China Kickoff,https://www.vlr.gg/598934/trace-esports-vs-jdg-esports-vct-2026-china-kickoff-mr1,list index out of range
VCT 2026: China Kickoff,https://www.vlr.gg/598935/funplus-phoenix-vs-bilibili-gaming-vct-2026-china-kickoff-mr1,list index out of range
VCT 2026: China Kickoff,https://www.vlr.gg/598936/tyloo-vs-titan-esports-club-vct-2026-china-kickoff-mr2,list index out of range
VCT 2026: China Kickoff,https://www.vlr.gg/598937/trace-esports-vs-bilibili-gaming-vct-2026-china-kickoff-mr2,list index out of range
VCT 2026: China Kickoff,https://www.vlr.gg/598942/nova-esports-vs-wolves-esports-vct-2026-china-kickoff-lr1,list index out of range
VCT 2026: China Kickoff,https://www.vlr.gg/598929/all-gamers-vs-dragon-ranger-gaming-vct-2026-china-kickoff-ur3,list index out of range
VCT 2026: China Kickoff,https://www.vlr.gg/598943/jdg-esports-vs-funplus-phoenix-vct-2026-china-kickoff-lr1,list index out of range
VCT 2026: China Kickoff,https://www.vlr.gg/598930/xi-lai-gaming-vs-edward-gaming-vct-2026-china-kickoff-ur3,list index out of range
VCT 2026: China Kickoff,https://www.vlr.gg/598944/trace-esports-vs-wolves-esports-vct-2026-china-kickoff-lr2,list index out of range
VCT 2026: China Kickoff,https://www.vlr.gg/598938/dragon-ranger-gaming-vs-tyloo-vct-2026-china-kickoff-mr3,list index out of range
VCT 2026: China Kickoff,https://www.vlr.gg/598945/titan-esports-club-vs-jdg-esports-vct-2026-china-kickoff-lr2,list index out of range
VCT 2026: China Kickoff,https://www.vlr.gg/598939/edward-gaming-vs-bilibili-gaming-vct-2026-china-kickoff-mr3,list index out of range
VCT 2026: China Kickoff,https://www.vlr.gg/598946/tyloo-vs-trace-esports-vct-2026-china-kickoff-lr3,list index out of range
VCT 2026: China Kickoff,https://www.vlr.gg/598947/edward-gaming-vs-jdg-esports-vct-2026-china-kickoff-lr3,list index out of range
VCT 2026: China Kickoff,https://www.vlr.gg/598940/dragon-ranger-gaming-vs-bilibili-gaming-vct-2026-china-kickoff-mr4,list index out of range
VCT 2026: China Kickoff,https://www.vlr.gg/598948/tyloo-vs-edward-gaming-vct-2026-china-kickoff-lr4,list index out of range
VCT 2026: China Kickoff,https://www.vlr.gg/598949/dragon-ranger-gaming-vs-edward-gaming-vct-2026-china-kickoff-lr5,list index out of range
VCT 2026: China Kickoff,https://www.vlr.gg/598931/all-gamers-vs-xi-lai-gaming-vct-2026-china-kickoff-ubf,list index out of range
VCT 2026: China Kickoff,https://www.vlr.gg/598941/xi-lai-gaming-vs-bilibili-gaming-vct-2026-china-kickoff-mbf,list index out of range
VCT 2026: China Kickoff,https://www.vlr.gg/598950/bilibili-gaming-vs-edward-gaming-vct-2026-china-kickoff-lbf,list index out of range
