teamA,map,side,teamB,rndA,rndB,round,winCon,date,map_order,event,source_url
TE,Abyss,atk,WOL,1,0,13,elim,2026-01-22 04:00:00,0,VCT 2026: China Kickoff,https://www.vlr.gg/598923/trace-esports-vs-wolves-esports-vct-2026-china-kickoff-ur1
TE,Abyss,atk,WOL,1,0,14,elim,2026-01-22 04:00:00,0,VCT 2026: China Kickoff,https://www.vlr.gg/598923/trace-esports-vs-wolves-esports-vct-2026-china-kickoff-ur1
TE,Abyss,atk,WOL,1,0,15,boom,2026-01-22 04:00:00,0,VCT 2026: China Kickoff,https://www.vlr.gg/598923/trace-esports-vs-wolves-esports-vct-2026-china-kickoff-ur1
TE,Abyss,atk,WOL,1,0,16,boom,2026-01-22 04:00:00,0,VCT 2026: China Kickoff,https://www.vlr.gg/598923/trace-esports-vs-wolves-esports-vct-2026-china-kickoff-ur1
TE,Abyss,atk,WOL,0,1,17,elim,2026-01-22 04:00:00,0,VCT 2026: China Kickoff,https://www.vlr.gg/598923/trace-esports-vs-wolves-esports-vct-2026-china-kickoff-ur1
TE,Abyss,atk,WOL,1,0,18,elim,2026-01-22 04:00:00,0,VCT 2026: China Kickoff,https://www.vlr.gg/598923/trace-esports-vs-wolves-esports-vct-2026-china-kickoff-ur1
TE,Abyss,atk,WOL,1,0,19,elim,2026-01-22 04:00:00,0,VCT 2026: China Kickoff,https://www.vlr.gg/598923/trace-esports-vs-wolves-esports-vct-2026-china-kickoff-ur1
TE,Abyss,atk,WOL,1,0,20,elim,2026-01-22 04:00:00,0,VCT 2026: China Kickoff,https://www.vlr.gg/598923/trace-esports-vs-wolves-esports-vct-2026-china-kickoff-ur1
TE,Abyss,def,WOL,1,0,1,defus,2026-01-22 04:00:00,0,VCT 2026: China Kickoff,https://www.vlr.gg/598923/trace-esports-vs-wolves-esports-vct-2026-china-kickoff-ur1
TE,Abyss,def,WOL,0,1,2,elim,2026-01-22 04:00:00,0,VCT 2026: China Kickoff,https://www.vlr.gg/598923/trace-esports-vs-wolves-esports-vct-2026-china-kickoff-ur1
TE,Abyss,def,WOL,0,1,3,elim,2026-01-22 04:00:00,0,VCT 2026: China Kickoff,https://www.vlr.gg/598923/trace-esports-vs-wolves-esports-vct-2026-china-kickoff-ur1
TE,Abyss,def,WOL,0,1,4,elim,2026-01-22 04:00:00,0,VCT 2026: China Kickoff,https://www.vlr.gg/598923/trace-esports-vs-wolves-esports-vct-2026-china-kickoff-ur1
TE,Abyss,def,WOL,0,1,5,elim,2026-01-22 04:00:00,0,VCT 2026: China Kickoff,https://www.vlr.gg/598923/trace-esports-vs-wolves-esports-vct-2026-china-kickoff-ur1
TE,Abyss,def,WOL,1,0,6,defus,2026-01-22 04:00:00,0,VCT 2026: China Kickoff,https://www.vlr.gg/598923/trace-esports-vs-wolves-esports-vct-2026-china-kickoff-ur1
TE,Abyss,def,WOL,0,1,7,elim,2026-01-22 04:00:00,0,VCT 2026: China Kickoff,https://www.vlr.gg/598923/trace-esports-vs-wolves-esports-vct-2026-china-kickoff-ur1
TE,Abyss,def,WOL,1,0,8,defus,2026-01-22 04:00:00,0,VCT 2026: China Kickoff,https://www.vlr.gg/598923/trace-esports-vs-wolves-esports-vct-2026-china-kickoff-ur1
