team,rival,team_1_select_1,team_2_select_1,team_1_select_2,team_2_select_2,team_1_select_3,team_2_select_3,decider,order,bo,date,source_url,event
TEC,AG,Split,Haven,Lotus,Bind,Pearl,Fracture,Breeze,A,3,2026-03-31 05:00:00,https://www.vlr.gg/642914/titan-esports-club-vs-all-gamers-vct-2026-china-stage-1-w1,VCT 2026: China Stage 1
EDG,NOVA,Pearl,Split,Fracture,Breeze,Lotus,Bind,Haven,A,3,2026-03-31 08:30:00,https://www.vlr.gg/642915/nova-esports-vs-edward-gaming-vct-2026-china-stage-1-w1,VCT 2026: China Stage 1
JDG,FPX,Breeze,Haven,Lotus,Pearl,Fracture,Bind,Split,A,3,2026-04-01 05:00:00,https://www.vlr.gg/642916/jdg-esports-vs-funplus-phoenix-vct-2026-china-stage-1-w1,VCT 2026: China Stage 1
DRG,XLG,Fracture,Pearl,Lotus,Bind,Haven,Split,Breeze,A,3,2026-04-01 08:10:00,https://www.vlr.gg/642917/dragon-ranger-gaming-vs-xi-lai-gaming-vct-2026-china-stage-1-w1,VCT 2026: China Stage 1
WOL,TE,Split,Pearl,Lotus,Bind,Haven,Breeze,Fracture,A,3,2026-04-02 05:00:00,https://www.vlr.gg/642918/wolves-esports-vs-trace-esports-vct-2026-china-stage-1-w1,VCT 2026: China Stage 1
TYL,BLG,Lotus,Split,Bind,Pearl,Haven,Fracture,Breeze,A,3,2026-04-02 07:30:00,https://www.vlr.gg/642919/bilibili-gaming-vs-tyloo-vct-2026-china-stage-1-w1,VCT 2026: China Stage 1
DRG,NOVA,Fracture,Split,Breeze,Haven,Pearl,Bind,Lotus,A,3,2026-04-03 05:00:00,https://www.vlr.gg/642920/dragon-ranger-gaming-vs-nova-esports-vct-2026-china-stage-1-w1,VCT 2026: China Stage 1
AG,FPX,Fracture,Breeze,Split,Pearl,Bind,Lotus,Haven,A,3,2026-04-03 07:10:00,https://www.vlr.gg/642921/funplus-phoenix-vs-all-gamers-vct-2026-china-stage-1-w1,VCT 2026: China Stage 1
TYL,TEC,Lotus,Bind,Split,Fracture,Haven,Pearl,Breeze,A,3,2026-04-04 05:00:00,https://www.vlr.gg/642922/tyloo-vs-titan-esports-club-vct-2026-china-stage-1-w1,VCT 2026: China Stage 1
EDG,WOL,Pearl,Split,Fracture,Lotus,Breeze,Haven,Bind,A,3,2026-04-04 07:30:00,https://www.vlr.gg/642923/wolves-esports-vs-edward-gaming-vct-2026-china-stage-1-w1,VCT 2026: China Stage 1
TE,XLG,Pearl,Split,Breeze,Lotus,Fracture,Haven,Bind,A,3,2026-04-05 05:00:00,https://www.vlr.gg/642924/trace-esports-vs-xi-lai-gaming-vct-2026-china-stage-1-w1,VCT 2026: China Stage 1
JDG,BLG,Pearl,Split,Haven,Fracture,Breeze,Bind,Lotus,A,3,2026-04-05 08:25:00,https://www.vlr.gg/642925/bilibili-gaming-vs-jdg-esports-vct-2026-china-stage-1-w1,VCT 2026: China Stage 1
BLG,TEC,Split,Pearl,Fracture,Breeze,Bind,Haven,Lotus,A,3,2026-04-07 08:30:00,https://www.vlr.gg/642928/titan-esports-club-vs-bilibili-gaming-vct-2026-china-stage-1-w2,VCT 2026: China Stage 1
NOVA,XLG,Breeze,Pearl,Haven,Bind,Fracture,Lotus,Split,A,3,2026-04-08 05:00:00,https://www.vlr.gg/642929/xi-lai-gaming-vs-nova-esports-vct-2026-china-stage-1-w2,VCT 2026: China Stage 1
TE,EDG,Fracture,Pearl,Lotus,Haven,Breeze,Split,Bind,A,3,2026-04-08 07:30:00,https://www.vlr.gg/642930/edward-gaming-vs-trace-esports-vct-2026-china-stage-1-w2,VCT 2026: China Stage 1
JDG,AG,Breeze,Fracture,Lotus,Haven,Pearl,Split,Bind,A,3,2026-04-09 05:00:00,https://www.vlr.gg/642931/jdg-esports-vs-all-gamers-vct-2026-china-stage-1-w2,VCT 2026: China Stage 1
DRG,WOL,Fracture,Split,Breeze,Pearl,Bind,Haven,Lotus,A,3,2026-04-09 07:25:00,https://www.vlr.gg/642932/dragon-ranger-gaming-vs-wolves-esports-vct-2026-china-stage-1-w2,VCT 2026: China Stage 1
NOVA,TE,Breeze,Pearl,Lotus,Split,Fracture,Haven,Bind,A,3,2026-04-10 05:00:00,https://www.vlr.gg/642933/nova-esports-vs-trace-esports-vct-2026-china-stage-1-w2,VCT 2026: China Stage 1
BLG,FPX,Split,Haven,Lotus,Fracture,Bind,Breeze,Pearl,A,3,2026-04-10 07:30:00,https://www.vlr.gg/642934/funplus-phoenix-vs-bilibili-gaming-vct-2026-china-stage-1-w2,VCT 2026: China Stage 1
TYL,AG,Lotus,Fracture,Bind,Haven,Pearl,Split,Breeze,A,3,2026-04-11 05:00:00,https://www.vlr.gg/642935/all-gamers-vs-tyloo-vct-2026-china-stage-1-w2,VCT 2026: China Stage 1
DRG,EDG,Fracture,Pearl,Breeze,Lotus,Bind,Haven,Split,A,3,2026-04-11 08:15:00,https://www.vlr.gg/642936/edward-gaming-vs-dragon-ranger-gaming-vct-2026-china-stage-1-w2,VCT 2026: China Stage 1
TEC,JDG,Lotus,Breeze,Fracture,Haven,Bind,Pearl,Split,A,3,2026-04-12 05:00:00,https://www.vlr.gg/642937/jdg-esports-vs-titan-esports-club-vct-2026-china-stage-1-w2,VCT 2026: China Stage 1
WOL,XLG,Breeze,Pearl,Fracture,Bind,Haven,Split,Lotus,A,3,2026-04-12 07:35:00,https://www.vlr.gg/642938/xi-lai-gaming-vs-wolves-esports-vct-2026-china-stage-1-w2,VCT 2026: China Stage 1
TYL,JDG,Lotus,Breeze,Bind,Haven,Fracture,Pearl,Split,A,3,2026-04-14 05:00:00,https://www.vlr.gg/642939/tyloo-vs-jdg-esports-vct-2026-china-stage-1-w3,VCT 2026: China Stage 1
DRG,TE,Fracture,Pearl,Lotus,Bind,Split,Haven,Breeze,A,3,2026-04-14 07:55:00,https://www.vlr.gg/642940/trace-esports-vs-dragon-ranger-gaming-vct-2026-china-stage-1-w3,VCT 2026: China Stage 1
FPX,TEC,Lotus,Pearl,Fracture,Split,Haven,Breeze,Bind,A,3,2026-04-15 05:00:00,https://www.vlr.gg/642941/titan-esports-club-vs-funplus-phoenix-vct-2026-china-stage-1-w3,VCT 2026: China Stage 1
AG,BLG,Fracture,Split,Lotus,Pearl,Breeze,Haven,Bind,A,3,2026-04-15 07:05:00,https://www.vlr.gg/642942/all-gamers-vs-bilibili-gaming-vct-2026-china-stage-1-w3,VCT 2026: China Stage 1
NOVA,WOL,Pearl,Haven,Lotus,Fracture,Breeze,Split,Bind,A,3,2026-04-16 05:00:00,https://www.vlr.gg/642943/nova-esports-vs-wolves-esports-vct-2026-china-stage-1-w3,VCT 2026: China Stage 1
XLG,EDG,Fracture,Pearl,Lotus,Haven,Breeze,Bind,Split,A,3,2026-04-16 07:15:00,https://www.vlr.gg/642944/edward-gaming-vs-xi-lai-gaming-vct-2026-china-stage-1-w3,VCT 2026: China Stage 1
DRG,TYL,Bind,Lotus,Haven,Breeze,Pearl,Fracture,Split,A,3,2026-04-18 05:00:00,https://www.vlr.gg/642947/tyloo-vs-dragon-ranger-gaming-vct-2026-china-stage-1-seeding,VCT 2026: China Stage 1
EDG,JDG,Pearl,Breeze,Fracture,Haven,Split,Lotus,Bind,A,3,2026-04-18 07:15:00,https://www.vlr.gg/642946/jdg-esports-vs-edward-gaming-vct-2026-china-stage-1-seeding,VCT 2026: China Stage 1
TEC,TE,Haven,Pearl,Fracture,Split,Bind,Lotus,Breeze,A,3,2026-04-19 05:00:00,https://www.vlr.gg/642948/titan-esports-club-vs-trace-esports-vct-2026-china-stage-1-seeding,VCT 2026: China Stage 1
AG,XLG,Fracture,Pearl,Lotus,Bind,Breeze,Haven,Split,A,3,2026-04-19 08:25:00,https://www.vlr.gg/642945/all-gamers-vs-xi-lai-gaming-vct-2026-china-stage-1-seeding,VCT 2026: China Stage 1
TEC,XLG,Haven,Fracture,Breeze,Lotus,Ascent,Pearl,Split,A,3,2026-05-01 05:00:00,https://www.vlr.gg/659474/xi-lai-gaming-vs-titan-esports-club-vct-2026-china-stage-1-ubqf,VCT 2026: China Stage 1
