event,url,error
VCT 2026: China Stage 1,https://www.vlr.gg/642914/titan-esports-club-vs-all-gamers-vct-2026-china-stage-1-w1,list index out of range
VCT 2026: China Stage 1,https://www.vlr.gg/642915/nova-esports-vs-edward-gaming-vct-2026-china-stage-1-w1,list index out of range
VCT 2026: China Stage 1,https://www.vlr.gg/642916/jdg-esports-vs-funplus-phoenix-vct-2026-china-stage-1-w1,list index out of range
VCT 2026: China Stage 1,https://www.vlr.gg/642917/dragon-ranger-gaming-vs-xi-lai-gaming-vct-2026-china-stage-1-w1,list index out of range
VCT 2026: China Stage 1,https://www.vlr.gg/642918/wolves-esports-vs-trace-esports-vct-2026-china-stage-1-w1,list index out of range
VCT 2026: China Stage 1,https://www.vlr.gg/642919/bilibili-gaming-vs-tyloo-vct-2026-china-stage-1-w1,list index out of range
VCT 2026: China Stage 1,https://www.vlr.gg/642920/dragon-ranger-gaming-vs-nova-esports-vct-2026-china-stage-1-w1,list index out of range
VCT 2026: China Stage 1,https://www.vlr.gg/642921/funplus-phoenix-vs-all-gamers-vct-2026-china-stage-1-w1,list index out of range
VCT 2026: China Stage 1,https://www.vlr.gg/642922/tyloo-vs-titan-esports-club-vct-2026-china-stage-1-w1,list index out of range
VCT 2026: China Stage 1,https://www.vlr.gg/642923/wolves-esports-vs-edward-gaming-vct-2026-china-stage-1-w1,list index out of range
VCT 2026: China Stage 1,https://www.vlr.gg/642924/trace-esports-vs-xi-lai-gaming-vct-2026-china-stage-1-w1,list index out of range
VCT 2026: China Stage 1,https://www.vlr.gg/642925/bilibili-gaming-vs-jdg-esports-vct-2026-china-stage-1-w1,list index out of range
VCT 2026: China Stage 1,https://www.vlr.gg/642927/funplus-phoenix-vs-tyloo-vct-2026-china-stage-1-w2,list index out of range
VCT 2026: China Stage 1,https://www.vlr.gg/642928/titan-esports-club-vs-bilibili-gaming-vct-2026-china-stage-1-w2,list index out of range
