teamA,map,side,teamB,rndA,rndB,round,winCon,date,map_order,event,source_url
WOL,Sunset,atk,TEC,0,1,13,defus,2026-07-09 04:00:00,0,VCT 2026: China Stage 2,https://www.vlr.gg/701025/wolves-esports-vs-titan-esports-club-vct-2026-china-stage-2-w1
WOL,Sunset,atk,TEC,1,0,14,elim,2026-07-09 04:00:00,0,VCT 2026: China Stage 2,https://www.vlr.gg/701025/wolves-esports-vs-titan-esports-club-vct-2026-china-stage-2-w1
WOL,Sunset,atk,TEC,1,0,15,elim,2026-07-09 04:00:00,0,VCT 2026: China Stage 2,https://www.vlr.gg/701025/wolves-esports-vs-titan-esports-club-vct-2026-china-stage-2-w1
WOL,Sunset,atk,TEC,1,0,16,elim,2026-07-09 04:00:00,0,VCT 2026: China Stage 2,https://www.vlr.gg/701025/wolves-esports-vs-titan-esports-club-vct-2026-china-stage-2-w1
WOL,Sunset,atk,TEC,1,0,17,elim,2026-07-09 04:00:00,0,VCT 2026: China Stage 2,https://www.vlr.gg/701025/wolves-esports-vs-titan-esports-club-vct-2026-china-stage-2-w1
WOL,Sunset,atk,TEC,1,0,18,elim,2026-07-09 04:00:00,0,VCT 2026: China Stage 2,https://www.vlr.gg/701025/wolves-esports-vs-titan-esports-club-vct-2026-china-stage-2-w1
WOL,Sunset,def,TEC,1,0,1,elim,2026-07-09 04:00:00,0,VCT 2026: China Stage 2,https://www.vlr.gg/701025/wolves-esports-vs-titan-esports-club-vct-2026-china-stage-2-w1
WOL,Sunset,def,TEC,1,0,2,defus,2026-07-09 04:00:00,0,VCT 2026: China Stage 2,https://www.vlr.gg/701025/wolves-esports-vs-titan-esports-club-vct-2026-china-stage-2-w1
WOL,Sunset,def,TEC,1,0,3,defus,2026-07-09 04:00:00,0,VCT 2026: China Stage 2,https://www.vlr.gg/701025/wolves-esports-vs-titan-esports-club-vct-2026-china-stage-2-w1
WOL,Sunset,def,TEC,1,0,4,defus,2026-07-09 04:00:00,0,VCT 2026: China Stage 2,https://www.vlr.gg/701025/wolves-esports-vs-titan-esports-club-vct-2026-china-stage-2-w1
WOL,Sunset,def,TEC,0,1,5,elim,2026-07-09 04:00:00,0,VCT 2026: China Stage 2,https://www.vlr.gg/701025/wolves-esports-vs-titan-esports-club-vct-2026-china-stage-2-w1
WOL,Sunset,def,TEC,1,0,6,elim,2026-07-09 04:00:00,0,VCT 2026: China Stage 2,https://www.vlr.gg/701025/wolves-esports-vs-titan-esports-club-vct-2026-china-stage-2-w1
