team,rival,team_1_select_1,team_2_select_1,team_1_select_2,team_2_select_2,team_1_select_3,team_2_select_3,decider,order,bo,date,source_url,event
NAVI,KC,Corrode,Pearl,Split,Haven,Abyss,Breeze,Bind,A,3,2026-01-20 11:00:00,https://www.vlr.gg/594740/natus-vincere-vs-karmine-corp-vct-2026-emea-kickoff-ur1,VCT 2026: EMEA Kickoff
FUT,M8,Haven,Breeze,Abyss,Split,Pearl,Bind,Corrode,A,3,2026-01-20 13:35:00,https://www.vlr.gg/594741/fut-esports-vs-gentle-mates-vct-2026-emea-kickoff-ur1,VCT 2026: EMEA Kickoff
BBL,PCF,Corrode,Haven,Breeze,Abyss,Bind,Split,Pearl,A,3,2026-01-21 11:00:00,https://www.vlr.gg/594742/pcific-esports-vs-bbl-esports-vct-2026-emea-kickoff-ur1,VCT 2026: EMEA Kickoff
VIT,ULF,Split,Bind,Breeze,Corrode,Haven,Pearl,Abyss,A,3,2026-01-21 14:20:00,https://www.vlr.gg/594743/ulf-esports-vs-team-vitality-vct-2026-emea-kickoff-ur1,VCT 2026: EMEA Kickoff
NAVI,TH,Corrode,Abyss,Bind,Haven,Breeze,Pearl,Split,A,3,2026-01-22 11:00:00,https://www.vlr.gg/594744/team-heretics-vs-natus-vincere-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
M8,GX,Breeze,Corrode,Pearl,Bind,Haven,Abyss,Split,A,3,2026-01-22 14:30:00,https://www.vlr.gg/594745/giantx-vs-gentle-mates-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
BBL,FNC,Bind,Pearl,Breeze,Haven,Corrode,Split,Abyss,A,3,2026-01-23 11:00:00,https://www.vlr.gg/594746/fnatic-vs-bbl-esports-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
VIT,TL,Split,Haven,Breeze,Pearl,Bind,Abyss,Corrode,A,3,2026-01-23 13:25:00,https://www.vlr.gg/594747/team-liquid-vs-team-vitality-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
KC,TL,Pearl,Haven,Abyss,Split,Corrode,Bind,Breeze,A,3,2026-01-27 11:00:00,https://www.vlr.gg/594751/karmine-corp-vs-team-liquid-vct-2026-emea-kickoff-mr1,VCT 2026: EMEA Kickoff
FUT,FNC,Bind,Pearl,Abyss,Corrode,Haven,Breeze,Split,A,3,2026-01-27 14:20:00,https://www.vlr.gg/594752/fut-esports-vs-fnatic-vct-2026-emea-kickoff-mr1,VCT 2026: EMEA Kickoff
PCF,GX,Haven,Corrode,Abyss,Bind,Pearl,Breeze,Split,A,3,2026-01-28 11:00:00,https://www.vlr.gg/594753/pcific-esports-vs-giantx-vct-2026-emea-kickoff-mr1,VCT 2026: EMEA Kickoff
ULF,TH,Corrode,Pearl,Haven,Bind,Abyss,Split,Breeze,A,3,2026-01-28 14:35:00,https://www.vlr.gg/594754/ulf-esports-vs-team-heretics-vct-2026-emea-kickoff-mr1,VCT 2026: EMEA Kickoff
M8,NAVI,Breeze,Corrode,Abyss,Bind,Haven,Pearl,Split,A,3,2026-01-29 11:00:00,https://www.vlr.gg/594748/natus-vincere-vs-gentle-mates-vct-2026-emea-kickoff-ur3,VCT 2026: EMEA Kickoff
BBL,VIT,Bind,Pearl,Haven,Abyss,Corrode,Split,Breeze,A,3,2026-01-29 13:20:00,https://www.vlr.gg/594749/bbl-esports-vs-team-vitality-vct-2026-emea-kickoff-ur3,VCT 2026: EMEA Kickoff
FNC,TL,Pearl,Haven,Corrode,Split,Bind,Abyss,Breeze,A,3,2026-01-30 11:00:00,https://www.vlr.gg/594755/team-liquid-vs-fnatic-vct-2026-emea-kickoff-mr2,VCT 2026: EMEA Kickoff
GX,TH,Corrode,Pearl,Abyss,Haven,Split,Bind,Breeze,A,3,2026-01-30 13:20:00,https://www.vlr.gg/594756/giantx-vs-team-heretics-vct-2026-emea-kickoff-mr2,VCT 2026: EMEA Kickoff
KC,FUT,Corrode,Abyss,Haven,Split,Breeze,Bind,Pearl,A,3,2026-02-03 11:00:00,https://www.vlr.gg/594761/karmine-corp-vs-fut-esports-vct-2026-emea-kickoff-lr1,VCT 2026: EMEA Kickoff
ULF,PCF,Corrode,Haven,Split,Abyss,Pearl,Bind,Breeze,A,3,2026-02-03 14:35:00,https://www.vlr.gg/594762/pcific-esports-vs-ulf-esports-vct-2026-emea-kickoff-lr1,VCT 2026: EMEA Kickoff
NAVI,FNC,Corrode,Pearl,Split,Breeze,Abyss,Haven,Bind,A,3,2026-02-04 11:00:00,https://www.vlr.gg/594757/natus-vincere-vs-fnatic-vct-2026-emea-kickoff-mr3,VCT 2026: EMEA Kickoff
GX,VIT,Corrode,Pearl,Abyss,Breeze,Split,Bind,Haven,A,3,2026-02-04 15:00:00,https://www.vlr.gg/594758/team-vitality-vs-giantx-vct-2026-emea-kickoff-mr3,VCT 2026: EMEA Kickoff
KC,TH,Breeze,Pearl,Abyss,Haven,Split,Bind,Corrode,A,3,2026-02-05 11:00:00,https://www.vlr.gg/594763/team-heretics-vs-karmine-corp-vct-2026-emea-kickoff-lr2,VCT 2026: EMEA Kickoff
ULF,TL,Corrode,Haven,Split,Breeze,Bind,Abyss,Pearl,A,3,2026-02-05 14:00:00,https://www.vlr.gg/594764/team-liquid-vs-ulf-esports-vct-2026-emea-kickoff-lr2,VCT 2026: EMEA Kickoff
