player,team,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE,map,date,source_url,event
Shao,NAVI,7,0,0,0,0,1,0,0,0,45,5,2,all,2026-01-20 11:00:00,https://www.vlr.gg/594740/natus-vincere-vs-karmine-corp-vct-2026-emea-kickoff-ur1,VCT 2026: EMEA Kickoff
Filu,NAVI,9,2,0,0,0,0,0,0,0,50,0,1,all,2026-01-20 11:00:00,https://www.vlr.gg/594740/natus-vincere-vs-karmine-corp-vct-2026-emea-kickoff-ur1,VCT 2026: EMEA Kickoff
sociablEE,NAVI,5,2,0,0,0,0,0,0,0,44,4,0,all,2026-01-20 11:00:00,https://www.vlr.gg/594740/natus-vincere-vs-karmine-corp-vct-2026-emea-kickoff-ur1,VCT 2026: EMEA Kickoff
Ruxic,NAVI,5,3,0,0,0,0,0,0,0,62,2,1,all,2026-01-20 11:00:00,https://www.vlr.gg/594740/natus-vincere-vs-karmine-corp-vct-2026-emea-kickoff-ur1,VCT 2026: EMEA Kickoff
hiro,NAVI,8,1,2,0,0,0,0,0,0,65,1,0,all,2026-01-20 11:00:00,https://www.vlr.gg/594740/natus-vincere-vs-karmine-corp-vct-2026-emea-kickoff-ur1,VCT 2026: EMEA Kickoff
sheydos,KC,3,0,0,0,0,0,0,0,0,30,3,0,all,2026-01-20 11:00:00,https://www.vlr.gg/594740/natus-vincere-vs-karmine-corp-vct-2026-emea-kickoff-ur1,VCT 2026: EMEA Kickoff
SUYGETSU,KC,2,5,0,0,1,0,0,0,0,66,0,0,all,2026-01-20 11:00:00,https://www.vlr.gg/594740/natus-vincere-vs-karmine-corp-vct-2026-emea-kickoff-ur1,VCT 2026: EMEA Kickoff
Avez,KC,6,2,2,0,1,0,0,0,0,66,3,1,all,2026-01-20 11:00:00,https://www.vlr.gg/594740/natus-vincere-vs-karmine-corp-vct-2026-emea-kickoff-ur1,VCT 2026: EMEA Kickoff
dos9,KC,4,1,0,0,1,0,0,0,0,46,4,1,all,2026-01-20 11:00:00,https://www.vlr.gg/594740/natus-vincere-vs-karmine-corp-vct-2026-emea-kickoff-ur1,VCT 2026: EMEA Kickoff
LewN,KC,3,0,1,0,1,0,0,0,0,37,0,1,all,2026-01-20 11:00:00,https://www.vlr.gg/594740/natus-vincere-vs-karmine-corp-vct-2026-emea-kickoff-ur1,VCT 2026: EMEA Kickoff
Shao,NAVI,4,0,0,0,0,1,0,0,0,55,2,0,Split,2026-01-20 11:00:00,https://www.vlr.gg/594740/natus-vincere-vs-karmine-corp-vct-2026-emea-kickoff-ur1,VCT 2026: EMEA Kickoff
Filu,NAVI,4,2,0,0,0,0,0,0,0,56,0,0,Split,2026-01-20 11:00:00,https://www.vlr.gg/594740/natus-vincere-vs-karmine-corp-vct-2026-emea-kickoff-ur1,VCT 2026: EMEA Kickoff
sociablEE,NAVI,2,0,0,0,0,0,0,0,0,22,4,0,Split,2026-01-20 11:00:00,https://www.vlr.gg/594740/natus-vincere-vs-karmine-corp-vct-2026-emea-kickoff-ur1,VCT 2026: EMEA Kickoff
Ruxic,NAVI,2,2,0,0,0,0,0,0,0,41,0,1,Split,2026-01-20 11:00:00,https://www.vlr.gg/594740/natus-vincere-vs-karmine-corp-vct-2026-emea-kickoff-ur1,VCT 2026: EMEA Kickoff
hiro,NAVI,2,1,1,0,0,0,0,0,0,51,1,0,Split,2026-01-20 11:00:00,https://www.vlr.gg/594740/natus-vincere-vs-karmine-corp-vct-2026-emea-kickoff-ur1,VCT 2026: EMEA Kickoff
sheydos,KC,2,0,0,0,0,0,0,0,0,22,2,0,Split,2026-01-20 11:00:00,https://www.vlr.gg/594740/natus-vincere-vs-karmine-corp-vct-2026-emea-kickoff-ur1,VCT 2026: EMEA Kickoff
SUYGETSU,KC,0,3,0,0,1,0,0,0,0,70,0,0,Split,2026-01-20 11:00:00,https://www.vlr.gg/594740/natus-vincere-vs-karmine-corp-vct-2026-emea-kickoff-ur1,VCT 2026: EMEA Kickoff
