teamA,map,side,teamB,rndA,rndB,round,winCon,date,map_order,event,source_url
NAVI,Split,atk,KC,1,0,13,elim,2026-01-20 11:00:00,0,VCT 2026: EMEA Kickoff,https://www.vlr.gg/594740/natus-vincere-vs-karmine-corp-vct-2026-emea-kickoff-ur1
NAVI,Split,atk,KC,1,0,14,boom,2026-01-20 11:00:00,0,VCT 2026: EMEA Kickoff,https://www.vlr.gg/594740/natus-vincere-vs-karmine-corp-vct-2026-emea-kickoff-ur1
NAVI,Split,atk,KC,0,1,15,elim,2026-01-20 11:00:00,0,VCT 2026: EMEA Kickoff,https://www.vlr.gg/594740/natus-vincere-vs-karmine-corp-vct-2026-emea-kickoff-ur1
NAVI,Split,atk,KC,1,0,16,elim,2026-01-20 11:00:00,0,VCT 2026: EMEA Kickoff,https://www.vlr.gg/594740/natus-vincere-vs-karmine-corp-vct-2026-emea-kickoff-ur1
NAVI,Split,atk,KC,0,1,17,tim,2026-01-20 11:00:00,0,VCT 2026: EMEA Kickoff,https://www.vlr.gg/594740/natus-vincere-vs-karmine-corp-vct-2026-emea-kickoff-ur1
NAVI,Split,atk,KC,1,0,18,boom,2026-01-20 11:00:00,0,VCT 2026: EMEA Kickoff,https://www.vlr.gg/594740/natus-vincere-vs-karmine-corp-vct-2026-emea-kickoff-ur1
NAVI,Split,atk,KC,1,0,19,elim,2026-01-20 11:00:00,0,VCT 2026: EMEA Kickoff,https://www.vlr.gg/594740/natus-vincere-vs-karmine-corp-vct-2026-emea-kickoff-ur1
NAVI,Split,atk,KC,0,1,20,defus,2026-01-20 11:00:00,0,VCT 2026: EMEA Kickoff,https://www.vlr.gg/594740/natus-vincere-vs-karmine-corp-vct-2026-emea-kickoff-ur1
NAVI,Split,atk,KC,0,1,21,tim,2026-01-20 11:00:00,0,VCT 2026: EMEA Kickoff,https://www.vlr.gg/594740/natus-vincere-vs-karmine-corp-vct-2026-emea-kickoff-ur1
NAVI,Split,atk,KC,0,1,22,elim,2026-01-20 11:00:00,0,VCT 2026: EMEA Kickoff,https://www.vlr.gg/594740/natus-vincere-vs-karmine-corp-vct-2026-emea-kickoff-ur1
