team_a,team_b,team_a_economy,team_b_economy,round,team_a_bank,team_b_bank,map,date,source_url,event
NAVI,KC,3950,4250,1,0.3k,0.2k,Split,2026-01-20 11:00:00,https://www.vlr.gg/594740/natus-vincere-vs-karmine-corp-vct-2026-emea-kickoff-ur1,VCT 2026: EMEA Kickoff
NAVI,KC,14800,1700,2,4.5k,9.2k,Split,2026-01-20 11:00:00,https://www.vlr.gg/594740/natus-vincere-vs-karmine-corp-vct-2026-emea-kickoff-ur1,VCT 2026: EMEA Kickoff
NAVI,KC,15550,21400,3,13.7k,1.1k,Split,2026-01-20 11:00:00,https://www.vlr.gg/594740/natus-vincere-vs-karmine-corp-vct-2026-emea-kickoff-ur1,VCT 2026: EMEA Kickoff
NAVI,KC,24100,21950,4,1.3k,10.3k,Split,2026-01-20 11:00:00,https://www.vlr.gg/594740/natus-vincere-vs-karmine-corp-vct-2026-emea-kickoff-ur1,VCT 2026: EMEA Kickoff
NAVI,KC,24450,19700,5,10.8k,0.8k,Split,2026-01-20 11:00:00,https://www.vlr.gg/594740/natus-vincere-vs-karmine-corp-vct-2026-emea-kickoff-ur1,VCT 2026: EMEA Kickoff
NAVI,KC,24700,9000,6,10.9k,6.3k,Split,2026-01-20 11:00:00,https://www.vlr.gg/594740/natus-vincere-vs-karmine-corp-vct-2026-emea-kickoff-ur1,VCT 2026: EMEA Kickoff
NAVI,KC,26300,20050,7,24.4k,1.3k,Split,2026-01-20 11:00:00,https://www.vlr.gg/594740/natus-vincere-vs-karmine-corp-vct-2026-emea-kickoff-ur1,VCT 2026: EMEA Kickoff
NAVI,KC,24100,23400,8,12.1k,4.2k,Split,2026-01-20 11:00:00,https://www.vlr.gg/594740/natus-vincere-vs-karmine-corp-vct-2026-emea-kickoff-ur1,VCT 2026: EMEA Kickoff
NAVI,KC,25300,6300,9,14.1k,8.4k,Split,2026-01-20 11:00:00,https://www.vlr.gg/594740/natus-vincere-vs-karmine-corp-vct-2026-emea-kickoff-ur1,VCT 2026: EMEA Kickoff
NAVI,KC,26200,20050,10,22.9k,1.8k,Split,2026-01-20 11:00:00,https://www.vlr.gg/594740/natus-vincere-vs-karmine-corp-vct-2026-emea-kickoff-ur1,VCT 2026: EMEA Kickoff
NAVI,KC,25300,19150,11,10.1k,3.7k,Split,2026-01-20 11:00:00,https://www.vlr.gg/594740/natus-vincere-vs-karmine-corp-vct-2026-emea-kickoff-ur1,VCT 2026: EMEA Kickoff
NAVI,KC,23550,21900,12,0.7k,2.6k,Split,2026-01-20 11:00:00,https://www.vlr.gg/594740/natus-vincere-vs-karmine-corp-vct-2026-emea-kickoff-ur1,VCT 2026: EMEA Kickoff
NAVI,KC,4050,4100,13,0.2k,0.2k,Split,2026-01-20 11:00:00,https://www.vlr.gg/594740/natus-vincere-vs-karmine-corp-vct-2026-emea-kickoff-ur1,VCT 2026: EMEA Kickoff
NAVI,KC,15300,550,14,4.6k,9.9k,Split,2026-01-20 11:00:00,https://www.vlr.gg/594740/natus-vincere-vs-karmine-corp-vct-2026-emea-kickoff-ur1,VCT 2026: EMEA Kickoff
NAVI,KC,19700,21250,15,13.2k,1.0k,Split,2026-01-20 11:00:00,https://www.vlr.gg/594740/natus-vincere-vs-karmine-corp-vct-2026-emea-kickoff-ur1,VCT 2026: EMEA Kickoff
NAVI,KC,21600,21550,16,2.1k,8.3k,Split,2026-01-20 11:00:00,https://www.vlr.gg/594740/natus-vincere-vs-karmine-corp-vct-2026-emea-kickoff-ur1,VCT 2026: EMEA Kickoff
NAVI,KC,22000,7050,17,9.2k,11.4k,Split,2026-01-20 11:00:00,https://www.vlr.gg/594740/natus-vincere-vs-karmine-corp-vct-2026-emea-kickoff-ur1,VCT 2026: EMEA Kickoff
NAVI,KC,11200,25700,18,9.6k,9.8k,Split,2026-01-20 11:00:00,https://www.vlr.gg/594740/natus-vincere-vs-karmine-corp-vct-2026-emea-kickoff-ur1,VCT 2026: EMEA Kickoff
NAVI,KC,23800,22950,19,17.0k,3.1k,Split,2026-01-20 11:00:00,https://www.vlr.gg/594740/natus-vincere-vs-karmine-corp-vct-2026-emea-kickoff-ur1,VCT 2026: EMEA Kickoff
NAVI,KC,26100,15800,20,25.3k,0.5k,Split,2026-01-20 11:00:00,https://www.vlr.gg/594740/natus-vincere-vs-karmine-corp-vct-2026-emea-kickoff-ur1,VCT 2026: EMEA Kickoff
NAVI,KC,24600,23700,21,13.8k,4.6k,Split,2026-01-20 11:00:00,https://www.vlr.gg/594740/natus-vincere-vs-karmine-corp-vct-2026-emea-kickoff-ur1,VCT 2026: EMEA Kickoff
NAVI,KC,24400,25800,22,10.7k,6.1k,Split,2026-01-20 11:00:00,https://www.vlr.gg/594740/natus-vincere-vs-karmine-corp-vct-2026-emea-kickoff-ur1,VCT 2026: EMEA Kickoff
NAVI,KC,23400,26100,23,3.6k,18.4k,Split,2026-01-20 11:00:00,https://www.vlr.gg/594740/natus-vincere-vs-karmine-corp-vct-2026-emea-kickoff-ur1,VCT 2026: EMEA Kickoff
NAVI,KC,19350,25900,24,0.7k,21.6k,Split,2026-01-20 11:00:00,https://www.vlr.gg/594740/natus-vincere-vs-karmine-corp-vct-2026-emea-kickoff-ur1,VCT 2026: EMEA Kickoff
NAVI,KC,3500,3950,1,0.3k,0.4k,Haven,2026-01-20 11:00:00,https://www.vlr.gg/594740/natus-vincere-vs-karmine-corp-vct-2026-emea-kickoff-ur1,VCT 2026: EMEA Kickoff
NAVI,KC,15700,2550,2,2.3k,9.5k,Haven,2026-01-20 11:00:00,https://www.vlr.gg/594740/natus-vincere-vs-karmine-corp-vct-2026-emea-kickoff-ur1,VCT 2026: EMEA Kickoff
NAVI,KC,18150,22750,3,12.3k,0.6k,Haven,2026-01-20 11:00:00,https://www.vlr.gg/594740/natus-vincere-vs-karmine-corp-vct-2026-emea-kickoff-ur1,VCT 2026: EMEA Kickoff
NAVI,KC,23000,12600,4,14.6k,4.4k,Haven,2026-01-20 11:00:00,https://www.vlr.gg/594740/natus-vincere-vs-karmine-corp-vct-2026-emea-kickoff-ur1,VCT 2026: EMEA Kickoff
NAVI,KC,22700,22600,5,3.0k,7.7k,Haven,2026-01-20 11:00:00,https://www.vlr.gg/594740/natus-vincere-vs-karmine-corp-vct-2026-emea-kickoff-ur1,VCT 2026: EMEA Kickoff
NAVI,KC,20900,11050,6,5.8k,8.5k,Haven,2026-01-20 11:00:00,https://www.vlr.gg/594740/natus-vincere-vs-karmine-corp-vct-2026-emea-kickoff-ur1,VCT 2026: EMEA Kickoff
NAVI,KC,21950,19700,7,11.3k,2.2k,Haven,2026-01-20 11:00:00,https://www.vlr.gg/594740/natus-vincere-vs-karmine-corp-vct-2026-emea-kickoff-ur1,VCT 2026: EMEA Kickoff
NAVI,KC,23150,19250,8,10.2k,0.9k,Haven,2026-01-20 11:00:00,https://www.vlr.gg/594740/natus-vincere-vs-karmine-corp-vct-2026-emea-kickoff-ur1,VCT 2026: EMEA Kickoff
NAVI,KC,23200,18400,9,11.4k,0.8k,Haven,2026-01-20 11:00:00,https://www.vlr.gg/594740/natus-vincere-vs-karmine-corp-vct-2026-emea-kickoff-ur1,VCT 2026: EMEA Kickoff
NAVI,KC,22500,20050,10,0.6k,1.9k,Haven,2026-01-20 11:00:00,https://www.vlr.gg/594740/natus-vincere-vs-karmine-corp-vct-2026-emea-kickoff-ur1,VCT 2026: EMEA Kickoff
NAVI,KC,23500,4250,11,11.6k,8.8k,Haven,2026-01-20 11:00:00,https://www.vlr.gg/594740/natus-vincere-vs-karmine-corp-vct-2026-emea-kickoff-ur1,VCT 2026: EMEA Kickoff
NAVI,KC,25300,22750,12,9.4k,0.9k,Haven,2026-01-20 11:00:00,https://www.vlr.gg/594740/natus-vincere-vs-karmine-corp-vct-2026-emea-kickoff-ur1,VCT 2026: EMEA Kickoff
NAVI,KC,3650,3950,13,0.3k,0.3k,Haven,2026-01-20 11:00:00,https://www.vlr.gg/594740/natus-vincere-vs-karmine-corp-vct-2026-emea-kickoff-ur1,VCT 2026: EMEA Kickoff
NAVI,KC,2500,16150,14,9.3k,2.8k,Haven,2026-01-20 11:00:00,https://www.vlr.gg/594740/natus-vincere-vs-karmine-corp-vct-2026-emea-kickoff-ur1,VCT 2026: EMEA Kickoff
NAVI,KC,21450,16750,15,0.3k,13.4k,Haven,2026-01-20 11:00:00,https://www.vlr.gg/594740/natus-vincere-vs-karmine-corp-vct-2026-emea-kickoff-ur1,VCT 2026: EMEA Kickoff
NAVI,KC,20550,22000,16,4.8k,1.8k,Haven,2026-01-20 11:00:00,https://www.vlr.gg/594740/natus-vincere-vs-karmine-corp-vct-2026-emea-kickoff-ur1,VCT 2026: EMEA Kickoff
NAVI,KC,9100,20200,17,8.4k,4.5k,Haven,2026-01-20 11:00:00,https://www.vlr.gg/594740/natus-vincere-vs-karmine-corp-vct-2026-emea-kickoff-ur1,VCT 2026: EMEA Kickoff
NAVI,KC,18450,23600,18,2.8k,13.0k,Haven,2026-01-20 11:00:00,https://www.vlr.gg/594740/natus-vincere-vs-karmine-corp-vct-2026-emea-kickoff-ur1,VCT 2026: EMEA Kickoff
NAVI,KC,13800,22550,19,6.3k,9.3k,Haven,2026-01-20 11:00:00,https://www.vlr.gg/594740/natus-vincere-vs-karmine-corp-vct-2026-emea-kickoff-ur1,VCT 2026: EMEA Kickoff
NAVI,KC,23000,19550,20,6.9k,0.7k,Haven,2026-01-20 11:00:00,https://www.vlr.gg/594740/natus-vincere-vs-karmine-corp-vct-2026-emea-kickoff-ur1,VCT 2026: EMEA Kickoff
FUT,M8,3650,4000,1,0.2k,0.3k,Abyss,2026-01-20 13:35:00,https://www.vlr.gg/594741/fut-esports-vs-gentle-mates-vct-2026-emea-kickoff-ur1,VCT 2026: EMEA Kickoff
FUT,M8,750,14950,2,9.8k,4.5k,Abyss,2026-01-20 13:35:00,https://www.vlr.gg/594741/fut-esports-vs-gentle-mates-vct-2026-emea-kickoff-ur1,VCT 2026: EMEA Kickoff
FUT,M8,20700,20450,3,0.7k,11.6k,Abyss,2026-01-20 13:35:00,https://www.vlr.gg/594741/fut-esports-vs-gentle-mates-vct-2026-emea-kickoff-ur1,VCT 2026: EMEA Kickoff
FUT,M8,8750,23100,4,9.8k,9.4k,Abyss,2026-01-20 13:35:00,https://www.vlr.gg/594741/fut-esports-vs-gentle-mates-vct-2026-emea-kickoff-ur1,VCT 2026: EMEA Kickoff
FUT,M8,23550,23900,5,2.9k,10.2k,Abyss,2026-01-20 13:35:00,https://www.vlr.gg/594741/fut-esports-vs-gentle-mates-vct-2026-emea-kickoff-ur1,VCT 2026: EMEA Kickoff
FUT,M8,23850,19250,6,4.1k,2.5k,Abyss,2026-01-20 13:35:00,https://www.vlr.gg/594741/fut-esports-vs-gentle-mates-vct-2026-emea-kickoff-ur1,VCT 2026: EMEA Kickoff
FUT,M8,23550,10050,7,5.8k,6.6k,Abyss,2026-01-20 13:35:00,https://www.vlr.gg/594741/fut-esports-vs-gentle-mates-vct-2026-emea-kickoff-ur1,VCT 2026: EMEA Kickoff
FUT,M8,25750,20900,8,10.2k,3.1k,Abyss,2026-01-20 13:35:00,https://www.vlr.gg/594741/fut-esports-vs-gentle-mates-vct-2026-emea-kickoff-ur1,VCT 2026: EMEA Kickoff
FUT,M8,25850,19400,9,13.6k,0.9k,Abyss,2026-01-20 13:35:00,https://www.vlr.gg/594741/fut-esports-vs-gentle-mates-vct-2026-emea-kickoff-ur1,VCT 2026: EMEA Kickoff
