team,rival,team_1_select_1,team_2_select_1,team_1_select_2,team_2_select_2,team_1_select_3,team_2_select_3,decider,order,bo,date,source_url,event
EF,FNC,Fracture,Pearl,Breeze,Bind,Haven,Split,Lotus,A,3,2026-04-01 11:00:00,https://www.vlr.gg/644709/fnatic-vs-eternal-fire-vct-2026-emea-stage-1-w1,VCT 2026: EMEA Stage 1
KC,TL,Split,Lotus,Haven,Pearl,Breeze,Bind,Fracture,A,3,2026-04-01 14:35:00,https://www.vlr.gg/644710/team-liquid-vs-karmine-corp-vct-2026-emea-stage-1-w1,VCT 2026: EMEA Stage 1
VIT,GX,Fracture,Lotus,Haven,Pearl,Bind,Split,Breeze,A,3,2026-04-02 11:00:00,https://www.vlr.gg/644711/team-vitality-vs-giantx-vct-2026-emea-stage-1-w1,VCT 2026: EMEA Stage 1
M8,FUT,Breeze,Fracture,Pearl,Bind,Lotus,Split,Haven,A,3,2026-04-02 13:05:00,https://www.vlr.gg/644712/gentle-mates-vs-fut-esports-vct-2026-emea-stage-1-w1,VCT 2026: EMEA Stage 1
NAVI,TH,Haven,Split,Pearl,Lotus,Breeze,Fracture,Bind,A,3,2026-04-03 11:00:00,https://www.vlr.gg/644713/team-heretics-vs-natus-vincere-vct-2026-emea-stage-1-w1,VCT 2026: EMEA Stage 1
PCF,BBL,Haven,Fracture,Split,Breeze,Lotus,Bind,Pearl,A,3,2026-04-03 14:55:00,https://www.vlr.gg/644714/bbl-esports-vs-pcific-esports-vct-2026-emea-stage-1-w1,VCT 2026: EMEA Stage 1
GX,PCF,Fracture,Breeze,Haven,Pearl,Lotus,Bind,Split,A,3,2026-04-08 11:00:00,https://www.vlr.gg/644716/pcific-esports-vs-giantx-vct-2026-emea-stage-1-w2,VCT 2026: EMEA Stage 1
BBL,EF,Bind,Haven,Pearl,Split,Lotus,Breeze,Fracture,A,3,2026-04-08 14:25:00,https://www.vlr.gg/644717/bbl-esports-vs-eternal-fire-vct-2026-emea-stage-1-w2,VCT 2026: EMEA Stage 1
FNC,VIT,Pearl,Fracture,Split,Breeze,Haven,Lotus,Bind,A,3,2026-04-09 11:00:00,https://www.vlr.gg/644718/fnatic-vs-team-vitality-vct-2026-emea-stage-1-w2,VCT 2026: EMEA Stage 1
TH,TL,Split,Haven,Pearl,Bind,Lotus,Breeze,Fracture,A,3,2026-04-09 13:30:00,https://www.vlr.gg/644719/team-liquid-vs-team-heretics-vct-2026-emea-stage-1-w2,VCT 2026: EMEA Stage 1
NAVI,FUT,Haven,Pearl,Fracture,Bind,Breeze,Lotus,Split,A,3,2026-04-10 11:00:00,https://www.vlr.gg/644720/fut-esports-vs-natus-vincere-vct-2026-emea-stage-1-w2,VCT 2026: EMEA Stage 1
KC,M8,Split,Bind,Fracture,Haven,Breeze,Lotus,Pearl,A,3,2026-04-10 14:20:00,https://www.vlr.gg/644721/gentle-mates-vs-karmine-corp-vct-2026-emea-stage-1-w2,VCT 2026: EMEA Stage 1
BBL,GX,Bind,Fracture,Haven,Lotus,Pearl,Breeze,Split,A,3,2026-04-15 11:00:00,https://www.vlr.gg/644722/bbl-esports-vs-giantx-vct-2026-emea-stage-1-w3,VCT 2026: EMEA Stage 1
M8,NAVI,Bind,Haven,Pearl,Lotus,Breeze,Fracture,Split,A,3,2026-04-15 14:20:00,https://www.vlr.gg/644723/gentle-mates-vs-natus-vincere-vct-2026-emea-stage-1-w3,VCT 2026: EMEA Stage 1
