player,team,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE,map,date,source_url,event
crashies,FNC,10,2,0,0,0,0,0,0,0,39,8,5,all,2026-04-01 11:00:00,https://www.vlr.gg/644709/fnatic-vs-eternal-fire-vct-2026-emea-stage-1-w1,VCT 2026: EMEA Stage 1
Boaster,FNC,9,1,0,0,0,0,0,0,0,50,8,3,all,2026-04-01 11:00:00,https://www.vlr.gg/644709/fnatic-vs-eternal-fire-vct-2026-emea-stage-1-w1,VCT 2026: EMEA Stage 1
kaajak,FNC,12,4,0,0,0,0,0,0,0,41,0,0,all,2026-04-01 11:00:00,https://www.vlr.gg/644709/fnatic-vs-eternal-fire-vct-2026-emea-stage-1-w1,VCT 2026: EMEA Stage 1
Alfajer,FNC,18,3,0,0,0,0,0,0,0,54,3,1,all,2026-04-01 11:00:00,https://www.vlr.gg/644709/fnatic-vs-eternal-fire-vct-2026-emea-stage-1-w1,VCT 2026: EMEA Stage 1
Veqaj,FNC,10,4,0,0,0,0,0,0,0,67,4,2,all,2026-04-01 11:00:00,https://www.vlr.gg/644709/fnatic-vs-eternal-fire-vct-2026-emea-stage-1-w1,VCT 2026: EMEA Stage 1
Izzy,EF,6,2,1,0,0,0,0,0,0,42,2,0,all,2026-04-01 11:00:00,https://www.vlr.gg/644709/fnatic-vs-eternal-fire-vct-2026-emea-stage-1-w1,VCT 2026: EMEA Stage 1
nekky,EF,9,1,0,0,0,0,0,0,0,34,12,1,all,2026-04-01 11:00:00,https://www.vlr.gg/644709/fnatic-vs-eternal-fire-vct-2026-emea-stage-1-w1,VCT 2026: EMEA Stage 1
audaz,EF,6,1,0,0,0,0,0,0,0,39,7,2,all,2026-04-01 11:00:00,https://www.vlr.gg/644709/fnatic-vs-eternal-fire-vct-2026-emea-stage-1-w1,VCT 2026: EMEA Stage 1
Favian,EF,9,4,0,0,1,0,0,0,0,45,7,0,all,2026-04-01 11:00:00,https://www.vlr.gg/644709/fnatic-vs-eternal-fire-vct-2026-emea-stage-1-w1,VCT 2026: EMEA Stage 1
echo,EF,12,4,0,0,1,0,0,0,0,47,1,1,all,2026-04-01 11:00:00,https://www.vlr.gg/644709/fnatic-vs-eternal-fire-vct-2026-emea-stage-1-w1,VCT 2026: EMEA Stage 1
