team_a,team_b,team_a_economy,team_b_economy,round,team_a_bank,team_b_bank,map,date,source_url,event
FNC,EF,3700,3650,1,0.1k,0.2k,Breeze,2026-04-01 11:00:00,https://www.vlr.gg/644709/fnatic-vs-eternal-fire-vct-2026-emea-stage-1-w1,VCT 2026: EMEA Stage 1
FNC,EF,1400,16050,2,8.4k,4.5k,Breeze,2026-04-01 11:00:00,https://www.vlr.gg/644709/fnatic-vs-eternal-fire-vct-2026-emea-stage-1-w1,VCT 2026: EMEA Stage 1
FNC,EF,20200,18350,3,1.0k,10.7k,Breeze,2026-04-01 11:00:00,https://www.vlr.gg/644709/fnatic-vs-eternal-fire-vct-2026-emea-stage-1-w1,VCT 2026: EMEA Stage 1
FNC,EF,6000,23400,4,11.2k,17.9k,Breeze,2026-04-01 11:00:00,https://www.vlr.gg/644709/fnatic-vs-eternal-fire-vct-2026-emea-stage-1-w1,VCT 2026: EMEA Stage 1
FNC,EF,21100,24450,5,6.2k,25.1k,Breeze,2026-04-01 11:00:00,https://www.vlr.gg/644709/fnatic-vs-eternal-fire-vct-2026-emea-stage-1-w1,VCT 2026: EMEA Stage 1
FNC,EF,17950,25800,6,4.8k,37.6k,Breeze,2026-04-01 11:00:00,https://www.vlr.gg/644709/fnatic-vs-eternal-fire-vct-2026-emea-stage-1-w1,VCT 2026: EMEA Stage 1
FNC,EF,18350,26400,7,2.4k,41.7k,Breeze,2026-04-01 11:00:00,https://www.vlr.gg/644709/fnatic-vs-eternal-fire-vct-2026-emea-stage-1-w1,VCT 2026: EMEA Stage 1
FNC,EF,22300,23650,8,11.6k,21.9k,Breeze,2026-04-01 11:00:00,https://www.vlr.gg/644709/fnatic-vs-eternal-fire-vct-2026-emea-stage-1-w1,VCT 2026: EMEA Stage 1
FNC,EF,24100,24400,9,20.7k,10.6k,Breeze,2026-04-01 11:00:00,https://www.vlr.gg/644709/fnatic-vs-eternal-fire-vct-2026-emea-stage-1-w1,VCT 2026: EMEA Stage 1
FNC,EF,23200,23600,10,9.0k,10.5k,Breeze,2026-04-01 11:00:00,https://www.vlr.gg/644709/fnatic-vs-eternal-fire-vct-2026-emea-stage-1-w1,VCT 2026: EMEA Stage 1
FNC,EF,23800,20050,11,9.9k,2.4k,Breeze,2026-04-01 11:00:00,https://www.vlr.gg/644709/fnatic-vs-eternal-fire-vct-2026-emea-stage-1-w1,VCT 2026: EMEA Stage 1
FNC,EF,19850,22800,12,1.0k,6.2k,Breeze,2026-04-01 11:00:00,https://www.vlr.gg/644709/fnatic-vs-eternal-fire-vct-2026-emea-stage-1-w1,VCT 2026: EMEA Stage 1
