teamA,map,side,teamB,rndA,rndB,round,winCon,date,map_order,event,source_url
FUT,Split,atk,NAVI,1,0,13,elim,2026-07-15 11:00:00,0,VCT 2026: EMEA Stage 2,https://www.vlr.gg/712803/fut-esports-vs-natus-vincere-vct-2026-emea-stage-2-w1
FUT,Split,atk,NAVI,1,0,14,elim,2026-07-15 11:00:00,0,VCT 2026: EMEA Stage 2,https://www.vlr.gg/712803/fut-esports-vs-natus-vincere-vct-2026-emea-stage-2-w1
FUT,Split,atk,NAVI,0,1,15,elim,2026-07-15 11:00:00,0,VCT 2026: EMEA Stage 2,https://www.vlr.gg/712803/fut-esports-vs-natus-vincere-vct-2026-emea-stage-2-w1
FUT,Split,atk,NAVI,0,1,16,elim,2026-07-15 11:00:00,0,VCT 2026: EMEA Stage 2,https://www.vlr.gg/712803/fut-esports-vs-natus-vincere-vct-2026-emea-stage-2-w1
FUT,Split,atk,NAVI,0,1,17,defus,2026-07-15 11:00:00,0,VCT 2026: EMEA Stage 2,https://www.vlr.gg/712803/fut-esports-vs-natus-vincere-vct-2026-emea-stage-2-w1
FUT,Split,atk,NAVI,0,1,18,elim,2026-07-15 11:00:00,0,VCT 2026: EMEA Stage 2,https://www.vlr.gg/712803/fut-esports-vs-natus-vincere-vct-2026-emea-stage-2-w1
FUT,Split,atk,NAVI,0,1,19,elim,2026-07-15 11:00:00,0,VCT 2026: EMEA Stage 2,https://www.vlr.gg/712803/fut-esports-vs-natus-vincere-vct-2026-emea-stage-2-w1
FUT,Split,def,NAVI,1,0,1,defus,2026-07-15 11:00:00,0,VCT 2026: EMEA Stage 2,https://www.vlr.gg/712803/fut-esports-vs-natus-vincere-vct-2026-emea-stage-2-w1
FUT,Split,def,NAVI,1,0,2,elim,2026-07-15 11:00:00,0,VCT 2026: EMEA Stage 2,https://www.vlr.gg/712803/fut-esports-vs-natus-vincere-vct-2026-emea-stage-2-w1
FUT,Split,def,NAVI,0,1,3,elim,2026-07-15 11:00:00,0,VCT 2026: EMEA Stage 2,https://www.vlr.gg/712803/fut-esports-vs-natus-vincere-vct-2026-emea-stage-2-w1
