team,rival,team_1_select_1,team_2_select_1,team_1_select_2,team_2_select_2,team_1_select_3,team_2_select_3,decider,order,bo,date,source_url,event
TS,NS,Corrode,Pearl,Haven,Split,Abyss,Bind,Breeze,A,3,2026-01-22 03:00:00,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
FS,ZETA,Haven,Pearl,Corrode,Split,Abyss,Bind,Breeze,A,3,2026-01-22 05:10:00,https://www.vlr.gg/595631/zeta-division-vs-full-sense-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
VL,GE,Corrode,Bind,Split,Abyss,Breeze,Pearl,Haven,A,3,2026-01-23 03:00:00,https://www.vlr.gg/595632/varrel-vs-global-esports-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
GEN,DFM,Bind,Breeze,Abyss,Pearl,Corrode,Split,Haven,A,3,2026-01-23 05:10:00,https://www.vlr.gg/595633/detonation-focusme-vs-gen-g-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
NS,T1,Pearl,Bind,Split,Haven,Breeze,Abyss,Corrode,A,3,2026-01-24 03:00:00,https://www.vlr.gg/595634/t1-vs-nongshim-redforce-vct-2026-pacific-kickoff-ur2,VCT 2026: Pacific Kickoff
FS,DRX,Abyss,Corrode,Breeze,Pearl,Haven,Bind,Split,A,3,2026-01-24 05:55:00,https://www.vlr.gg/595635/drx-vs-full-sense-vct-2026-pacific-kickoff-ur2,VCT 2026: Pacific Kickoff
GE,PRX,Pearl,Abyss,Breeze,Split,Haven,Corrode,Bind,A,3,2026-01-25 03:00:00,https://www.vlr.gg/595636/paper-rex-vs-global-esports-vct-2026-pacific-kickoff-ur2,VCT 2026: Pacific Kickoff
DFM,RRQ,Pearl,Abyss,Haven,Corrode,Breeze,Split,Bind,A,3,2026-01-25 06:00:00,https://www.vlr.gg/595637/rex-regum-qeon-vs-detonation-focusme-vct-2026-pacific-kickoff-ur2,VCT 2026: Pacific Kickoff
TS,DFM,Corrode,Haven,Split,Bind,Abyss,Pearl,Breeze,A,3,2026-01-29 03:00:00,https://www.vlr.gg/595641/team-secret-vs-detonation-focusme-vct-2026-pacific-kickoff-mr1,VCT 2026: Pacific Kickoff
ZETA,GE,Pearl,Corrode,Haven,Abyss,Bind,Breeze,Split,A,3,2026-01-29 05:00:00,https://www.vlr.gg/595642/zeta-division-vs-global-esports-vct-2026-pacific-kickoff-mr1,VCT 2026: Pacific Kickoff
VL,DRX,Abyss,Pearl,Corrode,Split,Breeze,Haven,Bind,A,3,2026-01-30 03:00:00,https://www.vlr.gg/595643/varrel-vs-drx-vct-2026-pacific-kickoff-mr1,VCT 2026: Pacific Kickoff
GEN,T1,Pearl,Abyss,Breeze,Bind,Split,Corrode,Haven,A,3,2026-01-30 06:25:00,https://www.vlr.gg/595644/gen-g-vs-t1-vct-2026-pacific-kickoff-mr1,VCT 2026: Pacific Kickoff
FS,NS,Haven,Pearl,Split,Bind,Abyss,Breeze,Corrode,A,3,2026-01-31 03:00:00,https://www.vlr.gg/595638/nongshim-redforce-vs-full-sense-vct-2026-pacific-kickoff-ur3,VCT 2026: Pacific Kickoff
PRX,RRQ,Abyss,Split,Bind,Pearl,Corrode,Haven,Breeze,A,3,2026-01-31 05:10:00,https://www.vlr.gg/595639/paper-rex-vs-rex-regum-qeon-vct-2026-pacific-kickoff-ur3,VCT 2026: Pacific Kickoff
GE,DFM,Abyss,Corrode,Breeze,Pearl,Bind,Haven,Split,A,3,2026-02-01 03:00:00,https://www.vlr.gg/595645/detonation-focusme-vs-global-esports-vct-2026-pacific-kickoff-mr2,VCT 2026: Pacific Kickoff
DRX,T1,Pearl,Abyss,Split,Bind,Haven,Corrode,Breeze,A,3,2026-02-01 06:05:00,https://www.vlr.gg/595646/drx-vs-t1-vct-2026-pacific-kickoff-mr2,VCT 2026: Pacific Kickoff
ZETA,TS,Pearl,Corrode,Bind,Split,Breeze,Haven,Abyss,A,3,2026-02-05 03:00:00,https://www.vlr.gg/595651/team-secret-vs-zeta-division-vct-2026-pacific-kickoff-lr1,VCT 2026: Pacific Kickoff
GEN,VL,Corrode,Abyss,Breeze,Pearl,Split,Bind,Haven,A,3,2026-02-05 05:45:00,https://www.vlr.gg/595652/varrel-vs-gen-g-vct-2026-pacific-kickoff-lr1,VCT 2026: Pacific Kickoff
DFM,FS,Corrode,Bind,Pearl,Split,Breeze,Abyss,Haven,A,3,2026-02-06 03:00:00,https://www.vlr.gg/595647/full-sense-vs-detonation-focusme-vct-2026-pacific-kickoff-mr3,VCT 2026: Pacific Kickoff
T1,PRX,Haven,Abyss,Pearl,Breeze,Corrode,Split,Bind,A,3,2026-02-06 06:00:00,https://www.vlr.gg/595648/paper-rex-vs-t1-vct-2026-pacific-kickoff-mr3,VCT 2026: Pacific Kickoff
ZETA,DRX,Abyss,Pearl,Haven,Bind,Breeze,Corrode,Split,A,3,2026-02-07 03:00:00,https://www.vlr.gg/595653/drx-vs-zeta-division-vct-2026-pacific-kickoff-lr2,VCT 2026: Pacific Kickoff
GEN,GE,Corrode,Pearl,Breeze,Abyss,Split,Bind,Haven,A,3,2026-02-07 06:00:00,https://www.vlr.gg/595654/global-esports-vs-gen-g-vct-2026-pacific-kickoff-lr2,VCT 2026: Pacific Kickoff
FS,DRX,Haven,Pearl,Corrode,Abyss,Bind,Breeze,Split,A,3,2026-02-08 03:00:00,https://www.vlr.gg/595655/full-sense-vs-drx-vct-2026-pacific-kickoff-lr3,VCT 2026: Pacific Kickoff
GE,PRX,Bind,Abyss,Corrode,Breeze,Haven,Pearl,Split,A,3,2026-02-08 05:00:00,https://www.vlr.gg/595656/paper-rex-vs-global-esports-vct-2026-pacific-kickoff-lr3,VCT 2026: Pacific Kickoff
PRX,DRX,Abyss,Pearl,Haven,Corrode,Bind,Split,Breeze,A,3,2026-02-12 03:00:00,https://www.vlr.gg/595657/drx-vs-paper-rex-vct-2026-pacific-kickoff-lr4,VCT 2026: Pacific Kickoff
DFM,T1,Corrode,Haven,Pearl,Split,Breeze,Abyss,Bind,A,3,2026-02-13 02:00:00,https://www.vlr.gg/595649/detonation-focusme-vs-t1-vct-2026-pacific-kickoff-mr4,VCT 2026: Pacific Kickoff
RRQ,NS,Split,Pearl,Corrode,Bind,Haven,Abyss,Breeze,A,5,2026-02-13 04:00:00,https://www.vlr.gg/595640/nongshim-redforce-vs-rex-regum-qeon-vct-2026-pacific-kickoff-ubf,VCT 2026: Pacific Kickoff
PRX,DFM,Abyss,Corrode,Haven,Split,Pearl,Breeze,Bind,A,3,2026-02-14 02:00:00,https://www.vlr.gg/595658/detonation-focusme-vs-paper-rex-vct-2026-pacific-kickoff-lr5,VCT 2026: Pacific Kickoff
RRQ,T1,Split,Corrode,Pearl,Breeze,Abyss,Haven,Bind,A,5,2026-02-14 04:00:00,https://www.vlr.gg/595650/rex-regum-qeon-vs-t1-vct-2026-pacific-kickoff-mbf,VCT 2026: Pacific Kickoff
