player,team,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE,map,date,source_url,event
Rb,NS,7,1,0,0,2,0,0,0,0,56,8,0,all,2026-01-22 03:00:00,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
Dambi,NS,6,3,1,0,0,0,0,0,0,75,0,0,all,2026-01-22 03:00:00,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
Francis,NS,8,2,0,1,0,0,0,0,0,51,0,0,all,2026-01-22 03:00:00,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
Ivy,NS,3,0,0,0,1,0,0,0,0,32,0,2,all,2026-01-22 03:00:00,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
Xross,NS,3,1,0,0,0,0,1,0,0,52,11,0,all,2026-01-22 03:00:00,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
JessieVash,TS,6,0,0,0,0,1,0,0,0,42,6,0,all,2026-01-22 03:00:00,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
Sylvan,TS,2,1,0,0,0,0,0,0,0,45,2,0,all,2026-01-22 03:00:00,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
BerserX,TS,3,2,0,0,0,0,0,0,0,59,0,2,all,2026-01-22 03:00:00,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
kellyS,TS,8,0,0,0,0,0,0,0,0,51,2,1,all,2026-01-22 03:00:00,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
TenTen,TS,4,2,0,0,0,0,0,0,0,36,1,0,all,2026-01-22 03:00:00,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
Rb,NS,3,0,0,0,0,0,0,0,0,42,6,0,Haven,2026-01-22 03:00:00,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
Dambi,NS,4,1,1,0,0,0,0,0,0,81,0,0,Haven,2026-01-22 03:00:00,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
Francis,NS,4,0,0,1,0,0,0,0,0,47,0,0,Haven,2026-01-22 03:00:00,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
Ivy,NS,1,0,0,0,0,0,0,0,0,31,0,1,Haven,2026-01-22 03:00:00,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
Xross,NS,3,0,0,0,0,0,0,0,0,73,5,0,Haven,2026-01-22 03:00:00,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
JessieVash,TS,2,0,0,0,0,1,0,0,0,45,1,0,Haven,2026-01-22 03:00:00,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
Sylvan,TS,1,1,0,0,0,0,0,0,0,44,1,0,Haven,2026-01-22 03:00:00,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
BerserX,TS,1,0,0,0,0,0,0,0,0,29,0,2,Haven,2026-01-22 03:00:00,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
kellyS,TS,4,0,0,0,0,0,0,0,0,63,0,1,Haven,2026-01-22 03:00:00,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
TenTen,TS,0,1,0,0,0,0,0,0,0,27,1,0,Haven,2026-01-22 03:00:00,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
Rb,NS,4,1,0,0,2,0,0,0,0,69,2,0,Split,2026-01-22 03:00:00,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
Dambi,NS,2,2,0,0,0,0,0,0,0,68,0,0,Split,2026-01-22 03:00:00,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
Francis,NS,4,2,0,0,0,0,0,0,0,55,0,0,Split,2026-01-22 03:00:00,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
Ivy,NS,2,0,0,0,1,0,0,0,0,33,0,1,Split,2026-01-22 03:00:00,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
Xross,NS,0,1,0,0,0,0,1,0,0,31,6,0,Split,2026-01-22 03:00:00,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
JessieVash,TS,4,0,0,0,0,0,0,0,0,38,5,0,Split,2026-01-22 03:00:00,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
Sylvan,TS,1,0,0,0,0,0,0,0,0,46,1,0,Split,2026-01-22 03:00:00,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
BerserX,TS,2,2,0,0,0,0,0,0,0,89,0,0,Split,2026-01-22 03:00:00,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
kellyS,TS,4,0,0,0,0,0,0,0,0,39,2,0,Split,2026-01-22 03:00:00,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
TenTen,TS,4,1,0,0,0,0,0,0,0,45,0,0,Split,2026-01-22 03:00:00,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
eKo,ZETA,2,3,0,0,0,0,0,0,0,56,0,0,all,2026-01-22 05:10:00,https://www.vlr.gg/595631/zeta-division-vs-full-sense-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
SugarZ3ro,ZETA,0,1,0,0,0,0,0,0,0,42,0,0,all,2026-01-22 05:10:00,https://www.vlr.gg/595631/zeta-division-vs-full-sense-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
SyouTa,ZETA,3,0,0,0,0,0,0,0,0,47,0,0,all,2026-01-22 05:10:00,https://www.vlr.gg/595631/zeta-division-vs-full-sense-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
Xdll,ZETA,3,1,0,0,0,1,0,0,0,23,8,0,all,2026-01-22 05:10:00,https://www.vlr.gg/595631/zeta-division-vs-full-sense-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
