team,player,agent,ratingBoth,ratingT,rating-ct,acsBoth,acsT,acsCT,killsBoth,killsT,killsCT,deadBoth,deadT,deadCT,assistsBoth,assistsT,assistsCT,k-dBoth,k-dT,k-dCT,kastBoth,kastT,kastCT,adrBoth,adrT,adrCT,hsBoth,hsT,hsCT,fkBoth,fkT,fkCT,fdBoth,fdT,fdCT,fk-fdBoth,fk-fdT,fk-fdCT,map,map_id_vlr,map_duration,date,source_url,event
NS,Dambi,Neon,1.71,1.93,1.29,300.0,331.0,240.0,21.0,15.0,6.0,10.0,6.0,4.0,6.0,2.0,4.0,11.0,9.0,2.0,0.94,0.92,1.0,177.0,209.0,114.0,0.25,0.33,0.1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Haven,244560,59:33,2026-01-22 03:00:00,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
NS,Xross,Sova,1.34,1.03,1.97,242.0,176.0,376.0,14.0,6.0,8.0,8.0,6.0,2.0,9.0,7.0,2.0,6.0,0.0,6.0,1.0,1.0,1.0,164.0,117.0,258.0,0.28,0.15,0.54,1.0,0.0,1.0,1.0,1.0,0.0,0.0,-1.0,1.0,Haven,244560,59:33,2026-01-22 03:00:00,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
NS,Francis,Yoru,1.21,0.83,1.97,290.0,233.0,404.0,19.0,10.0,9.0,13.0,11.0,2.0,0.0,0.0,0.0,6.0,-1.0,7.0,0.78,0.75,0.83,171.0,135.0,241.0,0.26,0.24,0.29,7.0,4.0,3.0,4.0,4.0,0.0,3.0,0.0,3.0,Haven,244560,59:33,2026-01-22 03:00:00,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
NS,Rb,Omen,1.02,1.14,0.77,144.0,166.0,101.0,10.0,8.0,2.0,7.0,4.0,3.0,7.0,3.0,4.0,3.0,4.0,-1.0,0.72,0.75,0.67,96.0,105.0,77.0,0.35,0.41,0.22,1.0,0.0,1.0,2.0,1.0,1.0,-1.0,-1.0,0.0,Haven,244560,59:33,2026-01-22 03:00:00,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
NS,Ivy,Killjoy,0.84,0.86,0.79,103.0,102.0,106.0,8.0,5.0,3.0,8.0,5.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.78,0.75,0.83,64.0,63.0,65.0,0.21,0.17,0.24,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Haven,244560,59:33,2026-01-22 03:00:00,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
TS,kellyS,Viper,1.03,0.76,1.16,230.0,222.0,235.0,13.0,4.0,9.0,13.0,6.0,7.0,6.0,1.0,5.0,0.0,-2.0,2.0,0.72,0.5,0.83,145.0,135.0,150.0,0.23,0.29,0.2,0.0,0.0,0.0,2.0,0.0,2.0,-2.0,0.0,-2.0,Haven,244560,59:33,2026-01-22 03:00:00,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
TS,Sylvan,Omen,0.79,0.83,0.77,158.0,164.0,155.0,10.0,3.0,7.0,13.0,5.0,8.0,2.0,1.0,1.0,-3.0,-2.0,-1.0,0.56,0.17,0.75,94.0,113.0,84.0,0.26,0.29,0.25,3.0,0.0,3.0,3.0,2.0,1.0,0.0,-2.0,2.0,Haven,244560,59:33,2026-01-22 03:00:00,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
TS,JessieVash,Sova,0.68,0.65,0.69,174.0,118.0,203.0,10.0,3.0,7.0,16.0,5.0,11.0,5.0,0.0,5.0,-6.0,-2.0,-4.0,0.67,0.5,0.75,121.0,90.0,137.0,0.21,0.5,0.17,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,Haven,244560,59:33,2026-01-22 03:00:00,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
TS,BerserX,Killjoy,0.54,0.14,0.73,92.0,39.0,119.0,8.0,1.0,7.0,13.0,6.0,7.0,1.0,1.0,0.0,-5.0,-5.0,0.0,0.5,0.33,0.58,64.0,38.0,76.0,0.32,0.5,0.3,0.0,0.0,0.0,1.0,1.0,0.0,-1.0,-1.0,0.0,Haven,244560,59:33,2026-01-22 03:00:00,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
TS,TenTen,Neon,0.34,0.42,0.3,106.0,161.0,80.0,5.0,3.0,2.0,17.0,6.0,11.0,5.0,1.0,4.0,-12.0,-3.0,-9.0,0.5,0.5,0.5,73.0,102.0,59.0,0.21,0.33,0.14,3.0,1.0,2.0,4.0,2.0,2.0,-1.0,-1.0,0.0,Haven,244560,59:33,2026-01-22 03:00:00,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
NS,Dambi,Neon,1.56,1.62,1.48,296.0,310.0,281.0,41.0,23.0,18.0,25.0,12.0,13.0,14.0,4.0,10.0,16.0,11.0,5.0,0.85,0.86,0.83,173.0,190.0,153.0,0.18,0.21,0.15,8.0,4.0,4.0,3.0,1.0,2.0,5.0,3.0,2.0,all,all,all,2026-01-22 03:00:00,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
NS,Rb,Omen,1.21,1.36,1.03,175.0,195.0,158.0,26.0,17.0,9.0,20.0,8.0,12.0,21.0,6.0,15.0,6.0,9.0,-3.0,0.77,0.81,0.72,113.0,126.0,99.0,0.29,0.39,0.18,2.0,1.0,1.0,3.0,1.0,2.0,-1.0,0.0,-1.0,all,all,all,2026-01-22 03:00:00,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
NS,Francis,Yoru,1.14,0.94,1.36,269.0,251.0,287.0,38.0,19.0,19.0,30.0,18.0,12.0,4.0,3.0,1.0,8.0,1.0,7.0,0.69,0.71,0.67,169.0,154.0,187.0,0.32,0.28,0.39,10.0,5.0,5.0,8.0,5.0,3.0,2.0,0.0,2.0,all,all,all,2026-01-22 03:00:00,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
NS,Xross,Sova,0.99,1.12,0.84,186.0,188.0,175.0,23.0,13.0,10.0,23.0,11.0,12.0,15.0,9.0,6.0,0.0,2.0,-2.0,0.85,0.9,0.78,120.0,117.0,123.0,0.22,0.15,0.35,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,all,all,all,2026-01-22 03:00:00,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
NS,Ivy,Killjoy,0.8,0.72,0.88,110.0,93.0,131.0,17.0,7.0,10.0,21.0,10.0,11.0,12.0,6.0,6.0,-4.0,-3.0,-1.0,0.77,0.81,0.72,71.0,67.0,76.0,0.29,0.26,0.3,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,all,all,all,2026-01-22 03:00:00,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
TS,BerserX,Killjoy,1.02,1.32,0.77,178.0,237.0,139.0,27.0,15.0,12.0,25.0,11.0,14.0,4.0,4.0,0.0,2.0,4.0,-2.0,0.62,0.67,0.57,126.0,173.0,86.0,0.2,0.21,0.19,3.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,all,all,all,2026-01-22 03:00:00,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
TS,kellyS,Viper,0.85,0.77,0.92,202.0,200.0,200.0,27.0,13.0,14.0,27.0,14.0,13.0,11.0,5.0,6.0,0.0,-1.0,1.0,0.72,0.67,0.76,120.0,111.0,128.0,0.27,0.27,0.26,2.0,1.0,1.0,7.0,2.0,5.0,-5.0,-1.0,-4.0,all,all,all,2026-01-22 03:00:00,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
TS,Sylvan,Omen,0.78,0.84,0.73,149.0,141.0,155.0,20.0,9.0,11.0,27.0,12.0,15.0,12.0,10.0,2.0,-7.0,-3.0,-4.0,0.67,0.61,0.71,99.0,98.0,99.0,0.32,0.4,0.27,3.0,0.0,3.0,8.0,4.0,4.0,-5.0,-4.0,-1.0,all,all,all,2026-01-22 03:00:00,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
TS,JessieVash,Sova,0.71,0.67,0.74,175.0,139.0,206.0,23.0,9.0,14.0,32.0,14.0,18.0,9.0,3.0,6.0,-9.0,-5.0,-4.0,0.67,0.61,0.71,115.0,90.0,137.0,0.33,0.54,0.28,2.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,-1.0,all,all,all,2026-01-22 03:00:00,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
TS,TenTen,Neon,0.69,0.86,0.53,170.0,224.0,134.0,22.0,14.0,8.0,34.0,15.0,19.0,9.0,3.0,6.0,-12.0,-1.0,-11.0,0.62,0.61,0.62,114.0,141.0,91.0,0.17,0.15,0.21,5.0,3.0,2.0,6.0,4.0,2.0,-1.0,-1.0,0.0,all,all,all,2026-01-22 03:00:00,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
NS,Dambi,Neon,1.42,1.22,1.57,292.0,282.0,301.0,20.0,8.0,12.0,15.0,6.0,9.0,8.0,2.0,6.0,5.0,2.0,3.0,0.76,0.78,0.75,169.0,165.0,173.0,0.15,0.13,0.17,7.0,3.0,4.0,3.0,1.0,2.0,4.0,2.0,2.0,Split,244561,46:20,2026-01-22 03:00:00,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
NS,Rb,Omen,1.37,1.66,1.15,206.0,233.0,187.0,16.0,9.0,7.0,13.0,4.0,9.0,14.0,3.0,11.0,3.0,5.0,-2.0,0.81,0.89,0.75,129.0,154.0,110.0,0.25,0.38,0.17,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,-1.0,Split,244561,46:20,2026-01-22 03:00:00,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
NS,Francis,Yoru,1.07,1.09,1.06,248.0,274.0,229.0,19.0,9.0,10.0,17.0,7.0,10.0,4.0,3.0,1.0,2.0,2.0,0.0,0.62,0.67,0.58,168.0,178.0,160.0,0.39,0.32,0.47,3.0,1.0,2.0,4.0,1.0,3.0,-1.0,0.0,-1.0,Split,244561,46:20,2026-01-22 03:00:00,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
