teamA,map,side,teamB,rndA,rndB,round,winCon,date,map_order,event,source_url
NS,Haven,atk,TS,1,0,1,elim,2026-01-22 03:00:00,0,VCT 2026: Pacific Kickoff,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1
NS,Haven,atk,TS,1,0,2,boom,2026-01-22 03:00:00,0,VCT 2026: Pacific Kickoff,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1
NS,Haven,atk,TS,0,1,3,defus,2026-01-22 03:00:00,0,VCT 2026: Pacific Kickoff,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1
NS,Haven,atk,TS,1,0,4,boom,2026-01-22 03:00:00,0,VCT 2026: Pacific Kickoff,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1
NS,Haven,atk,TS,1,0,5,boom,2026-01-22 03:00:00,0,VCT 2026: Pacific Kickoff,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1
NS,Haven,atk,TS,1,0,6,elim,2026-01-22 03:00:00,0,VCT 2026: Pacific Kickoff,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1
NS,Haven,atk,TS,1,0,7,elim,2026-01-22 03:00:00,0,VCT 2026: Pacific Kickoff,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1
NS,Haven,atk,TS,1,0,8,elim,2026-01-22 03:00:00,0,VCT 2026: Pacific Kickoff,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1
NS,Haven,atk,TS,0,1,9,defus,2026-01-22 03:00:00,0,VCT 2026: Pacific Kickoff,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1
NS,Haven,atk,TS,1,0,10,boom,2026-01-22 03:00:00,0,VCT 2026: Pacific Kickoff,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1
NS,Haven,atk,TS,1,0,11,elim,2026-01-22 03:00:00,0,VCT 2026: Pacific Kickoff,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1
NS,Haven,atk,TS,0,1,12,defus,2026-01-22 03:00:00,0,VCT 2026: Pacific Kickoff,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1
NS,Haven,def,TS,1,0,13,defus,2026-01-22 03:00:00,0,VCT 2026: Pacific Kickoff,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1
