team_a,team_b,team_a_economy,team_b_economy,round,team_a_bank,team_b_bank,map,date,source_url,event
NS,TS,3850,3850,1,0.5k,0.1k,Haven,2026-01-22 03:00:00,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
NS,TS,12700,3300,2,7.1k,7.7k,Haven,2026-01-22 03:00:00,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
NS,TS,19150,19950,3,15.8k,0.8k,Haven,2026-01-22 03:00:00,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
NS,TS,23150,22200,4,6.1k,5.7k,Haven,2026-01-22 03:00:00,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
NS,TS,23450,21100,5,17.4k,2.1k,Haven,2026-01-22 03:00:00,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
NS,TS,23700,9850,6,23.2k,7.2k,Haven,2026-01-22 03:00:00,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
NS,TS,24200,21600,7,30.1k,1.8k,Haven,2026-01-22 03:00:00,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
NS,TS,23700,8850,8,31.6k,9.4k,Haven,2026-01-22 03:00:00,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
NS,TS,24550,24150,9,33.3k,2.3k,Haven,2026-01-22 03:00:00,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
NS,TS,24400,24950,10,20.0k,11.3k,Haven,2026-01-22 03:00:00,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
NS,TS,24200,21450,11,24.2k,3.6k,Haven,2026-01-22 03:00:00,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
NS,TS,26150,16250,12,16.4k,0.5k,Haven,2026-01-22 03:00:00,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
NS,TS,3300,3600,13,0.5k,0.6k,Haven,2026-01-22 03:00:00,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
NS,TS,16250,3600,14,1.7k,9.0k,Haven,2026-01-22 03:00:00,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
NS,TS,16850,22050,15,14.8k,1.1k,Haven,2026-01-22 03:00:00,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
NS,TS,24000,16750,16,24.6k,0.9k,Haven,2026-01-22 03:00:00,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
NS,TS,24900,19650,17,11.3k,0.4k,Haven,2026-01-22 03:00:00,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
NS,TS,21600,20750,18,2.6k,3.7k,Haven,2026-01-22 03:00:00,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
NS,TS,3500,4050,1,0.7k,0.1k,Split,2026-01-22 03:00:00,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
NS,TS,3050,16000,2,7.9k,3.2k,Split,2026-01-22 03:00:00,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
NS,TS,21500,19350,3,0.5k,14.5k,Split,2026-01-22 03:00:00,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
NS,TS,8400,23450,4,8.9k,16.8k,Split,2026-01-22 03:00:00,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
NS,TS,26200,23800,5,9.7k,3.8k,Split,2026-01-22 03:00:00,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
NS,TS,20700,22950,6,2.8k,6.7k,Split,2026-01-22 03:00:00,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1,VCT 2026: Pacific Kickoff
