teamA,map,side,teamB,rndA,rndB,round,winCon,date,map_order,event,source_url
GEN,Bind,atk,GE,0,1,13,elim,2026-04-03 04:00:00,0,VCT 2026: Pacific Stage 1,https://www.vlr.gg/644652/gen-g-vs-global-esports-vct-2026-pacific-stage-1-w1
GEN,Bind,atk,GE,0,1,14,elim,2026-04-03 04:00:00,0,VCT 2026: Pacific Stage 1,https://www.vlr.gg/644652/gen-g-vs-global-esports-vct-2026-pacific-stage-1-w1
GEN,Bind,atk,GE,0,1,15,elim,2026-04-03 04:00:00,0,VCT 2026: Pacific Stage 1,https://www.vlr.gg/644652/gen-g-vs-global-esports-vct-2026-pacific-stage-1-w1
GEN,Bind,atk,GE,1,0,16,elim,2026-04-03 04:00:00,0,VCT 2026: Pacific Stage 1,https://www.vlr.gg/644652/gen-g-vs-global-esports-vct-2026-pacific-stage-1-w1
GEN,Bind,atk,GE,0,1,17,defus,2026-04-03 04:00:00,0,VCT 2026: Pacific Stage 1,https://www.vlr.gg/644652/gen-g-vs-global-esports-vct-2026-pacific-stage-1-w1
GEN,Bind,atk,GE,1,0,18,boom,2026-04-03 04:00:00,0,VCT 2026: Pacific Stage 1,https://www.vlr.gg/644652/gen-g-vs-global-esports-vct-2026-pacific-stage-1-w1
GEN,Bind,atk,GE,1,0,19,elim,2026-04-03 04:00:00,0,VCT 2026: Pacific Stage 1,https://www.vlr.gg/644652/gen-g-vs-global-esports-vct-2026-pacific-stage-1-w1
GEN,Bind,atk,GE,0,1,20,elim,2026-04-03 04:00:00,0,VCT 2026: Pacific Stage 1,https://www.vlr.gg/644652/gen-g-vs-global-esports-vct-2026-pacific-stage-1-w1
GEN,Bind,atk,GE,0,1,21,elim,2026-04-03 04:00:00,0,VCT 2026: Pacific Stage 1,https://www.vlr.gg/644652/gen-g-vs-global-esports-vct-2026-pacific-stage-1-w1
GEN,Bind,def,GE,1,0,1,elim,2026-04-03 04:00:00,0,VCT 2026: Pacific Stage 1,https://www.vlr.gg/644652/gen-g-vs-global-esports-vct-2026-pacific-stage-1-w1
GEN,Bind,def,GE,1,0,2,defus,2026-04-03 04:00:00,0,VCT 2026: Pacific Stage 1,https://www.vlr.gg/644652/gen-g-vs-global-esports-vct-2026-pacific-stage-1-w1
GEN,Bind,def,GE,0,1,3,elim,2026-04-03 04:00:00,0,VCT 2026: Pacific Stage 1,https://www.vlr.gg/644652/gen-g-vs-global-esports-vct-2026-pacific-stage-1-w1
GEN,Bind,def,GE,0,1,4,boom,2026-04-03 04:00:00,0,VCT 2026: Pacific Stage 1,https://www.vlr.gg/644652/gen-g-vs-global-esports-vct-2026-pacific-stage-1-w1
GEN,Bind,def,GE,0,1,5,elim,2026-04-03 04:00:00,0,VCT 2026: Pacific Stage 1,https://www.vlr.gg/644652/gen-g-vs-global-esports-vct-2026-pacific-stage-1-w1
GEN,Bind,def,GE,0,1,6,boom,2026-04-03 04:00:00,0,VCT 2026: Pacific Stage 1,https://www.vlr.gg/644652/gen-g-vs-global-esports-vct-2026-pacific-stage-1-w1
GEN,Bind,def,GE,0,1,7,elim,2026-04-03 04:00:00,0,VCT 2026: Pacific Stage 1,https://www.vlr.gg/644652/gen-g-vs-global-esports-vct-2026-pacific-stage-1-w1
GEN,Bind,def,GE,1,0,8,elim,2026-04-03 04:00:00,0,VCT 2026: Pacific Stage 1,https://www.vlr.gg/644652/gen-g-vs-global-esports-vct-2026-pacific-stage-1-w1
GEN,Bind,def,GE,1,0,9,defus,2026-04-03 04:00:00,0,VCT 2026: Pacific Stage 1,https://www.vlr.gg/644652/gen-g-vs-global-esports-vct-2026-pacific-stage-1-w1
GEN,Bind,def,GE,0,1,10,boom,2026-04-03 04:00:00,0,VCT 2026: Pacific Stage 1,https://www.vlr.gg/644652/gen-g-vs-global-esports-vct-2026-pacific-stage-1-w1
GEN,Bind,def,GE,1,0,11,elim,2026-04-03 04:00:00,0,VCT 2026: Pacific Stage 1,https://www.vlr.gg/644652/gen-g-vs-global-esports-vct-2026-pacific-stage-1-w1
GEN,Bind,def,GE,0,1,12,elim,2026-04-03 04:00:00,0,VCT 2026: Pacific Stage 1,https://www.vlr.gg/644652/gen-g-vs-global-esports-vct-2026-pacific-stage-1-w1
GEN,Split,atk,GE,0,1,1,defus,2026-04-03 04:00:00,1,VCT 2026: Pacific Stage 1,https://www.vlr.gg/644652/gen-g-vs-global-esports-vct-2026-pacific-stage-1-w1
GEN,Split,atk,GE,0,1,2,elim,2026-04-03 04:00:00,1,VCT 2026: Pacific Stage 1,https://www.vlr.gg/644652/gen-g-vs-global-esports-vct-2026-pacific-stage-1-w1
GEN,Split,atk,GE,1,0,3,elim,2026-04-03 04:00:00,1,VCT 2026: Pacific Stage 1,https://www.vlr.gg/644652/gen-g-vs-global-esports-vct-2026-pacific-stage-1-w1
GEN,Split,atk,GE,0,1,4,elim,2026-04-03 04:00:00,1,VCT 2026: Pacific Stage 1,https://www.vlr.gg/644652/gen-g-vs-global-esports-vct-2026-pacific-stage-1-w1
GEN,Split,atk,GE,0,1,5,elim,2026-04-03 04:00:00,1,VCT 2026: Pacific Stage 1,https://www.vlr.gg/644652/gen-g-vs-global-esports-vct-2026-pacific-stage-1-w1
GEN,Split,atk,GE,1,0,6,elim,2026-04-03 04:00:00,1,VCT 2026: Pacific Stage 1,https://www.vlr.gg/644652/gen-g-vs-global-esports-vct-2026-pacific-stage-1-w1
GEN,Split,atk,GE,0,1,7,defus,2026-04-03 04:00:00,1,VCT 2026: Pacific Stage 1,https://www.vlr.gg/644652/gen-g-vs-global-esports-vct-2026-pacific-stage-1-w1
GEN,Split,atk,GE,0,1,8,elim,2026-04-03 04:00:00,1,VCT 2026: Pacific Stage 1,https://www.vlr.gg/644652/gen-g-vs-global-esports-vct-2026-pacific-stage-1-w1
GEN,Split,atk,GE,0,1,9,elim,2026-04-03 04:00:00,1,VCT 2026: Pacific Stage 1,https://www.vlr.gg/644652/gen-g-vs-global-esports-vct-2026-pacific-stage-1-w1
GEN,Split,atk,GE,0,1,10,defus,2026-04-03 04:00:00,1,VCT 2026: Pacific Stage 1,https://www.vlr.gg/644652/gen-g-vs-global-esports-vct-2026-pacific-stage-1-w1
