team_a,team_b,team_a_economy,team_b_economy,round,team_a_bank,team_b_bank,map,date,source_url,event
GEN,GE,3600,3800,1,0.4k,0.3k,Bind,2026-04-03 04:00:00,https://www.vlr.gg/644652/gen-g-vs-global-esports-vct-2026-pacific-stage-1-w1,VCT 2026: Pacific Stage 1
GEN,GE,15800,2900,2,2.3k,8.4k,Bind,2026-04-03 04:00:00,https://www.vlr.gg/644652/gen-g-vs-global-esports-vct-2026-pacific-stage-1-w1,VCT 2026: Pacific Stage 1
GEN,GE,16050,21400,3,11.0k,3.2k,Bind,2026-04-03 04:00:00,https://www.vlr.gg/644652/gen-g-vs-global-esports-vct-2026-pacific-stage-1-w1,VCT 2026: Pacific Stage 1
GEN,GE,21000,21350,4,1.0k,4.1k,Bind,2026-04-03 04:00:00,https://www.vlr.gg/644652/gen-g-vs-global-esports-vct-2026-pacific-stage-1-w1,VCT 2026: Pacific Stage 1
GEN,GE,16350,22600,5,4.6k,16.1k,Bind,2026-04-03 04:00:00,https://www.vlr.gg/644652/gen-g-vs-global-esports-vct-2026-pacific-stage-1-w1,VCT 2026: Pacific Stage 1
GEN,GE,19450,23400,6,1.4k,14.6k,Bind,2026-04-03 04:00:00,https://www.vlr.gg/644652/gen-g-vs-global-esports-vct-2026-pacific-stage-1-w1,VCT 2026: Pacific Stage 1
GEN,GE,10600,22800,7,8.2k,18.0k,Bind,2026-04-03 04:00:00,https://www.vlr.gg/644652/gen-g-vs-global-esports-vct-2026-pacific-stage-1-w1,VCT 2026: Pacific Stage 1
GEN,GE,23800,23600,8,1.2k,27.9k,Bind,2026-04-03 04:00:00,https://www.vlr.gg/644652/gen-g-vs-global-esports-vct-2026-pacific-stage-1-w1,VCT 2026: Pacific Stage 1
GEN,GE,23800,23600,9,4.2k,15.6k,Bind,2026-04-03 04:00:00,https://www.vlr.gg/644652/gen-g-vs-global-esports-vct-2026-pacific-stage-1-w1,VCT 2026: Pacific Stage 1
GEN,GE,23700,23900,10,3.7k,7.7k,Bind,2026-04-03 04:00:00,https://www.vlr.gg/644652/gen-g-vs-global-esports-vct-2026-pacific-stage-1-w1,VCT 2026: Pacific Stage 1
GEN,GE,13700,23400,11,9.0k,17.7k,Bind,2026-04-03 04:00:00,https://www.vlr.gg/644652/gen-g-vs-global-esports-vct-2026-pacific-stage-1-w1,VCT 2026: Pacific Stage 1
GEN,GE,25700,24200,12,3.9k,5.3k,Bind,2026-04-03 04:00:00,https://www.vlr.gg/644652/gen-g-vs-global-esports-vct-2026-pacific-stage-1-w1,VCT 2026: Pacific Stage 1
GEN,GE,3950,3350,13,0.3k,0.4k,Bind,2026-04-03 04:00:00,https://www.vlr.gg/644652/gen-g-vs-global-esports-vct-2026-pacific-stage-1-w1,VCT 2026: Pacific Stage 1
GEN,GE,2350,15900,14,8.2k,3.3k,Bind,2026-04-03 04:00:00,https://www.vlr.gg/644652/gen-g-vs-global-esports-vct-2026-pacific-stage-1-w1,VCT 2026: Pacific Stage 1
GEN,GE,22250,17800,15,0.5k,13.2k,Bind,2026-04-03 04:00:00,https://www.vlr.gg/644652/gen-g-vs-global-esports-vct-2026-pacific-stage-1-w1,VCT 2026: Pacific Stage 1
GEN,GE,10700,22500,16,6.9k,14.4k,Bind,2026-04-03 04:00:00,https://www.vlr.gg/644652/gen-g-vs-global-esports-vct-2026-pacific-stage-1-w1,VCT 2026: Pacific Stage 1
GEN,GE,21800,20450,17,10.0k,4.6k,Bind,2026-04-03 04:00:00,https://www.vlr.gg/644652/gen-g-vs-global-esports-vct-2026-pacific-stage-1-w1,VCT 2026: Pacific Stage 1
GEN,GE,18250,21300,18,5.2k,4.1k,Bind,2026-04-03 04:00:00,https://www.vlr.gg/644652/gen-g-vs-global-esports-vct-2026-pacific-stage-1-w1,VCT 2026: Pacific Stage 1
GEN,GE,21200,10150,19,5.9k,7.9k,Bind,2026-04-03 04:00:00,https://www.vlr.gg/644652/gen-g-vs-global-esports-vct-2026-pacific-stage-1-w1,VCT 2026: Pacific Stage 1
GEN,GE,23900,19400,20,12.9k,1.1k,Bind,2026-04-03 04:00:00,https://www.vlr.gg/644652/gen-g-vs-global-esports-vct-2026-pacific-stage-1-w1,VCT 2026: Pacific Stage 1
GEN,GE,22250,21100,21,1.8k,7.6k,Bind,2026-04-03 04:00:00,https://www.vlr.gg/644652/gen-g-vs-global-esports-vct-2026-pacific-stage-1-w1,VCT 2026: Pacific Stage 1
GEN,GE,3800,2900,1,0.2k,0.4k,Split,2026-04-03 04:00:00,https://www.vlr.gg/644652/gen-g-vs-global-esports-vct-2026-pacific-stage-1-w1,VCT 2026: Pacific Stage 1
GEN,GE,3550,16650,2,8.2k,1.8k,Split,2026-04-03 04:00:00,https://www.vlr.gg/644652/gen-g-vs-global-esports-vct-2026-pacific-stage-1-w1,VCT 2026: Pacific Stage 1
GEN,GE,22050,15950,3,0.5k,13.8k,Split,2026-04-03 04:00:00,https://www.vlr.gg/644652/gen-g-vs-global-esports-vct-2026-pacific-stage-1-w1,VCT 2026: Pacific Stage 1
GEN,GE,20750,21400,4,7.1k,2.8k,Split,2026-04-03 04:00:00,https://www.vlr.gg/644652/gen-g-vs-global-esports-vct-2026-pacific-stage-1-w1,VCT 2026: Pacific Stage 1
GEN,GE,10000,22300,5,8.6k,5.1k,Split,2026-04-03 04:00:00,https://www.vlr.gg/644652/gen-g-vs-global-esports-vct-2026-pacific-stage-1-w1,VCT 2026: Pacific Stage 1
GEN,GE,21100,20850,6,0.9k,11.3k,Split,2026-04-03 04:00:00,https://www.vlr.gg/644652/gen-g-vs-global-esports-vct-2026-pacific-stage-1-w1,VCT 2026: Pacific Stage 1
GEN,GE,20850,19750,7,2.0k,2.2k,Split,2026-04-03 04:00:00,https://www.vlr.gg/644652/gen-g-vs-global-esports-vct-2026-pacific-stage-1-w1,VCT 2026: Pacific Stage 1
GEN,GE,5650,20300,8,8.6k,4.0k,Split,2026-04-03 04:00:00,https://www.vlr.gg/644652/gen-g-vs-global-esports-vct-2026-pacific-stage-1-w1,VCT 2026: Pacific Stage 1
GEN,GE,20800,22150,9,1.9k,17.2k,Split,2026-04-03 04:00:00,https://www.vlr.gg/644652/gen-g-vs-global-esports-vct-2026-pacific-stage-1-w1,VCT 2026: Pacific Stage 1
GEN,GE,11950,24150,10,5.8k,23.5k,Split,2026-04-03 04:00:00,https://www.vlr.gg/644652/gen-g-vs-global-esports-vct-2026-pacific-stage-1-w1,VCT 2026: Pacific Stage 1
GEN,GE,21350,25250,11,1.3k,24.2k,Split,2026-04-03 04:00:00,https://www.vlr.gg/644652/gen-g-vs-global-esports-vct-2026-pacific-stage-1-w1,VCT 2026: Pacific Stage 1
GEN,GE,16300,24200,12,0.9k,16.9k,Split,2026-04-03 04:00:00,https://www.vlr.gg/644652/gen-g-vs-global-esports-vct-2026-pacific-stage-1-w1,VCT 2026: Pacific Stage 1
GEN,GE,3050,4000,13,0.5k,0.2k,Split,2026-04-03 04:00:00,https://www.vlr.gg/644652/gen-g-vs-global-esports-vct-2026-pacific-stage-1-w1,VCT 2026: Pacific Stage 1
GEN,GE,10100,14900,14,0.2k,4.0k,Split,2026-04-03 04:00:00,https://www.vlr.gg/644652/gen-g-vs-global-esports-vct-2026-pacific-stage-1-w1,VCT 2026: Pacific Stage 1
GEN,GE,18400,6100,15,3.8k,8.9k,Split,2026-04-03 04:00:00,https://www.vlr.gg/644652/gen-g-vs-global-esports-vct-2026-pacific-stage-1-w1,VCT 2026: Pacific Stage 1
GEN,GE,13350,22100,16,0.8k,12.9k,Split,2026-04-03 04:00:00,https://www.vlr.gg/644652/gen-g-vs-global-esports-vct-2026-pacific-stage-1-w1,VCT 2026: Pacific Stage 1
GEN,GE,23000,14500,17,10.4k,8.8k,Split,2026-04-03 04:00:00,https://www.vlr.gg/644652/gen-g-vs-global-esports-vct-2026-pacific-stage-1-w1,VCT 2026: Pacific Stage 1
T1,VL,3400,3950,1,0.5k,0.0k,Haven,2026-04-03 06:15:00,https://www.vlr.gg/644653/t1-vs-varrel-vct-2026-pacific-stage-1-w1,VCT 2026: Pacific Stage 1
T1,VL,2850,16550,2,8.9k,3.6k,Haven,2026-04-03 06:15:00,https://www.vlr.gg/644653/t1-vs-varrel-vct-2026-pacific-stage-1-w1,VCT 2026: Pacific Stage 1
T1,VL,21750,17400,3,0.6k,15.2k,Haven,2026-04-03 06:15:00,https://www.vlr.gg/644653/t1-vs-varrel-vct-2026-pacific-stage-1-w1,VCT 2026: Pacific Stage 1
T1,VL,8550,23100,4,8.3k,20.0k,Haven,2026-04-03 06:15:00,https://www.vlr.gg/644653/t1-vs-varrel-vct-2026-pacific-stage-1-w1,VCT 2026: Pacific Stage 1
T1,VL,23700,24100,5,1.2k,25.3k,Haven,2026-04-03 06:15:00,https://www.vlr.gg/644653/t1-vs-varrel-vct-2026-pacific-stage-1-w1,VCT 2026: Pacific Stage 1
T1,VL,25650,25100,6,11.0k,11.0k,Haven,2026-04-03 06:15:00,https://www.vlr.gg/644653/t1-vs-varrel-vct-2026-pacific-stage-1-w1,VCT 2026: Pacific Stage 1
