team,rival,team_1_select_1,team_2_select_1,team_1_select_2,team_2_select_2,team_1_select_3,team_2_select_3,decider,order,bo,date,source_url,event
ZETA,GEN,Summit,Breeze,Ascent,Sunset,Lotus,Split,Haven,A,3,2026-07-16 04:00:00,https://www.vlr.gg/698884/gen-g-vs-zeta-division-vct-2026-pacific-stage-2-w1,VCT 2026: Pacific Stage 2
VL,TS,Breeze,Lotus,Split,Haven,Sunset,Ascent,Summit,A,3,2026-07-16 07:05:00,https://www.vlr.gg/698885/team-secret-vs-varrel-vct-2026-pacific-stage-2-w1,VCT 2026: Pacific Stage 2
FS,NS,Breeze,Summit,Haven,Split,Lotus,Sunset,Ascent,A,3,2026-07-17 04:00:00,https://www.vlr.gg/698886/full-sense-vs-nongshim-redforce-vct-2026-pacific-stage-2-w1,VCT 2026: Pacific Stage 2
DFM,KRX,Lotus,Ascent,Split,Sunset,Breeze,Haven,Summit,A,3,2026-07-17 07:00:00,https://www.vlr.gg/698887/kiwoom-drx-vs-detonation-focusme-vct-2026-pacific-stage-2-w1,VCT 2026: Pacific Stage 2
RRQ,GE,Split,Lotus,Sunset,Summit,Haven,Ascent,Breeze,A,3,2026-07-18 04:00:00,https://www.vlr.gg/698888/rex-regum-qeon-vs-global-esports-vct-2026-pacific-stage-2-w1,VCT 2026: Pacific Stage 2
PRX,T1,Haven,Summit,Sunset,Ascent,Split,Lotus,Breeze,A,3,2026-07-18 06:35:00,https://www.vlr.gg/698889/paper-rex-vs-t1-vct-2026-pacific-stage-2-w1,VCT 2026: Pacific Stage 2
NS,GEN,Summit,Breeze,Split,Ascent,Sunset,Lotus,Haven,A,3,2026-07-19 04:00:00,https://www.vlr.gg/698890/nongshim-redforce-vs-gen-g-vct-2026-pacific-stage-2-w1,VCT 2026: Pacific Stage 2
KRX,TS,Split,Lotus,Sunset,Haven,Ascent,Breeze,Summit,A,3,2026-07-19 07:05:00,https://www.vlr.gg/698891/kiwoom-drx-vs-team-secret-vct-2026-pacific-stage-2-w1,VCT 2026: Pacific Stage 2
FS,GE,Breeze,Lotus,Ascent,Summit,Split,Haven,Sunset,A,3,2026-07-23 04:00:00,https://www.vlr.gg/698892/global-esports-vs-full-sense-vct-2026-pacific-stage-2-w2,VCT 2026: Pacific Stage 2
VL,T1,Breeze,Summit,Split,Haven,Ascent,Lotus,Sunset,A,3,2026-07-23 06:00:00,https://www.vlr.gg/698893/t1-vs-varrel-vct-2026-pacific-stage-2-w2,VCT 2026: Pacific Stage 2
RRQ,ZETA,Split,Summit,Haven,Breeze,Ascent,Lotus,Sunset,A,3,2026-07-24 04:00:00,https://www.vlr.gg/698894/rex-regum-qeon-vs-zeta-division-vct-2026-pacific-stage-2-w2,VCT 2026: Pacific Stage 2
PRX,DFM,Haven,Sunset,Summit,Ascent,Breeze,Lotus,Split,A,3,2026-07-24 06:05:00,https://www.vlr.gg/698895/detonation-focusme-vs-paper-rex-vct-2026-pacific-stage-2-w2,VCT 2026: Pacific Stage 2
GE,NS,Lotus,Summit,Ascent,Breeze,Haven,Split,Sunset,A,3,2026-07-25 04:00:00,https://www.vlr.gg/698897/nongshim-redforce-vs-global-esports-vct-2026-pacific-stage-2-w2,VCT 2026: Pacific Stage 2
T1,TS,Summit,Lotus,Ascent,Haven,Split,Breeze,Sunset,A,3,2026-07-25 06:45:00,https://www.vlr.gg/698898/team-secret-vs-t1-vct-2026-pacific-stage-2-w2,VCT 2026: Pacific Stage 2
PRX,KRX,Haven,Sunset,Summit,Breeze,Lotus,Ascent,Split,A,3,2026-07-26 04:00:00,https://www.vlr.gg/698899/paper-rex-vs-kiwoom-drx-vct-2026-pacific-stage-2-w2,VCT 2026: Pacific Stage 2
RRQ,GEN,Split,Ascent,Haven,Summit,Lotus,Breeze,Sunset,A,3,2026-07-26 05:50:00,https://www.vlr.gg/698901/gen-g-vs-rex-regum-qeon-vct-2026-pacific-stage-2-w2,VCT 2026: Pacific Stage 2
VL,DFM,Breeze,Split,Lotus,Ascent,Sunset,Summit,Haven,A,3,2026-07-30 04:00:00,https://www.vlr.gg/698902/varrel-vs-detonation-focusme-vct-2026-pacific-stage-2-w3,VCT 2026: Pacific Stage 2
ZETA,FS,Summit,Breeze,Split,Sunset,Lotus,Ascent,Haven,A,3,2026-07-30 07:15:00,https://www.vlr.gg/698903/full-sense-vs-zeta-division-vct-2026-pacific-stage-2-w3,VCT 2026: Pacific Stage 2
PRX,TS,Haven,Lotus,Summit,Ascent,Split,Breeze,Sunset,A,3,2026-07-31 04:00:00,https://www.vlr.gg/698904/team-secret-vs-paper-rex-vct-2026-pacific-stage-2-w3,VCT 2026: Pacific Stage 2
GE,GEN,Lotus,Ascent,Breeze,Sunset,Haven,Split,Summit,A,3,2026-07-31 06:10:00,https://www.vlr.gg/698905/global-esports-vs-gen-g-vct-2026-pacific-stage-2-w3,VCT 2026: Pacific Stage 2
T1,DFM,Split,Breeze,Sunset,Haven,Lotus,Summit,Ascent,A,3,2026-08-01 04:00:00,https://www.vlr.gg/698906/t1-vs-detonation-focusme-vct-2026-pacific-stage-2-w3,VCT 2026: Pacific Stage 2
FS,RRQ,Haven,Split,Summit,Ascent,Lotus,Breeze,Sunset,A,3,2026-08-01 07:25:00,https://www.vlr.gg/698907/full-sense-vs-rex-regum-qeon-vct-2026-pacific-stage-2-w3,VCT 2026: Pacific Stage 2
VL,KRX,Breeze,Split,Summit,Sunset,Lotus,Ascent,Haven,A,3,2026-08-02 04:00:00,https://www.vlr.gg/698908/varrel-vs-kiwoom-drx-vct-2026-pacific-stage-2-w3,VCT 2026: Pacific Stage 2
ZETA,NS,Summit,Ascent,Sunset,Breeze,Lotus,Split,Haven,A,3,2026-08-02 07:00:00,https://www.vlr.gg/698909/zeta-division-vs-nongshim-redforce-vct-2026-pacific-stage-2-w3,VCT 2026: Pacific Stage 2
TS,DFM,Lotus,Haven,Breeze,Split,Sunset,Summit,Ascent,A,3,2026-08-07 04:00:00,https://www.vlr.gg/698910/team-secret-vs-detonation-focusme-vct-2026-pacific-stage-2-w4,VCT 2026: Pacific Stage 2
GEN,FS,Breeze,Summit,Lotus,Sunset,Ascent,Haven,Split,A,3,2026-08-07 06:15:00,https://www.vlr.gg/698911/gen-g-vs-full-sense-vct-2026-pacific-stage-2-w4,VCT 2026: Pacific Stage 2
KRX,T1,Haven,Ascent,Lotus,Breeze,Sunset,Split,Summit,A,3,2026-08-08 04:00:00,https://www.vlr.gg/698912/kiwoom-drx-vs-t1-vct-2026-pacific-stage-2-w4,VCT 2026: Pacific Stage 2
GE,ZETA,Lotus,Summit,Breeze,Split,Haven,Ascent,Sunset,A,3,2026-08-08 06:10:00,https://www.vlr.gg/698913/global-esports-vs-zeta-division-vct-2026-pacific-stage-2-w4,VCT 2026: Pacific Stage 2
VL,PRX,Breeze,Haven,Split,Sunset,Summit,Ascent,Lotus,A,3,2026-08-09 04:00:00,https://www.vlr.gg/698914/varrel-vs-paper-rex-vct-2026-pacific-stage-2-w4,VCT 2026: Pacific Stage 2
NS,RRQ,Ascent,Split,Breeze,Sunset,Summit,Lotus,Haven,A,3,2026-08-09 06:25:00,https://www.vlr.gg/698915/nongshim-redforce-vs-rex-regum-qeon-vct-2026-pacific-stage-2-w4,VCT 2026: Pacific Stage 2
KRX,ONG,Split,Summit,Lotus,Sunset,Breeze,Ascent,Haven,A,3,2026-08-13 04:00:00,https://www.vlr.gg/730535/kiwoom-drx-vs-onside-gaming-vct-2026-pacific-stage-2-ur1,VCT 2026: Pacific Stage 2
RRQ,SP,Split,Lotus,Haven,Sunset,Ascent,Summit,Breeze,A,3,2026-08-13 06:25:00,https://www.vlr.gg/730536/rex-regum-qeon-vs-sharper-esports-vct-2026-pacific-stage-2-ur1,VCT 2026: Pacific Stage 2
FS,QTD,Lotus,Sunset,Split,Haven,Breeze,Ascent,Summit,A,3,2026-08-14 04:00:00,https://www.vlr.gg/730537/full-sense-vs-qt-dig-vct-2026-pacific-stage-2-ur1,VCT 2026: Pacific Stage 2
