player,team,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE,map,date,source_url,event
Efina,GEN,4,3,0,0,3,0,1,0,0,40,11,3,all,2026-07-16 04:00:00,https://www.vlr.gg/698884/gen-g-vs-zeta-division-vct-2026-pacific-stage-2-w1,VCT 2026: Pacific Stage 2
t3xture,GEN,11,1,0,1,1,0,0,0,0,58,0,2,all,2026-07-16 04:00:00,https://www.vlr.gg/698884/gen-g-vs-zeta-division-vct-2026-pacific-stage-2-w1,VCT 2026: Pacific Stage 2
Ash,GEN,4,2,1,0,0,0,0,0,0,47,0,0,all,2026-07-16 04:00:00,https://www.vlr.gg/698884/gen-g-vs-zeta-division-vct-2026-pacific-stage-2-w1,VCT 2026: Pacific Stage 2
Karon,GEN,13,2,1,0,1,0,1,0,0,71,3,1,all,2026-07-16 04:00:00,https://www.vlr.gg/698884/gen-g-vs-zeta-division-vct-2026-pacific-stage-2-w1,VCT 2026: Pacific Stage 2
Raxcal,GEN,5,1,0,0,0,0,0,0,0,44,4,0,all,2026-07-16 04:00:00,https://www.vlr.gg/698884/gen-g-vs-zeta-division-vct-2026-pacific-stage-2-w1,VCT 2026: Pacific Stage 2
eKo,ZETA,7,1,1,0,0,2,0,0,0,58,9,1,all,2026-07-16 04:00:00,https://www.vlr.gg/698884/gen-g-vs-zeta-division-vct-2026-pacific-stage-2-w1,VCT 2026: Pacific Stage 2
SugarZ3ro,ZETA,3,0,0,0,0,0,0,0,0,33,0,0,all,2026-07-16 04:00:00,https://www.vlr.gg/698884/gen-g-vs-zeta-division-vct-2026-pacific-stage-2-w1,VCT 2026: Pacific Stage 2
SyouTa,ZETA,7,2,1,0,0,0,1,0,0,60,3,0,all,2026-07-16 04:00:00,https://www.vlr.gg/698884/gen-g-vs-zeta-division-vct-2026-pacific-stage-2-w1,VCT 2026: Pacific Stage 2
Xdll,ZETA,7,2,1,0,1,0,0,0,0,39,8,0,all,2026-07-16 04:00:00,https://www.vlr.gg/698884/gen-g-vs-zeta-division-vct-2026-pacific-stage-2-w1,VCT 2026: Pacific Stage 2
Absol,ZETA,1,2,2,0,0,0,0,0,0,38,0,0,all,2026-07-16 04:00:00,https://www.vlr.gg/698884/gen-g-vs-zeta-division-vct-2026-pacific-stage-2-w1,VCT 2026: Pacific Stage 2
Efina,GEN,1,2,0,0,2,0,1,0,0,38,4,1,Ascent,2026-07-16 04:00:00,https://www.vlr.gg/698884/gen-g-vs-zeta-division-vct-2026-pacific-stage-2-w1,VCT 2026: Pacific Stage 2
t3xture,GEN,6,0,0,1,1,0,0,0,0,76,0,1,Ascent,2026-07-16 04:00:00,https://www.vlr.gg/698884/gen-g-vs-zeta-division-vct-2026-pacific-stage-2-w1,VCT 2026: Pacific Stage 2
Ash,GEN,3,1,0,0,0,0,0,0,0,44,0,0,Ascent,2026-07-16 04:00:00,https://www.vlr.gg/698884/gen-g-vs-zeta-division-vct-2026-pacific-stage-2-w1,VCT 2026: Pacific Stage 2
Karon,GEN,5,1,0,0,1,0,0,0,0,64,1,1,Ascent,2026-07-16 04:00:00,https://www.vlr.gg/698884/gen-g-vs-zeta-division-vct-2026-pacific-stage-2-w1,VCT 2026: Pacific Stage 2
Raxcal,GEN,4,0,0,0,0,0,0,0,0,53,2,0,Ascent,2026-07-16 04:00:00,https://www.vlr.gg/698884/gen-g-vs-zeta-division-vct-2026-pacific-stage-2-w1,VCT 2026: Pacific Stage 2
eKo,ZETA,5,1,0,0,0,1,0,0,0,64,6,0,Ascent,2026-07-16 04:00:00,https://www.vlr.gg/698884/gen-g-vs-zeta-division-vct-2026-pacific-stage-2-w1,VCT 2026: Pacific Stage 2
SugarZ3ro,ZETA,1,0,0,0,0,0,0,0,0,36,0,0,Ascent,2026-07-16 04:00:00,https://www.vlr.gg/698884/gen-g-vs-zeta-division-vct-2026-pacific-stage-2-w1,VCT 2026: Pacific Stage 2
SyouTa,ZETA,2,0,0,0,0,0,0,0,0,60,0,0,Ascent,2026-07-16 04:00:00,https://www.vlr.gg/698884/gen-g-vs-zeta-division-vct-2026-pacific-stage-2-w1,VCT 2026: Pacific Stage 2
Xdll,ZETA,4,1,1,0,0,0,0,0,0,47,3,0,Ascent,2026-07-16 04:00:00,https://www.vlr.gg/698884/gen-g-vs-zeta-division-vct-2026-pacific-stage-2-w1,VCT 2026: Pacific Stage 2
Absol,ZETA,0,1,1,0,0,0,0,0,0,37,0,0,Ascent,2026-07-16 04:00:00,https://www.vlr.gg/698884/gen-g-vs-zeta-division-vct-2026-pacific-stage-2-w1,VCT 2026: Pacific Stage 2
Efina,GEN,3,1,0,0,1,0,0,0,0,41,7,2,Sunset,2026-07-16 04:00:00,https://www.vlr.gg/698884/gen-g-vs-zeta-division-vct-2026-pacific-stage-2-w1,VCT 2026: Pacific Stage 2
t3xture,GEN,5,1,0,0,0,0,0,0,0,39,0,1,Sunset,2026-07-16 04:00:00,https://www.vlr.gg/698884/gen-g-vs-zeta-division-vct-2026-pacific-stage-2-w1,VCT 2026: Pacific Stage 2
Ash,GEN,1,1,1,0,0,0,0,0,0,49,0,0,Sunset,2026-07-16 04:00:00,https://www.vlr.gg/698884/gen-g-vs-zeta-division-vct-2026-pacific-stage-2-w1,VCT 2026: Pacific Stage 2
Karon,GEN,8,1,1,0,0,0,1,0,0,78,2,0,Sunset,2026-07-16 04:00:00,https://www.vlr.gg/698884/gen-g-vs-zeta-division-vct-2026-pacific-stage-2-w1,VCT 2026: Pacific Stage 2
Raxcal,GEN,1,1,0,0,0,0,0,0,0,34,2,0,Sunset,2026-07-16 04:00:00,https://www.vlr.gg/698884/gen-g-vs-zeta-division-vct-2026-pacific-stage-2-w1,VCT 2026: Pacific Stage 2
eKo,ZETA,2,0,1,0,0,1,0,0,0,52,3,1,Sunset,2026-07-16 04:00:00,https://www.vlr.gg/698884/gen-g-vs-zeta-division-vct-2026-pacific-stage-2-w1,VCT 2026: Pacific Stage 2
SugarZ3ro,ZETA,2,0,0,0,0,0,0,0,0,30,0,0,Sunset,2026-07-16 04:00:00,https://www.vlr.gg/698884/gen-g-vs-zeta-division-vct-2026-pacific-stage-2-w1,VCT 2026: Pacific Stage 2
SyouTa,ZETA,5,2,1,0,0,0,1,0,0,59,3,0,Sunset,2026-07-16 04:00:00,https://www.vlr.gg/698884/gen-g-vs-zeta-division-vct-2026-pacific-stage-2-w1,VCT 2026: Pacific Stage 2
Xdll,ZETA,3,1,0,0,1,0,0,0,0,31,5,0,Sunset,2026-07-16 04:00:00,https://www.vlr.gg/698884/gen-g-vs-zeta-division-vct-2026-pacific-stage-2-w1,VCT 2026: Pacific Stage 2
